"","log2FoldChange","go_term","gene","Group","p_value"
"3046",-0.201484198415107,"GO:0022857","ADP1","k_aa",0.0004667
"349",-3.3977004276769,"GO:0022857","ADY2","k_aa",0.0004667
"3091",-0.512408747366356,"GO:0022857","AGC1","k_aa",0.0004667
"537",-0.731323266569022,"GO:0022857","AGP1","k_aa",0.0004667
"306",-0.892104345595599,"GO:0022857","AGP2","k_aa",0.0004667
"3761",-0.391018523844094,"GO:0022857","ALR1","k_aa",0.0004667
"3789",0.236552774250655,"GO:0022857","AMF1","k_aa",0.0004667
"180",-1.52817326626637,"GO:0022857","ANT1","k_aa",0.0004667
"3031",-0.215637991907845,"GO:0022857","AQR1","k_aa",0.0004667
"1884",0.841798574753327,"GO:0022857","AQY1","k_aa",0.0004667
"1916",0.494074141480506,"GO:0022857","ARN1","k_aa",0.0004667
"1352",0.676512170485387,"GO:0022857","ARN2","k_aa",0.0004667
"2996",-0.174215269715507,"GO:0022857","ARR3","k_aa",0.0004667
"3104",0.541438080169687,"GO:0022857","ATM1","k_aa",0.0004667
"884",1.76393921376854,"GO:0022857","ATO2","k_aa",0.0004667
"2682",0.504696872167398,"GO:0022857","ATO3","k_aa",0.0004667
"1118",-0.70208468831189,"GO:0022857","ATP1","k_aa",0.0004667
"1578",-0.435578582196782,"GO:0022857","ATP14","k_aa",0.0004667
"404",-0.916314390894645,"GO:0022857","ATP16","k_aa",0.0004667
"1112",-0.617890029419042,"GO:0022857","ATP18","k_aa",0.0004667
"783",-0.738239842414931,"GO:0022857","ATP19","k_aa",0.0004667
"1317",-0.697476002601653,"GO:0022857","ATP2","k_aa",0.0004667
"1065",-0.650400395083977,"GO:0022857","ATP20","k_aa",0.0004667
"1450",-0.632501946943908,"GO:0022857","ATP3","k_aa",0.0004667
"2125",-0.432032880955955,"GO:0022857","ATP4","k_aa",0.0004667
"1786",-0.509221600056639,"GO:0022857","ATP7","k_aa",0.0004667
"1973",0.577085704994162,"GO:0022857","ATX2","k_aa",0.0004667
"4124",-0.0754132588918171,"GO:0022857","AVT1","k_aa",0.0004667
"1482",0.597131633018077,"GO:0022857","AVT2","k_aa",0.0004667
"2116",-0.933486128183619,"GO:0022857","AVT3","k_aa",0.0004667
"2259",0.750822340757373,"GO:0022857","AVT4","k_aa",0.0004667
"2240",-0.312398660316098,"GO:0022857","AVT6","k_aa",0.0004667
"574",-0.467133632939624,"GO:0022857","AVT7","k_aa",0.0004667
