"","log2FoldChange","go_term","gene","Group","p_value"
"1914",0.411739224697029,"GO:0006260","ABF1","k_aa",1e-32
"4505",0.0358237918815678,"GO:0006260","ADK1","k_aa",1e-32
"1865",-0.447143568101113,"GO:0006260","BMH2","k_aa",1e-32
"869",0.586478702016022,"GO:0006260","BRE1","k_aa",1e-32
"466",0.60444902341074,"GO:0006260","CCR4","k_aa",1e-32
"1215",0.600008064347837,"GO:0006260","CDC16","k_aa",1e-32
"2247",0.390832751609381,"GO:0006260","CDC28","k_aa",1e-32
"2956",-0.195738680603709,"GO:0006260","CDC34","k_aa",1e-32
"2487",0.463649844379122,"GO:0006260","CDC45","k_aa",1e-32
"1573",0.424589063827721,"GO:0006260","CDC6","k_aa",1e-32
"1427",0.650536494730746,"GO:0006260","CDC7","k_aa",1e-32
"3207",-0.388633852310932,"GO:0006260","CDC9","k_aa",1e-32
"3612",-0.27423390460984,"GO:0006260","CHD1","k_aa",1e-32
"2164",0.39282370892781,"GO:0006260","CHK1","k_aa",1e-32
"690",0.835220414693178,"GO:0006260","CHS5","k_aa",1e-32
"857",1.39860996285274,"GO:0006260","CLB5","k_aa",1e-32
"3276",-0.140750121724386,"GO:0006260","CLF1","k_aa",1e-32
"728",0.899004948039911,"GO:0006260","CSM3","k_aa",1e-32
"2674",0.630942857511289,"GO:0006260","CTF18","k_aa",1e-32
"3590",-0.156960591552652,"GO:0006260","CTF3","k_aa",1e-32
"325",0.995772630066524,"GO:0006260","CTF4","k_aa",1e-32
"276",1.1666381982181,"GO:0006260","CTF8","k_aa",1e-32
"1802",-0.428807105806729,"GO:0006260","CTI6","k_aa",1e-32
"789",0.566276646639387,"GO:0006260","DBF4","k_aa",1e-32
"471",0.934518000056417,"GO:0006260","DCC1","k_aa",1e-32
"4384",-0.0674934427469951,"GO:0006260","DEP1","k_aa",1e-32
"1838",0.630343359028121,"GO:0006260","DIA2","k_aa",1e-32
"81",1.10342041263311,"GO:0006260","DNA2","k_aa",1e-32
"2955",-0.240014736749269,"GO:0006260","DOA4","k_aa",1e-32
"2034",-0.482387040772161,"GO:0006260","DPB11","k_aa",1e-32
"112",1.00862579392939,"GO:0006260","DPB2","k_aa",1e-32
"3669",-0.258682819979482,"GO:0006260","DPB3","k_aa",1e-32
