"","log2FoldChange","go_term","gene","Group","p_value"
"929",0.71621626502509,"GO:0006260","DPB4","k_aa",1e-32
"3956",0.139799401885741,"GO:0006260","DUN1","k_aa",1e-32
"2261",0.303238536784222,"GO:0006260","ECO1","k_aa",1e-32
"453",1.30428882564621,"GO:0006260","ELG1","k_aa",1e-32
"3011",-0.575081299202795,"GO:0006260","FKH2","k_aa",1e-32
"4176",-0.0950013589001289,"GO:0006260","FOB1","k_aa",1e-32
"1852",-0.782306551520412,"GO:0006260","GLC7","k_aa",1e-32
"2049",0.384738657418437,"GO:0006260","HCS1","k_aa",1e-32
"4342",0.034046153897082,"GO:0006260","HOG1","k_aa",1e-32
"3480",-0.41441844968612,"GO:0006260","IPI3","k_aa",1e-32
"3509",0.121182033496009,"GO:0006260","LGE1","k_aa",1e-32
"3444",0.20844382510606,"GO:0006260","MCM1","k_aa",1e-32
"3375",-0.529353043742139,"GO:0006260","MCM10","k_aa",1e-32
"1027",0.660994282462764,"GO:0006260","MCM2","k_aa",1e-32
"1241",0.515251881970804,"GO:0006260","MCM3","k_aa",1e-32
"56",1.61697285941977,"GO:0006260","MCM4","k_aa",1e-32
"865",0.854042179986867,"GO:0006260","MCM5","k_aa",1e-32
"4393",0.108327803075039,"GO:0006260","MCM6","k_aa",1e-32
"181",1.52196554183116,"GO:0006260","MCM7","k_aa",1e-32
"4495",0.031142328455985,"GO:0006260","MEC1","k_aa",1e-32
"1589",-0.500581284084674,"GO:0006260","MET30","k_aa",1e-32
"1894",0.46158743340357,"GO:0006260","MGS1","k_aa",1e-32
"3555",0.207198080491044,"GO:0006260","MHF1","k_aa",1e-32
"1380",-0.569247172720532,"GO:0006260","MHR1","k_aa",1e-32
"996",1.13918214636141,"GO:0006260","MIP1","k_aa",1e-32
"2845",0.328693657668036,"GO:0006260","MMS22","k_aa",1e-32
"2447",0.427083495932409,"GO:0006260","MPH1","k_aa",1e-32
"259",1.3674790467773,"GO:0006260","MRC1","k_aa",1e-32
"2000",0.427408814733059,"GO:0006260","MSH2","k_aa",1e-32
"152",1.45166421322742,"GO:0006260","MSH3","k_aa",1e-32
"2112",0.267207152962995,"GO:0006260","MSH6","k_aa",1e-32
"2507",-0.189018276139588,"GO:0006260","MUM2","k_aa",1e-32
"427",0.630977834489148,"GO:0006260","MUS81","k_aa",1e-32
"4480",0.0700774828447495,"GO:0006260","NOC3","k_aa",1e-32
"4570",-0.0451620821129517,"GO:0006260","NOP7","k_aa",1e-32
"2834",0.393759286496345,"GO:0006260","ORC1","k_aa",1e-32
"1723",0.36859808462958,"GO:0006260","ORC2","k_aa",1e-32
"367",0.662237497541117,"GO:0006260","ORC3","k_aa",1e-32
"2315",0.225988831310787,"GO:0006260","ORC4","k_aa",1e-32
"3397",0.176960232327998,"GO:0006260","ORC5","k_aa",1e-32
"811",0.68943324582656,"GO:0006260","ORC6","k_aa",1e-32
"810",0.763855578237614,"GO:0006260","PIF1","k_aa",1e-32
"1888",0.297335070729522,"GO:0006260","POB3","k_aa",1e-32
"194",0.907284278809927,"GO:0006260","POL1","k_aa",1e-32
"1781",0.443271946203875,"GO:0006260","POL12","k_aa",1e-32
"2975",0.129976128534926,"GO:0006260","POL2","k_aa",1e-32
"1095",0.559045430140192,"GO:0006260","POL3","k_aa",1e-32
"2498",0.294523035291611,"GO:0006260","POL30","k_aa",1e-32
"3921",0.670034295634809,"GO:0006260","POL31","k_aa",1e-32
"265",1.29317528889037,"GO:0006260","POL32","k_aa",1e-32
"1221",0.736746018426071,"GO:0006260","POL5","k_aa",1e-32
"4163",0.0791995060883735,"GO:0006260","PPS1","k_aa",1e-32
"1620",0.629442789461242,"GO:0006260","PRI1","k_aa",1e-32
"962",0.701032383664289,"GO:0006260","PRI2","k_aa",1e-32
"782",0.814793179622329,"GO:0006260","PSF1","k_aa",1e-32
"3545",0.124437162286831,"GO:0006260","PSF2","k_aa",1e-32
"3404",0.122124595828176,"GO:0006260","PSF3","k_aa",1e-32
"2235",0.34637552196114,"GO:0006260","RAD30","k_aa",1e-32
"3447",-0.344737916442156,"GO:0006260","RAD51","k_aa",1e-32
"197",1.36905128268463,"GO:0006260","RAD53","k_aa",1e-32
"2613",0.431495321056399,"GO:0006260","RAD9","k_aa",1e-32
"4224",0.102903130040582,"GO:0006260","RCO1","k_aa",1e-32
"3747",-0.129893827292456,"GO:0006260","REV3","k_aa",1e-32
"2729",-0.291429253998443,"GO:0006260","RFA1","k_aa",1e-32
"2863",1.15315624524813,"GO:0006260","RFA2","k_aa",1e-32
"576",0.700819967777198,"GO:0006260","RFA3","k_aa",1e-32
"3251",0.296868847654081,"GO:0006260","RFC1","k_aa",1e-32
"3383",0.191667343147354,"GO:0006260","RFC2","k_aa",1e-32
"2358",-1.01637284650403,"GO:0006260","RFC3","k_aa",1e-32
"941",0.922113195628595,"GO:0006260","RFC4","k_aa",1e-32
"4249",0.100652554380498,"GO:0006260","RFC5","k_aa",1e-32
"2226",0.275239053462791,"GO:0006260","RFM1","k_aa",1e-32
"106",1.20002193481333,"GO:0006260","RIF1","k_aa",1e-32
"2672",-0.237124038036248,"GO:0006260","RIM1","k_aa",1e-32
"2211",0.71152535147376,"GO:0006260","RIM4","k_aa",1e-32
"2236",-0.582623203055537,"GO:0006260","RIX1","k_aa",1e-32
"1414",0.45900252981973,"GO:0006260","RNH201","k_aa",1e-32
"937",0.638474691114589,"GO:0006260","RNH202","k_aa",1e-32
"63",1.40816447212896,"GO:0006260","RNR1","k_aa",1e-32
"1211",0.410033946020794,"GO:0006260","RNR2","k_aa",1e-32
"2627",0.199736657238998,"GO:0006260","RPD3","k_aa",1e-32
"2202",-0.432517739217012,"GO:0006260","RPO41","k_aa",1e-32
"4369",-0.120850676479807,"GO:0006260","RRM3","k_aa",1e-32
"3836",0.0875643956547775,"GO:0006260","RTS2","k_aa",1e-32
"1331",0.67400498597492,"GO:0006260","RTT107","k_aa",1e-32
"1255",0.685727627343027,"GO:0006260","SAK1","k_aa",1e-32
"893",0.521873541747976,"GO:0006260","SEN1","k_aa",1e-32
"689",0.795738890553513,"GO:0006260","SET2","k_aa",1e-32
"2810",-0.204194815425072,"GO:0006260","SFH1","k_aa",1e-32
"451",0.842307674803566,"GO:0006260","SGS1","k_aa",1e-32
"230",0.775213789761665,"GO:0006260","SIN3","k_aa",1e-32
"3122",-0.150294988324982,"GO:0006260","SIR2","k_aa",1e-32
"148",1.06715014166389,"GO:0006260","SLD2","k_aa",1e-32
"1874",0.637501467684505,"GO:0006260","SLD3","k_aa",1e-32
"3184",0.177042906124835,"GO:0006260","SLD5","k_aa",1e-32
"4511",0.0232343389931469,"GO:0006260","SLD7","k_aa",1e-32
"161",-2.55748985952187,"GO:0006260","SLX1","k_aa",1e-32
"4070",-0.204565538638259,"GO:0006260","SLX4","k_aa",1e-32
"2085",1.05582145497851,"GO:0006260","SNF2","k_aa",1e-32
"2422",0.293676814757887,"GO:0006260","SPT16","k_aa",1e-32
"2396",-0.311376562957517,"GO:0006260","SUM1","k_aa",1e-32
"2463",0.338696836898608,"GO:0006260","SUV3","k_aa",1e-32
"2331",0.295381166261045,"GO:0006260","SWI1","k_aa",1e-32
"319",0.94276544787094,"GO:0006260","TAH11","k_aa",1e-32
"594",1.18810737125558,"GO:0006260","TOF1","k_aa",1e-32
"2948",0.276887469673258,"GO:0006260","TOP1","k_aa",1e-32
"1962",0.55954760896894,"GO:0006260","TOP2","k_aa",1e-32
"3021",-0.256485716130506,"GO:0006260","ABF1","k_bb",2.53e-05
"2232",-0.428409718707286,"GO:0006260","ADK1","k_bb",2.53e-05
"602",-0.76570171511935,"GO:0006260","BMH2","k_bb",2.53e-05
"3844",0.120521491004808,"GO:0006260","BRE1","k_bb",2.53e-05
"990",0.412393638169627,"GO:0006260","CCR4","k_bb",2.53e-05
"3701",0.150138566375141,"GO:0006260","CDC16","k_bb",2.53e-05
"1701",0.469639917097248,"GO:0006260","CDC28","k_bb",2.53e-05
"4477",-0.0284319309226496,"GO:0006260","CDC34","k_bb",2.53e-05
"596",1.30294282208774,"GO:0006260","CDC45","k_bb",2.53e-05
"256",0.870768704384518,"GO:0006260","CDC6","k_bb",2.53e-05
"3079",0.301109128779843,"GO:0006260","CDC7","k_bb",2.53e-05
"2902",0.509084529946521,"GO:0006260","CDC9","k_bb",2.53e-05
"4775",0.0120280386835441,"GO:0006260","CHD1","k_bb",2.53e-05
"3776",0.151087871497894,"GO:0006260","CHK1","k_bb",2.53e-05
"2512",0.31032620511213,"GO:0006260","CHS5","k_bb",2.53e-05
"191",2.12686432761548,"GO:0006260","CLB5","k_bb",2.53e-05
"3134",-0.120094240584607,"GO:0006260","CLF1","k_bb",2.53e-05
"130",1.36849288255744,"GO:0006260","CSM3","k_bb",2.53e-05
"947",1.19745878740723,"GO:0006260","CTF18","k_bb",2.53e-05
"2133",-0.390443168254655,"GO:0006260","CTF3","k_bb",2.53e-05
"103",1.37508754171931,"GO:0006260","CTF4","k_bb",2.53e-05
"948",0.854736334857395,"GO:0006260","CTF8","k_bb",2.53e-05
"1972",-0.311167413673876,"GO:0006260","CTI6","k_bb",2.53e-05
"1943",0.297340881661452,"GO:0006260","DBF4","k_bb",2.53e-05
"4513",0.902122065458866,"GO:0006260","DCC1","k_bb",2.53e-05
"2375",-0.485331230203102,"GO:0006260","DEP1","k_bb",2.53e-05
"1321",0.746644297355815,"GO:0006260","DIA2","k_bb",2.53e-05
"38",1.22401808234204,"GO:0006260","DNA2","k_bb",2.53e-05
"1841",-0.505312774181414,"GO:0006260","DOA4","k_bb",2.53e-05
"3377",-0.21738461632921,"GO:0006260","DPB11","k_bb",2.53e-05
"76",1.00952222303561,"GO:0006260","DPB2","k_bb",2.53e-05
"4452",0.0744774553141246,"GO:0006260","DPB3","k_bb",2.53e-05
"695",0.80101313256498,"GO:0006260","DPB4","k_bb",2.53e-05
"4106",-0.122252262520329,"GO:0006260","DUN1","k_bb",2.53e-05
"1246",1.48577329954871,"GO:0006260","EAF3","k_bb",2.53e-05
"4040",0.087606184008411,"GO:0006260","ECO1","k_bb",2.53e-05
"710",1.11226459123569,"GO:0006260","ELG1","k_bb",2.53e-05
"4681",0.051334708105307,"GO:0006260","FKH2","k_bb",2.53e-05
"3952",-0.116659417331925,"GO:0006260","FOB1","k_bb",2.53e-05
"3587",-0.246900649647161,"GO:0006260","GLC7","k_bb",2.53e-05
"3003",0.189108114392674,"GO:0006260","HCS1","k_bb",2.53e-05
"4203",-0.0684569601305987,"GO:0006260","HOG1","k_bb",2.53e-05
"3165",0.550381438801642,"GO:0006260","IPI1","k_bb",2.53e-05
"4025",-0.203244286063145,"GO:0006260","IPI3","k_bb",2.53e-05
"1097",0.492158229039179,"GO:0006260","LGE1","k_bb",2.53e-05
"1740",0.554157025576877,"GO:0006260","MCM1","k_bb",2.53e-05
"28451",0.648574214680048,"GO:0006260","MCM10","k_bb",2.53e-05
"1421",0.5382134048648,"GO:0006260","MCM2","k_bb",2.53e-05
"142",0.90070137906512,"GO:0006260","MCM3","k_bb",2.53e-05
"59",1.61101140850867,"GO:0006260","MCM4","k_bb",2.53e-05
"2013",0.537807343951462,"GO:0006260","MCM5","k_bb",2.53e-05
"911",1.65186751338853,"GO:0006260","MCM6","k_bb",2.53e-05
"1195",0.881881467253103,"GO:0006260","MCM7","k_bb",2.53e-05
"2340",0.395169126716578,"GO:0006260","MEC1","k_bb",2.53e-05
"2472",-0.287501059213112,"GO:0006260","MET30","k_bb",2.53e-05
"4674",-0.030322908571643,"GO:0006260","MGS1","k_bb",2.53e-05
"2539",-0.44270081949303,"GO:0006260","MHF1","k_bb",2.53e-05
"2139",-0.369841521301802,"GO:0006260","MHR1","k_bb",2.53e-05
"2251",0.535421065950834,"GO:0006260","MIP1","k_bb",2.53e-05
"2545",0.338636006667577,"GO:0006260","MMS22","k_bb",2.53e-05
"646",1.17226708996815,"GO:0006260","MPH1","k_bb",2.53e-05
"681",1.08281676652719,"GO:0006260","MRC1","k_bb",2.53e-05
"687",0.548182661988227,"GO:0006260","MSH2","k_bb",2.53e-05
"237",1.45398083909256,"GO:0006260","MSH3","k_bb",2.53e-05
"630",0.55673045356136,"GO:0006260","MSH6","k_bb",2.53e-05
"3411",-0.0900142015976572,"GO:0006260","MUM2","k_bb",2.53e-05
"901",0.487305080258999,"GO:0006260","MUS81","k_bb",2.53e-05
"4385",0.109825730145088,"GO:0006260","NOC3","k_bb",2.53e-05
"4227",0.146813978961768,"GO:0006260","NOP7","k_bb",2.53e-05
"4453",-0.0698808362446758,"GO:0006260","ORC1","k_bb",2.53e-05
"2971",0.128613371282742,"GO:0006260","ORC2","k_bb",2.53e-05
"2389",0.18884092620493,"GO:0006260","ORC3","k_bb",2.53e-05
"1913",0.412505224475335,"GO:0006260","ORC4","k_bb",2.53e-05
"3886",-0.137407550513583,"GO:0006260","ORC5","k_bb",2.53e-05
"2111",0.481084717383634,"GO:0006260","ORC6","k_bb",2.53e-05
"4271",0.765059348612363,"GO:0006260","PIF1","k_bb",2.53e-05
"1395",0.377796963011189,"GO:0006260","POB3","k_bb",2.53e-05
"79",1.54520689510185,"GO:0006260","POL1","k_bb",2.53e-05
"175",0.90858249828644,"GO:0006260","POL12","k_bb",2.53e-05
"1116",0.600568941852543,"GO:0006260","POL2","k_bb",2.53e-05
"686",0.676413199309425,"GO:0006260","POL3","k_bb",2.53e-05
"2761",1.35780266568345,"GO:0006260","POL30","k_bb",2.53e-05
"3677",0.723205011049295,"GO:0006260","POL31","k_bb",2.53e-05
"165",0.982898482613567,"GO:0006260","POL32","k_bb",2.53e-05
"1922",0.348748060025693,"GO:0006260","POL5","k_bb",2.53e-05
"3252",-0.186248763953702,"GO:0006260","PPS1","k_bb",2.53e-05
"644",0.918317231192077,"GO:0006260","PRI1","k_bb",2.53e-05
"182",0.808202759640696,"GO:0006260","PRI2","k_bb",2.53e-05
"219",1.55297116562891,"GO:0006260","PSF1","k_bb",2.53e-05
"4183",0.0594097944992743,"GO:0006260","PSF2","k_bb",2.53e-05
"2059",0.22245983269385,"GO:0006260","PSF3","k_bb",2.53e-05
"719",-0.530122880964618,"GO:0006260","RAD30","k_bb",2.53e-05
"3180",0.387448411966396,"GO:0006260","RAD51","k_bb",2.53e-05
"51",1.66109161057298,"GO:0006260","RAD53","k_bb",2.53e-05
"3831",-0.173788445828631,"GO:0006260","RAD9","k_bb",2.53e-05
"3859",0.17181412473819,"GO:0006260","RCO1","k_bb",2.53e-05
"4191",0.0700539012467785,"GO:0006260","REV3","k_bb",2.53e-05
"4153",0.088479904786531,"GO:0006260","RFA1","k_bb",2.53e-05
"1892",1.74647229234,"GO:0006260","RFA2","k_bb",2.53e-05
"102",0.931156922902169,"GO:0006260","RFA3","k_bb",2.53e-05
"4026",0.120591049129094,"GO:0006260","RFC1","k_bb",2.53e-05
"24981",0.256121453837083,"GO:0006260","RFC2","k_bb",2.53e-05
"4084",0.231085217862461,"GO:0006260","RFC3","k_bb",2.53e-05
"1137",0.741518180506227,"GO:0006260","RFC4","k_bb",2.53e-05
"4544",0.0577803809497832,"GO:0006260","RFC5","k_bb",2.53e-05
"4080",-0.075293690174298,"GO:0006260","RFM1","k_bb",2.53e-05
"120",1.12751581522928,"GO:0006260","RIF1","k_bb",2.53e-05
"4352",0.0481917735969925,"GO:0006260","RIM1","k_bb",2.53e-05
"3505",0.211532576044083,"GO:0006260","RIM4","k_bb",2.53e-05
"2778",-0.380521436927267,"GO:0006260","RIX1","k_bb",2.53e-05
"4512",0.104137643083951,"GO:0006260","RNH1","k_bb",2.53e-05
"848",0.418551667582767,"GO:0006260","RNH201","k_bb",2.53e-05
"246",1.04616531268245,"GO:0006260","RNH202","k_bb",2.53e-05
"2",1.98883129981509,"GO:0006260","RNR1","k_bb",2.53e-05
"198",0.714372269329454,"GO:0006260","RNR2","k_bb",2.53e-05
"4067",0.0671650344442961,"GO:0006260","RPD3","k_bb",2.53e-05
"4540",-0.0466903034829485,"GO:0006260","RPO41","k_bb",2.53e-05
"4343",0.126849403601027,"GO:0006260","RRM3","k_bb",2.53e-05
"2289",0.238624676470227,"GO:0006260","RTS2","k_bb",2.53e-05
"624",0.878139589523908,"GO:0006260","RTT107","k_bb",2.53e-05
"39211",0.148553770922088,"GO:0006260","SAK1","k_bb",2.53e-05
"584",0.521018217610117,"GO:0006260","SEN1","k_bb",2.53e-05
"2266",0.387790705845694,"GO:0006260","SET2","k_bb",2.53e-05
"3242",-0.117331826468433,"GO:0006260","SFH1","k_bb",2.53e-05
"88",1.59882446945984,"GO:0006260","SGS1","k_bb",2.53e-05
"798",0.5239642970746,"GO:0006260","SIN3","k_bb",2.53e-05
"4644",0.00977204277185184,"GO:0006260","SIR2","k_bb",2.53e-05
"94",1.18845237488802,"GO:0006260","SLD2","k_bb",2.53e-05
"4022",0.130397933523794,"GO:0006260","SLD3","k_bb",2.53e-05
"3475",-0.182761715163146,"GO:0006260","SLD5","k_bb",2.53e-05
"3682",-0.117296425240703,"GO:0006260","SLD7","k_bb",2.53e-05
"4338",-0.117344977822478,"GO:0006260","SLX1","k_bb",2.53e-05
"3709",-0.251825329053621,"GO:0006260","SLX4","k_bb",2.53e-05
"2919",0.433592494188409,"GO:0006260","SNF2","k_bb",2.53e-05
"1404",0.390701213600653,"GO:0006260","SPT16","k_bb",2.53e-05
"2726",-0.213253229074672,"GO:0006260","SUM1","k_bb",2.53e-05
"4236",0.0775867936353885,"GO:0006260","SUV3","k_bb",2.53e-05
"4044",-0.0614664330313288,"GO:0006260","SWI1","k_bb",2.53e-05
"196",0.854925702910826,"GO:0006260","TAH11","k_bb",2.53e-05
"1270",0.818207421460752,"GO:0006260","TOF1","k_bb",2.53e-05
"4407",0.0526191935986379,"GO:0006260","TOP1","k_bb",2.53e-05
"678",1.15239642026902,"GO:0006260","TOP2","k_bb",2.53e-05
"533",1.13706421542285,"GO:0006260","ABF1","ab_f",0.1158353
"1185",-0.794762320341656,"GO:0006260","ADK1","ab_f",0.1158353
"4692",0.020998824687165,"GO:0006260","BMH2","ab_f",0.1158353
"1899",0.564976206515354,"GO:0006260","BRE1","ab_f",0.1158353
"3548",0.200125985391144,"GO:0006260","CCR4","ab_f",0.1158353
"2493",0.397840315815761,"GO:0006260","CDC16","ab_f",0.1158353
"872",-0.954234448093568,"GO:0006260","CDC28","ab_f",0.1158353
"1766",0.602812121658098,"GO:0006260","CDC34","ab_f",0.1158353
"514",-1.93613951013487,"GO:0006260","CDC45","ab_f",0.1158353
"3936",0.207108863874502,"GO:0006260","CDC6","ab_f",0.1158353
"1191",0.942710128906307,"GO:0006260","CDC7","ab_f",0.1158353
"1494",-0.668807166332096,"GO:0006260","CDC9","ab_f",0.1158353
"843",0.756270974331116,"GO:0006260","CHD1","ab_f",0.1158353
"4730",0.0254234005161854,"GO:0006260","CHK1","ab_f",0.1158353
"1384",0.637466995681027,"GO:0006260","CHS5","ab_f",0.1158353
"4788",0.0317458550444836,"GO:0006260","CLB5","ab_f",0.1158353
"22611",-0.445625643136558,"GO:0006260","CLF1","ab_f",0.1158353
"4834",0.00449759617064709,"GO:0006260","CSM3","ab_f",0.1158353
"3352",0.257279206350625,"GO:0006260","CTF18","ab_f",0.1158353
"4423",0.0701551022714616,"GO:0006260","CTF3","ab_f",0.1158353
"362",-1.75071689269861,"GO:0006260","CTF4","ab_f",0.1158353
"4412",-0.146176806271367,"GO:0006260","CTF8","ab_f",0.1158353
"3513",-0.207419816799889,"GO:0006260","CTI6","ab_f",0.1158353
"4447",-0.0737739420601026,"GO:0006260","DBF4","ab_f",0.1158353
"2671",-0.773704100519536,"GO:0006260","DCC1","ab_f",0.1158353
"3980",0.152199790817656,"GO:0006260","DEP1","ab_f",0.1158353
"1425",-1.04644225308246,"GO:0006260","DIA2","ab_f",0.1158353
"3212",0.339222257445987,"GO:0006260","DNA2","ab_f",0.1158353
"14271",0.606585978916549,"GO:0006260","DOA4","ab_f",0.1158353
"1673",0.566742863320881,"GO:0006260","DPB11","ab_f",0.1158353
"2637",0.484176504542426,"GO:0006260","DPB2","ab_f",0.1158353
"2265",0.419375026311303,"GO:0006260","DPB3","ab_f",0.1158353
"3002",-0.568471677934191,"GO:0006260","DPB4","ab_f",0.1158353
"24871",0.492307207354722,"GO:0006260","DUN1","ab_f",0.1158353
"1451",-0.823133208261188,"GO:0006260","EAF3","ab_f",0.1158353
"4209",-0.13343612850662,"GO:0006260","ECO1","ab_f",0.1158353
"6871",1.18881168374361,"GO:0006260","ELG1","ab_f",0.1158353
"2068",0.409949828533812,"GO:0006260","FKH2","ab_f",0.1158353
"1630",-0.630732469011748,"GO:0006260","FOB1","ab_f",0.1158353
"2166",0.466514224210447,"GO:0006260","GLC7","ab_f",0.1158353
"852",0.828109296954786,"GO:0006260","HCS1","ab_f",0.1158353
"4399",0.0638110175790863,"GO:0006260","HOG1","ab_f",0.1158353
"4648",-0.0497386825351386,"GO:0006260","IPI1","ab_f",0.1158353
"3529",-0.257420140654266,"GO:0006260","IPI3","ab_f",0.1158353
"4489",0.074199802943048,"GO:0006260","LGE1","ab_f",0.1158353
"1504",-0.684892470245617,"GO:0006260","MCM1","ab_f",0.1158353
"3531",3.08390625978919,"GO:0006260","MCM10","ab_f",0.1158353
"765",0.88828772315764,"GO:0006260","MCM2","ab_f",0.1158353
"958",-0.742064426340212,"GO:0006260","MCM3","ab_f",0.1158353
"3812",0.227127531841605,"GO:0006260","MCM4","ab_f",0.1158353
"1251",0.699304580401908,"GO:0006260","MCM5","ab_f",0.1158353
"3138",-0.239990796381346,"GO:0006260","MCM6","ab_f",0.1158353
"1582",0.767201404661709,"GO:0006260","MCM7","ab_f",0.1158353
"4087",-0.107963396177153,"GO:0006260","MEC1","ab_f",0.1158353
"2592",0.390615568768749,"GO:0006260","MET30","ab_f",0.1158353
"216",1.50310756921797,"GO:0006260","MGS1","ab_f",0.1158353
"3772",-0.244214821609582,"GO:0006260","MHF1","ab_f",0.1158353
"3589",-0.196575168089752,"GO:0006260","MHR1","ab_f",0.1158353
"3425",0.247501956537715,"GO:0006260","MIP1","ab_f",0.1158353
"3188",0.260937035623742,"GO:0006260","MMS22","ab_f",0.1158353
"3484",0.260973610771298,"GO:0006260","MPH1","ab_f",0.1158353
"976",1.03683396790634,"GO:0006260","MRC1","ab_f",0.1158353
"2872",0.297539940011267,"GO:0006260","MSH2","ab_f",0.1158353
"21641",0.676899100620183,"GO:0006260","MSH3","ab_f",0.1158353
"2755",0.317997992592653,"GO:0006260","MSH6","ab_f",0.1158353
"541",-1.21515302476564,"GO:0006260","MUM2","ab_f",0.1158353
"2988",0.419244373926556,"GO:0006260","MUS81","ab_f",0.1158353
"4774",-0.0217976449584617,"GO:0006260","NOC3","ab_f",0.1158353
"1572",-0.740581439681368,"GO:0006260","NOP7","ab_f",0.1158353
"24471",0.432716387936194,"GO:0006260","ORC1","ab_f",0.1158353
"4074",0.137692841585455,"GO:0006260","ORC2","ab_f",0.1158353
"4852",0.000859687801805261,"GO:0006260","ORC3","ab_f",0.1158353
"888",-0.804796985880104,"GO:0006260","ORC4","ab_f",0.1158353
"777",1.06512178920569,"GO:0006260","ORC5","ab_f",0.1158353
"3914",-0.380718370372378,"GO:0006260","ORC6","ab_f",0.1158353
"3652",-0.233932290867811,"GO:0006260","PIF1","ab_f",0.1158353
"2029",-0.3984277341365,"GO:0006260","POB3","ab_f",0.1158353
"1965",-0.508601715809275,"GO:0006260","POL1","ab_f",0.1158353
"3832",-0.200942478906424,"GO:0006260","POL12","ab_f",0.1158353
"3413",-0.24016383503884,"GO:0006260","POL2","ab_f",0.1158353
"2640",0.378964500397717,"GO:0006260","POL3","ab_f",0.1158353
"44",-2.13410030709031,"GO:0006260","POL30","ab_f",0.1158353
"4709",1.02920351907489,"GO:0006260","POL31","ab_f",0.1158353
"387",1.38905363798912,"GO:0006260","POL32","ab_f",0.1158353
"2292",0.472638802657541,"GO:0006260","POL5","ab_f",0.1158353
"738",0.815392812148661,"GO:0006260","PPS1","ab_f",0.1158353
"2016",-0.965205824466095,"GO:0006260","PRI1","ab_f",0.1158353
"556",-1.13150071622396,"GO:0006260","PRI2","ab_f",0.1158353
"899",-1.87642291630751,"GO:0006260","PSF1","ab_f",0.1158353
"3216",0.41399392888141,"GO:0006260","PSF2","ab_f",0.1158353
"3764",-0.2390771862521,"GO:0006260","PSF3","ab_f",0.1158353
"2670",0.389001238010906,"GO:0006260","RAD30","ab_f",0.1158353
"3901",-0.143925814941044,"GO:0006260","RAD51","ab_f",0.1158353
"3408",-0.356890251385517,"GO:0006260","RAD53","ab_f",0.1158353
"2160",0.727516082190356,"GO:0006260","RAD9","ab_f",0.1158353
"3468",0.323182262693977,"GO:0006260","RCO1","ab_f",0.1158353
"1286",0.753186061192886,"GO:0006260","REV3","ab_f",0.1158353
"203",-1.21757796917345,"GO:0006260","RFA1","ab_f",0.1158353
"4362",1.22683376031893,"GO:0006260","RFA2","ab_f",0.1158353
"1172",-1.04699991767131,"GO:0006260","RFA3","ab_f",0.1158353
"2142",-0.523608782570717,"GO:0006260","RFC1","ab_f",0.1158353
"653",-1.30525689571604,"GO:0006260","RFC2","ab_f",0.1158353
"613",-1.52236918670689,"GO:0006260","RFC3","ab_f",0.1158353
"2462",-0.537402260112546,"GO:0006260","RFC4","ab_f",0.1158353
"459",-1.26630002160224,"GO:0006260","RFC5","ab_f",0.1158353
"2385",0.603791926486937,"GO:0006260","RFM1","ab_f",0.1158353
