"","log2FoldChange","go_term","gene","Group","p_value"
"3742",-0.22476129476644,"GO:0000278","ACT1","k_aa",1e-32
"2528",-0.294813124624217,"GO:0000278","AFI1","k_aa",1e-32
"1446",-0.748540621966498,"GO:0000278","AFT1","k_aa",1e-32
"1148",0.920604954288897,"GO:0000278","AIM44","k_aa",1e-32
"1615",0.539814514885545,"GO:0000278","ALK2","k_aa",1e-32
"4507",0.0421015206867991,"GO:0000278","AMN1","k_aa",1e-32
"958",0.558985691562104,"GO:0000278","APC1","k_aa",1e-32
"2741",0.205784267548738,"GO:0000278","APC11","k_aa",1e-32
"802",0.868013871532764,"GO:0000278","APC2","k_aa",1e-32
"1558",0.682660229141096,"GO:0000278","ARF3","k_aa",1e-32
"540",1.4225506540052,"GO:0000278","ASE1","k_aa",1e-32
"1731",0.728866251916445,"GO:0000278","ASH1","k_aa",1e-32
"2332",0.702302329663845,"GO:0000278","ASK1","k_aa",1e-32
"4704",-0.00729186834003673,"GO:0000278","ATC1","k_aa",1e-32
"3191",-0.348451862439821,"GO:0000278","AXL1","k_aa",1e-32
"1612",0.560874783373778,"GO:0000278","AXL2","k_aa",1e-32
"2311",-0.966509836897405,"GO:0000278","BAS1","k_aa",1e-32
"2304",-0.61423450930861,"GO:0000278","BCK1","k_aa",1e-32
"1305",-0.478096634348815,"GO:0000278","BCK2","k_aa",1e-32
"527",0.765565336196874,"GO:0000278","BFA1","k_aa",1e-32
"4586",0.0132284632729096,"GO:0000278","BFR1","k_aa",1e-32
"2958",0.257750728735265,"GO:0000278","BIK1","k_aa",1e-32
"2286",0.327731621401183,"GO:0000278","BIM1","k_aa",1e-32
"687",1.147382247232,"GO:0000278","BIR1","k_aa",1e-32
"2421",-0.571106225217049,"GO:0000278","BNI1","k_aa",1e-32
"1485",0.664892482045265,"GO:0000278","BNI4","k_aa",1e-32
"869",0.586478702016022,"GO:0000278","BRE1","k_aa",1e-32
"737",0.888513899978411,"GO:0000278","BRN1","k_aa",1e-32
"275",1.19394833196446,"GO:0000278","BUB1","k_aa",1e-32
"2148",0.713803954436033,"GO:0000278","BUB2","k_aa",1e-32
"185",0.815094593869965,"GO:0000278","BUD16","k_aa",1e-32
"1313",-0.448790772270839,"GO:0000278","BUD17","k_aa",1e-32
"1746",0.720886294848939,"GO:0000278","BUD2","k_aa",1e-32
"2135",0.628396566158731,"GO:0000278","BUD20","k_aa",1e-32
"843",0.739303215891785,"GO:0000278","BUD23","k_aa",1e-32
"818",0.779717796018616,"GO:0000278","BUD3","k_aa",1e-32
"296",1.3186938339822,"GO:0000278","BUD31","k_aa",1e-32
"4648",0.00536053942465678,"GO:0000278","BUD32","k_aa",1e-32
"606",1.15152557897921,"GO:0000278","BUD4","k_aa",1e-32
"543",1.18002135590976,"GO:0000278","BUD5","k_aa",1e-32
"4269",0.1142511553589,"GO:0000278","BUD6","k_aa",1e-32
"2583",-1.15948920816307,"GO:0000278","BUD7","k_aa",1e-32
"4339",-0.0301475329632431,"GO:0000278","BUD8","k_aa",1e-32
"2073",-0.372949764805102,"GO:0000278","BUR2","k_aa",1e-32
"1278",0.640385464235927,"GO:0000278","CAK1","k_aa",1e-32
"2653",0.516734256736159,"GO:0000278","CBF2","k_aa",1e-32
"466",0.60444902341074,"GO:0000278","CCR4","k_aa",1e-32
"1322",0.845126661370204,"GO:0000278","CDC10","k_aa",1e-32
"3422",0.146019358052593,"GO:0000278","CDC11","k_aa",1e-32
"2474",0.312146738646911,"GO:0000278","CDC12","k_aa",1e-32
"376",1.75234843060809,"GO:0000278","CDC14","k_aa",1e-32
"283",-0.896899481263781,"GO:0000278","CDC15","k_aa",1e-32
"380",0.991321711797359,"GO:0000278","CDC20","k_aa",1e-32
"255",0.927200369452603,"GO:0000278","CDC23","k_aa",1e-32
"2836",0.32785459914634,"GO:0000278","CDC24","k_aa",1e-32
"1788",-0.372629749318582,"GO:0000278","CDC25","k_aa",1e-32
"2247",0.390832751609381,"GO:0000278","CDC28","k_aa",1e-32
"2149",0.380574013705038,"GO:0000278","CDC3","k_aa",1e-32
"2956",-0.195738680603709,"GO:0000278","CDC34","k_aa",1e-32
"4627",0.0124014820838675,"GO:0000278","CDC4","k_aa",1e-32
"3100",0.257870981938412,"GO:0000278","CDC42","k_aa",1e-32
"2487",0.463649844379122,"GO:0000278","CDC45","k_aa",1e-32
"4248",-0.05746939868633,"GO:0000278","CDC48","k_aa",1e-32
"3727",0.123065100186329,"GO:0000278","CDC5","k_aa",1e-32
"3629",0.127767732207238,"GO:0000278","CDC53","k_aa",1e-32
"3105",0.25172541637605,"GO:0000278","CDC55","k_aa",1e-32
"1573",0.424589063827721,"GO:0000278","CDC6","k_aa",1e-32
"1427",0.650536494730746,"GO:0000278","CDC7","k_aa",1e-32
"3207",-0.388633852310932,"GO:0000278","CDC9","k_aa",1e-32
"2882",-0.138878178409387,"GO:0000278","CDH1","k_aa",1e-32
"294",1.14044022313605,"GO:0000278","CEP3","k_aa",1e-32
"2164",0.39282370892781,"GO:0000278","CHK1","k_aa",1e-32
"2639",0.629242911343018,"GO:0000278","CHL1","k_aa",1e-32
"1463",0.511984015418877,"GO:0000278","CHL4","k_aa",1e-32
"841",0.634640159112018,"GO:0000278","CHS1","k_aa",1e-32
"1020",1.06665067581084,"GO:0000278","CHS2","k_aa",1e-32
"690",0.835220414693178,"GO:0000278","CHS5","k_aa",1e-32
"2708",0.387345045747871,"GO:0000278","CHS6","k_aa",1e-32
"31",1.86207867631316,"GO:0000278","CIK1","k_aa",1e-32
"86",1.4242055972468,"GO:0000278","CIN8","k_aa",1e-32
"11",1.52556843550187,"GO:0000278","CKS1","k_aa",1e-32
"418",0.603338367497753,"GO:0000278","CLB2","k_aa",1e-32
"616",1.01357799112812,"GO:0000278","CLB4","k_aa",1e-32
"857",1.39860996285274,"GO:0000278","CLB5","k_aa",1e-32
"3361",0.305798784707637,"GO:0000278","CLN1","k_aa",1e-32
"2179",0.494601170616483,"GO:0000278","CLN2","k_aa",1e-32
"3135",0.221751423222355,"GO:0000278","CLN3","k_aa",1e-32
"732",1.27578338629942,"GO:0000278","CNM67","k_aa",1e-32
"489",0.639393835473365,"GO:0000278","CSE4","k_aa",1e-32
"2564",0.188029532818522,"GO:0000278","CSM1","k_aa",1e-32
"728",0.899004948039911,"GO:0000278","CSM3","k_aa",1e-32
"2674",0.630942857511289,"GO:0000278","CTF18","k_aa",1e-32
"3590",-0.156960591552652,"GO:0000278","CTF3","k_aa",1e-32
"325",0.995772630066524,"GO:0000278","CTF4","k_aa",1e-32
"276",1.1666381982181,"GO:0000278","CTF8","k_aa",1e-32
"1086",0.593338291040566,"GO:0000278","CTR9","k_aa",1e-32
"377",1.09951394044412,"GO:0000278","CYK3","k_aa",1e-32
"3419",0.143083949681914,"GO:0000278","CYS4","k_aa",1e-32
"3280",-0.266866524379362,"GO:0000278","DAD1","k_aa",1e-32
"1173",0.560278393016259,"GO:0000278","DAD2","k_aa",1e-32
"313",1.1603234625192,"GO:0000278","DAD3","k_aa",1e-32
"4437",-0.0499274604078836,"GO:0000278","DAD4","k_aa",1e-32
"541",0.757158868866533,"GO:0000278","DAM1","k_aa",1e-32
"789",0.566276646639387,"GO:0000278","DBF4","k_aa",1e-32
"471",0.934518000056417,"GO:0000278","DCC1","k_aa",1e-32
"1520",-0.549691418270391,"GO:0000278","DCR2","k_aa",1e-32
"1660",0.639948955172113,"GO:0000278","DDC1","k_aa",1e-32
"534",-1.25443649574009,"GO:0000278","DMA2","k_aa",1e-32
"3456",-0.121577471683539,"GO:0000278","DOT1","k_aa",1e-32
"2034",-0.482387040772161,"GO:0000278","DPB11","k_aa",1e-32
"1547",0.471211086992704,"GO:0000278","DSN1","k_aa",1e-32
