"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"HIS5","HIS5",3258.84026685452,1.17152516695098,0.230227506127904,5.08855430289088,3.6080347100245e-07,1.32759277171129e-05,"Up"
"CRH1","CRH1",12914.8933660482,1.69609868978146,0.334000471466116,5.07813262159879,3.81162604157163e-07,1.39195997623409e-05,"Up"
"LAC12","LAC12",17993.1599260551,-3.0924446416188,0.609703450683448,-5.07204713726373,3.93558867470295e-07,1.42650404425614e-05,"Down"
"FIM1_1241","FIM1_1241",159.868536706545,3.43156969345301,0.677094207372707,5.0680830763098,4.0184202533809e-07,1.44154967722967e-05,"Up"
"FIM1_1970","FIM1_1970",1864.46113580496,-1.60715978588831,0.31716730555779,-5.06723031575358,4.0364578155906e-07,1.44154967722967e-05,"Down"
"FIM1_9","FIM1_9",4034.09919957786,2.12145111128321,0.419321609914505,5.05924584167209,4.20917901576103e-07,1.47079010644254e-05,"Up"
"OLE1","OLE1",119984.494950168,0.946041311712996,0.186960491628095,5.06011352171065,4.19006936318432e-07,1.47079010644254e-05,"Normal"
"YJL218W","YJL218W",2008.26941721373,-1.0500198607976,0.207437473464209,-5.06186198309424,4.15181547869335e-07,1.47079010644254e-05,"Down"
"RAD5","RAD5",1256.3996121705,1.77151533277968,0.350888761025318,5.04865224979908,4.44937804185266e-07,1.5436163678056e-05,"Up"
"RSA3","RSA3",650.998971205925,-1.57674989882912,0.312731851293469,-5.04185899935562,4.61030952419406e-07,1.58810449354685e-05,"Down"
"BIR1","BIR1",2489.81597230767,1.75761923581918,0.349998651507296,5.02178859332704,5.11925122369121e-07,1.75100022489213e-05,"Up"
"SWI3","SWI3",5226.57806889801,0.920613061412108,0.18367195980999,5.01226786257678,5.37922507915966e-07,1.82705567898451e-05,"Normal"
"CYB5","CYB5",15569.7904962976,2.80842959075152,0.560527752045612,5.01033103267828,5.43364877008388e-07,1.83272444974288e-05,"Up"
"FIM1_4300","FIM1_4300",724.82902342162,-1.55128439420129,0.309714969218569,-5.00874852163354,5.47851005975465e-07,1.83511195587782e-05,"Down"
"DAL2","DAL2",6343.16886553216,1.13759299535813,0.22739118050471,5.00280174821717,5.65030407718075e-07,1.86690659203176e-05,"Up"
"FIM1_4324","FIM1_4324",1141.0827055254,-3.28493518719235,0.65661311139354,-5.00284738484842,5.64896613478209e-07,1.86690659203176e-05,"Down"
"NPL3","NPL3",13124.7874744198,0.779777959050447,0.156150960983668,4.99374422122195,5.92198165451128e-07,1.94345033080819e-05,"Normal"
"ITR2","ITR2",11568.9314814435,-4.06556761862507,0.814652066162186,-4.9905570580308,6.02054127587728e-07,1.94945126512906e-05,"Down"
"NSA2","NSA2",2231.80366624622,-0.969677332189768,0.194290340254104,-4.99086743541428,6.01087412458614e-07,1.94945126512906e-05,"Normal"
"ASP1","ASP1",2454.80904321293,-3.07176433640782,0.617026729365789,-4.9783326883831,6.41343489477946e-07,2.06291743602277e-05,"Down"
"DOG2","DOG2",15946.4143403272,-1.36022809009397,0.273458985014965,-4.97415760546151,6.553197861921e-07,2.09400539574673e-05,"Down"
"SQT1","SQT1",2355.58174853294,-0.852558238430491,0.171590718513788,-4.96855684162185,6.74530283543628e-07,2.14130299815124e-05,"Normal"
"RKI1","RKI1",7349.54504540418,-2.53665175136193,0.510762960152137,-4.9663972317146,6.82081716631505e-07,2.15121486862287e-05,"Down"
"UTP23","UTP23",2437.67272719052,-1.01359642381006,0.204721002621791,-4.95111107716981,7.37909684732413e-07,2.29745342227265e-05,"Down"
"RDL1","RDL1",5853.14825803036,-1.35341093605057,0.273292887558772,-4.95223621858626,7.33654691295354e-07,2.29745342227265e-05,"Down"
"BAR1","BAR1",805.501226490376,2.60552279800422,0.527440599931426,4.93993598206694,7.814822373449e-07,2.41761734190075e-05,"Up"
"SPS22","SPS22",1250.58805869539,2.03681470879794,0.412618882117692,4.93630998742559,7.96145296444065e-07,2.44739095242331e-05,"Up"
"DUG3","DUG3",3520.35329415207,1.31475064056634,0.266531888459196,4.93280803346582,8.1055808504742e-07,2.47602554658825e-05,"Up"
"OSW5","OSW5",82.2098633972909,2.26530153254654,0.460117539924926,4.92331053694706,8.50922589726183e-07,2.57046647778835e-05,"Up"
"PCL1","PCL1",10078.5630418776,1.72067657774828,0.349514380161524,4.92304945208002,8.52059095993257e-07,2.57046647778835e-05,"Up"
"GAL10","GAL10",52899.3636565151,-1.1679505093934,0.238071363534649,-4.90588406792326,9.3007451318255e-07,2.78850117933805e-05,"Down"
"COX14","COX14",4403.34154747729,-0.952853129193322,0.19448637776329,-4.89933094621693,9.61635500235168e-07,2.83822784964112e-05,"Normal"
"CHO2","CHO2",9698.55317752302,1.26059930319501,0.257327687963165,4.8988094253404,9.64191054541455e-07,2.83822784964112e-05,"Up"
"MRH4","MRH4",1171.73546499526,-1.2967748308983,0.26471195177813,-4.89881481432012,9.64164614087359e-07,2.83822784964112e-05,"Down"
"HMLALPHA3","HMLALPHA3",936.426653667188,-1.2160419124119,0.248917012303391,-4.88533066164933,1.03255417635798e-06,3.02115399672934e-05,"Down"
"HIS2","HIS2",1098.64752818178,1.12771397810829,0.231145836838457,4.87879856947813,1.0673399893705e-06,3.10423372956437e-05,"Up"
"MTO1","MTO1",1639.47351828198,-0.874322405723352,0.179534293039703,-4.86994652063493,1.11628456745472e-06,3.22725841912357e-05,"Normal"
"GEP4","GEP4",699.425808384441,-1.29986245768912,0.267207566234906,-4.86461695679079,1.14678679459556e-06,3.29582453334358e-05,"Down"
"CDC6","CDC6",1177.4641580294,1.51968894580216,0.312868330059515,4.85727956394013,1.19009510545194e-06,3.40017172187062e-05,"Up"
"HBN1","HBN1",2617.39332564864,1.13229582650588,0.234101396487325,4.83677519013511,1.31962532770178e-06,3.73555945280395e-05,"Up"
"COA3","COA3",4310.03344365295,-1.6658269572426,0.344443337056264,-4.8362873600034,1.32286643171151e-06,3.73555945280395e-05,"Down"
"CIC1","CIC1",1327.38384597812,-1.37515953499518,0.284418947411273,-4.83497863806762,1.3315993412209e-06,3.73848439324272e-05,"Down"
"HIS1","HIS1",1906.78788838479,2.33903511207233,0.484014978099007,4.83256762271905,1.34783307240806e-06,3.76231335211837e-05,"Up"
"ICL1","ICL1",45038.3309837656,-7.92934907165722,1.64347230504051,-4.82475369212978,1.40176389807252e-06,3.89049557310756e-05,"Down"
"CYP707A7","CYP707A7",11394.2410419771,1.37803638376282,0.285784344443278,4.82194497549299,1.42165166453252e-06,3.91981289823331e-05,"Up"
"CIT3","CIT3",2726.25907787712,-7.00742302961904,1.45352335522816,-4.82099101085246,1.4284679493253e-06,3.91981289823331e-05,"Down"
"RPT4","RPT4",9591.14390090168,1.16225013075921,0.241220509045643,4.81820611090447,1.44854692320525e-06,3.95258000337523e-05,"Up"
"APL4","APL4",3081.31803001534,0.821446576319381,0.170807302121251,4.80920057935381,1.51535093819297e-06,4.1117650875996e-05,"Normal"
"LEU2","LEU2",9172.97016177146,1.39441297374533,0.292436694647207,4.76825582859065,1.85827715943406e-06,5.01425120187289e-05,"Up"
"MPM1","MPM1",20252.0081779283,-1.71440509182328,0.359784861145191,-4.76508401817228,1.88774972252782e-06,5.06563558139094e-05,"Down"
"YBR242W","YBR242W",1079.13883780047,1.60539432477228,0.337481400854678,4.75698607599288,1.96504717706832e-06,5.24408469176968e-05,"Up"
"GIT1","GIT1",4864.92589141132,-1.64494451965184,0.345897561502286,-4.75558287403819,1.97874664111302e-06,5.25178821633111e-05,"Down"
"AMD1","AMD1",6682.74252159532,0.731051262562182,0.153826756937386,4.75243239288827,2.00983983770607e-06,5.30532178898826e-05,"Normal"
