"","log2FoldChange","go_term","gene","Group","p_value"
"2316",-0.739200686546765,"GO:0007010","ABP1","k_aa",0.0002466
"202",1.14785880867905,"GO:0007010","ABP140","k_aa",0.0002466
"1217",-1.07797781304441,"GO:0007010","ACF2","k_aa",0.0002466
"3742",-0.22476129476644,"GO:0007010","ACT1","k_aa",0.0002466
"3996",0.0987874439190988,"GO:0007010","AIM14","k_aa",0.0002466
"134",1.01040814397636,"GO:0007010","AIM7","k_aa",0.0002466
"4354",0.045958831310577,"GO:0007010","AIP1","k_aa",0.0002466
"4675",-0.00575737310969759,"GO:0007010","AKL1","k_aa",0.0002466
"3491",-0.29874918389429,"GO:0007010","ARC15","k_aa",0.0002466
"3678",-0.171872385140698,"GO:0007010","ARC18","k_aa",0.0002466
"4306",0.0882690087391059,"GO:0007010","ARC19","k_aa",0.0002466
"2312",-0.482731897024038,"GO:0007010","ARC35","k_aa",0.0002466
"1643",-0.4745893218821,"GO:0007010","ARC40","k_aa",0.0002466
"1558",0.682660229141096,"GO:0007010","ARF3","k_aa",0.0002466
"2756",-0.456271743086548,"GO:0007010","ARP2","k_aa",0.0002466
"1210",-0.498390434842814,"GO:0007010","ARP3","k_aa",0.0002466
"540",1.4225506540052,"GO:0007010","ASE1","k_aa",0.0002466
"2332",0.702302329663845,"GO:0007010","ASK1","k_aa",0.0002466
"2922",-0.18021190487072,"GO:0007010","ASR1","k_aa",0.0002466
"3909",-0.2520664746403,"GO:0007010","ATS1","k_aa",0.0002466
"2544",0.374454165155858,"GO:0007010","AVO1","k_aa",0.0002466
"4401",-0.0529893282687978,"GO:0007010","AVO2","k_aa",0.0002466
"2311",-0.966509836897405,"GO:0007010","BAS1","k_aa",0.0002466
"2614",-0.806592114115171,"GO:0007010","BBC1","k_aa",0.0002466
"2681",0.267595795872859,"GO:0007010","BBP1","k_aa",0.0002466
"3380",0.16906185877808,"GO:0007010","BEM2","k_aa",0.0002466
"779",1.31468917562927,"GO:0007010","BEM3","k_aa",0.0002466
"482",0.870429184384351,"GO:0007010","BEM4","k_aa",0.0002466
"2958",0.257750728735265,"GO:0007010","BIK1","k_aa",0.0002466
"4474",-0.0866484895316324,"GO:0007010","BIL1","k_aa",0.0002466
"2286",0.327731621401183,"GO:0007010","BIM1","k_aa",0.0002466
"687",1.147382247232,"GO:0007010","BIR1","k_aa",0.0002466
"423",-0.532580840486831,"GO:0007010","BIT61","k_aa",0.0002466
"2421",-0.571106225217049,"GO:0007010","BNI1","k_aa",0.0002466
"2685",-0.215493255886097,"GO:0007010","BNI5","k_aa",0.0002466
"3465",0.43160922452347,"GO:0007010","BNR1","k_aa",0.0002466
"2148",0.713803954436033,"GO:0007010","BUB2","k_aa",0.0002466
"2823",0.654989263464239,"GO:0007010","BUD14","k_aa",0.0002466
"606",1.15152557897921,"GO:0007010","BUD4","k_aa",0.0002466
"4269",0.1142511553589,"GO:0007010","BUD6","k_aa",0.0002466
"2012",-0.530597584307917,"GO:0007010","BZZ1","k_aa",0.0002466
"1278",0.640385464235927,"GO:0007010","CAK1","k_aa",0.0002466
"4523",-0.0319006263395981,"GO:0007010","CAP1","k_aa",0.0002466
"3386",-0.197448987488214,"GO:0007010","CAP2","k_aa",0.0002466
"2653",0.516734256736159,"GO:0007010","CBF2","k_aa",0.0002466
"68",1.34750559822407,"GO:0007010","CBK1","k_aa",0.0002466
"1322",0.845126661370204,"GO:0007010","CDC10","k_aa",0.0002466
"2474",0.312146738646911,"GO:0007010","CDC12","k_aa",0.0002466
"376",1.75234843060809,"GO:0007010","CDC14","k_aa",0.0002466
"283",-0.896899481263781,"GO:0007010","CDC15","k_aa",0.0002466
"2836",0.32785459914634,"GO:0007010","CDC24","k_aa",0.0002466
"2247",0.390832751609381,"GO:0007010","CDC28","k_aa",0.0002466
"2149",0.380574013705038,"GO:0007010","CDC3","k_aa",0.0002466
"912",0.587641891783183,"GO:0007010","CDC31","k_aa",0.0002466
"388",-1.12657103985119,"GO:0007010","CDC37","k_aa",0.0002466
"3100",0.257870981938412,"GO:0007010","CDC42","k_aa",0.0002466
"4248",-0.05746939868633,"GO:0007010","CDC48","k_aa",0.0002466
"3727",0.123065100186329,"GO:0007010","CDC5","k_aa",0.0002466
"2882",-0.138878178409387,"GO:0007010","CDH1","k_aa",0.0002466
"294",1.14044022313605,"GO:0007010","CEP3","k_aa",0.0002466
"1020",1.06665067581084,"GO:0007010","CHS2","k_aa",0.0002466
"31",1.86207867631316,"GO:0007010","CIK1","k_aa",0.0002466
"515",0.730896331007489,"GO:0007010","CIN1","k_aa",0.0002466
"86",1.4242055972468,"GO:0007010","CIN8","k_aa",0.0002466
"418",0.603338367497753,"GO:0007010","CLB2","k_aa",0.0002466
"616",1.01357799112812,"GO:0007010","CLB4","k_aa",0.0002466
"857",1.39860996285274,"GO:0007010","CLB5","k_aa",0.0002466
"3094",-0.149506533920631,"GO:0007010","CMD1","k_aa",0.0002466
"732",1.27578338629942,"GO:0007010","CNM67","k_aa",0.0002466
"839",0.582433089003979,"GO:0007010","CTF13","k_aa",0.0002466
"3280",-0.266866524379362,"GO:0007010","DAD1","k_aa",0.0002466
"1173",0.560278393016259,"GO:0007010","DAD2","k_aa",0.0002466
"313",1.1603234625192,"GO:0007010","DAD3","k_aa",0.0002466
"4437",-0.0499274604078836,"GO:0007010","DAD4","k_aa",0.0002466
"541",0.757158868866533,"GO:0007010","DAM1","k_aa",0.0002466
"534",-1.25443649574009,"GO:0007010","DMA2","k_aa",0.0002466
"1825",-0.346712265620308,"GO:0007010","DSK2","k_aa",0.0002466
"3341",0.171973262523174,"GO:0007010","DUO1","k_aa",0.0002466
"1642",-0.610452031910099,"GO:0007010","DYN1","k_aa",0.0002466
"1247",-0.836771872401688,"GO:0007010","EFB1","k_aa",0.0002466
"131",1.64867210429686,"GO:0007010","ELM1","k_aa",0.0002466
"4478",-0.0424959346982094,"GO:0007010","END3","k_aa",0.0002466
"1697",-0.461721320179247,"GO:0007010","ENT2","k_aa",0.0002466
"3006",-0.329880075517318,"GO:0007010","ENT3","k_aa",0.0002466
"3428",-0.198527094142585,"GO:0007010","ENT4","k_aa",0.0002466
"1551",0.649240570092773,"GO:0007010","ESP1","k_aa",0.0002466
"1294",0.510775300158629,"GO:0007010","FIN1","k_aa",0.0002466
"3063",0.48987112913424,"GO:0007010","FMP45","k_aa",0.0002466
"3054",0.239971266396795,"GO:0007010","GCS1","k_aa",0.0002466
"3227",0.211554588489989,"GO:0007010","GEA2","k_aa",0.0002466
"723",0.625391703313163,"GO:0007010","GIC2","k_aa",0.0002466
"108",1.53218907406257,"GO:0007010","GIN4","k_aa",0.0002466
"1852",-0.782306551520412,"GO:0007010","GLC7","k_aa",0.0002466
"1966",0.400357426279601,"GO:0007010","GRX3","k_aa",0.0002466
"2161",-0.355183740468024,"GO:0007010","GVP36","k_aa",0.0002466
"87",1.51486338852905,"GO:0007010","HCM1","k_aa",0.0002466
"2382",0.439585343202603,"GO:0007010","HOF1","k_aa",0.0002466
"366",-1.22111802384049,"GO:0007010","HSP42","k_aa",0.0002466
"4143",0.11193621588914,"GO:0007010","ICE2","k_aa",0.0002466
"1719",0.399626982778934,"GO:0007010","IPL1","k_aa",0.0002466
"552",1.45867793119961,"GO:0007010","IQG1","k_aa",0.0002466
"2445",-0.438353348337227,"GO:0007010","JNM1","k_aa",0.0002466
"672",0.729860530626207,"GO:0007010","KAR1","k_aa",0.0002466
"1013",0.571859370175332,"GO:0007010","KAR3","k_aa",0.0002466
"160",1.3800310598703,"GO:0007010","KAR9","k_aa",0.0002466
"405",0.843606237170626,"GO:0007010","KEL1","k_aa",0.0002466
"735",0.970757770091987,"GO:0007010","KIP2","k_aa",0.0002466
