"","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"GDH3",16.2334,19.1324,19.0734,19.1783,20.6163,22.327,17.7587,22.9885,23.1042,23.1128,28.2628,19.8025,18.886,19.5476,19.4334,26.1841,20.6423,20.9928,17.5572,22.8516,23.9646,17.8072,76.1742,80.6892,75.4088,62.4007,77.8663,71.7381,81.1198,79.1791,82.4073,83.4903,114.231,120.742,131.061
"BDH2",119.589,112.571,123.484,122.86,109.835,122.819,107.668,144.894,148.102,142.982,139.473,179.411,114.441,159.584,168.189,181.715,177.105,172.919,153.152,171.027,185.423,191.939,413.435,447.43,427.036,456.329,422.385,412.044,431.707,446.764,438.518,459.205,719.512,705.64,729.922
"BDH1",407.997,431.708,411.822,402.824,435.238,428.513,428.281,466.886,461.579,484.762,474.978,481.869,409.101,454.632,436.037,447.327,447.321,472.141,433.749,515.067,516.551,504.085,157.253,169.354,158.674,147.547,166.463,153.044,170.997,173.21,176.01,147.214,252.092,245.926,250.276
"CNE1",16.3961,13.5885,12.5105,16.0672,14.4467,13.6081,19.4426,18.6774,21.4095,14.3638,15.0472,28.8317,16.8088,17.5566,14.9246,27.5248,16.716,18.9982,16.1712,15.1564,16.5944,21.627,27.3653,33.6196,27.2118,26.8504,30.7746,22.397,31.6116,26.9251,27.5892,29.2421,29.5847,25.7037,23.8837
"YAL058C-A",0,18.966,23.3057,0,0,22.3338,0,0,0,16.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPB2",37.5662,42.3785,35.0531,36.693,36.7313,35.8223,42.2901,38.3067,37.9221,39.2812,34.641,44.9762,39.5107,39.9046,41.1893,35.5367,35.8951,36.4595,40.6784,40.3834,45.6416,49.0752,73.7414,70.7931,68.8241,79.7091,60.2261,56.9659,61.6788,62.2151,66.0919,55.699,88.5445,86.1006,84.1654
"PEX22",30.7668,31.7232,29.4068,30.9036,24.6001,34.3529,37.2585,38.5598,25.2529,22.7029,29.0904,8.66941,26.7743,40.5628,29.2325,41.3327,20.6563,24.071,29.4235,28.8906,38.1556,39.2254,64.0928,54.7507,52.3734,70.1804,56.9028,46.1828,51.9602,52.919,43.3469,35.7398,74.5702,66.1467,75.4118
"ACS1",8.64367,7.69388,5.69409,5.87091,8.47237,6.74743,6.5549,7.88213,8.14905,8.24774,7.86175,4.47212,8.36664,6.35202,6.89508,0,8.85631,6.38432,5.94685,7.53088,7.37063,6.58483,83.2939,78.5643,75.6774,78.9159,75.2518,65.9281,69.9439,71.2461,73.4667,70.6034,45.9742,50.9199,49.5881
"FLC2",35.7901,40.1466,36.9877,34.9488,31.0914,38.7281,39.9834,37.4265,38.6165,35.293,33.2782,24.2005,37.8209,44.3951,47.8292,31.0957,46.6836,44.689,44.0453,42.3443,42.7209,46.0568,60.9515,70.7375,65.5738,61.118,71.832,58.1297,65.6219,68.3942,66.4279,64.417,65.1685,62.5186,74.3938
"OAF1",18.839,19.4379,20.5589,22.8558,21.3169,20.8072,19.4853,17.8903,19.031,21.1782,19.9552,19.6279,21.9999,28.2607,24.7757,15.1713,26.3585,24.9958,26.4711,28.5876,27.1086,26.051,54.2195,53.4407,56.0464,50.6305,47.3562,52.3544,53.142,49.864,45.9778,46.5727,52.9383,50.5059,51.3351
"AIM2",237.511,225.732,232.785,224.833,212.629,227.978,231.955,225.807,227.364,210.509,200.043,184.724,219.669,218.28,229.71,139.049,223.259,201.714,214.44,232.326,215.531,212.271,239.42,263.906,241.304,228.544,225.171,230.47,233.242,227.318,246.101,254.528,309.379,297.934,312.795
"GEM1",7.85249,10.3879,9.50303,11.4313,9.35697,13.2256,12.1848,9.78438,9.54567,13.5256,10.6305,4.857,13.5909,14.5683,15.984,21.568,16.8449,15.4463,15.0454,16.4824,18.8871,16.7617,25.5781,25.6513,24.132,23.8996,24.8213,16.4653,22.9107,21.76,23.6597,23.5347,25.5767,20.7323,20.0353
"SPC72",10.3961,11.076,9.07849,10.6182,8.6854,9.24552,7.9635,8.61972,8.19021,8.85435,9.15825,6.94478,9.42305,13.14,11.1951,5.22196,10.9476,8.75747,9.83376,8.55652,9.86066,8.56465,14.4678,16.0486,15.5509,15.9157,16.0886,13.5088,16.9581,12.5876,13.8045,14.8275,12.8936,13.4927,14.3726
"AIM1",110.129,112.07,122.873,108.397,114.719,108.721,100.478,98.2844,131.174,105.251,118.974,115.076,114.009,98.4613,102.29,185.675,98.7457,86.4942,119.634,89.1249,113.571,97.469,64.8681,90.0988,77.1497,85.8319,100.372,75.6663,104.443,154.734,121.813,124.874,86.3757,57.4695,58.8301
"GCV3",611.943,599.003,642.695,627.146,654.489,579.062,648.469,693.757,656.087,732.157,682.967,657.265,603.521,439.237,468.433,423.128,449.406,443.979,457.094,747.602,782.24,738.965,361.938,350.681,317.316,364.08,428.968,438.487,415.466,465.401,429.534,458.864,588.854,575.139,580.823
"PTA1",20.754,21.4515,22.5588,20.4165,21.0461,20.7956,22.899,24.1579,27.5882,29.8133,24.3838,34.8586,22.3618,25.36,23.3841,25.1257,23.6004,23.802,23.1647,28.4157,24.6043,24.0346,29.1469,26.8598,23.1887,26.2173,22.4438,23.4284,21.982,20.0619,21.4118,18.2912,18.1664,20.3465,16.4629
"YAL043C-A",124.404,0,146.842,155.263,134.397,129.267,128.075,127.416,166.448,151.012,179.928,164.759,115.112,121.889,125.573,109.177,135.544,143.023,128.892,105.087,125.213,0,70.1252,0,0,0,120.616,102.868,97.962,79.8933,97.6584,71.2843,0,89.3312,0
"ERV46",133.437,140.15,129.086,126.241,130.395,132.297,118.416,147.514,159.201,155.47,155.622,189.531,124.321,121.724,113.96,122.872,111.825,114.824,115.049,118.454,114.811,129.372,63.1261,70.9708,77.7373,74.0889,61.3892,66.9113,76.5636,68.1416,75.6808,67.3374,81.4821,77.2285,78.9218
"CDC24",24.7327,28.5329,23.9211,22.147,23.2599,27.8815,22.9844,19.9206,18.0832,21.3531,23.5531,23.2333,25.0381,24.3939,23.6337,29.2871,25.1464,25.3274,26.2849,20.5462,25.8002,19.6626,32.9606,33.7904,33.4239,33.9248,26.7775,23.487,26.4192,30.0517,27.6906,24.4573,32.1289,31.8485,30.8118
"CLN3",83.5973,83.9583,89.5414,85.9492,77.8296,78.2662,84.0595,67.3367,62.2571,64.6398,63.1179,50.7333,80.24,87.6743,88.1808,60.0321,90.701,102.892,92.6606,107.662,99.9362,100.932,212.443,190.206,190.748,169.123,167.837,157.085,167.811,158.672,149.692,155.261,123.278,115.025,124.46
"CYC3",23.3386,22.6148,28.1824,28.0821,26.0645,28.8412,32.2806,32.2416,42.38,39.7409,30.6074,33.6487,26.5332,31.2864,20.7842,28.7094,29.4729,26.4194,32.093,35.3411,38.0176,33.0677,150.339,148.69,165.952,144.797,144.051,142.583,142.786,138.073,163.046,132.248,183.738,209.757,209.349
"CDC19",4589.25,4586.3,4602.72,4594.77,4595.04,4651.17,4669.47,4468.57,4397.62,4389.14,4480.64,4921.92,4705.1,4466.79,4344.24,4330.19,4437.2,4376.64,4352.91,5074.34,5051.98,4940.3,5643.72,5715.63,5780.47,5651.63,5214.66,5213.52,5186.28,5373.48,5423.31,5424.82,5560.36,5578.49,5593.64
"RBG1",15.9569,13.9662,20.685,14.2772,9.56913,16.1718,14.8572,17.301,14.4397,11.4808,13.1159,6.40483,17.1096,30.4817,42.3988,16.1811,32.7979,32.734,40.7893,33.888,30.1181,30.2798,42.6461,50.1319,43.3051,53.1249,45.0631,50.056,36.1203,54.6491,57.1529,51.0884,51.7332,55.9143,61.1928
"FUN12",37.5156,36.946,40.1869,31.6968,38.184,36.8045,34.0569,36.4378,36.7434,40.9874,38.2263,35.015,37.5348,57.9926,50.5881,37.8884,55.1281,55.6688,54.1678,54.0353,51.9734,49.4632,64.3273,65.0098,66.0761,66.4596,57.0751,53.1458,52.7696,54.9988,53.0383,49.5951,117.701,120.258,116.434
"YAL035C-A",0,0,0,0,0,0,0,0,0,0,0,19.546,0,0,0,0,6.03624,0,0,0,0,8.10369,0,0,0,0,0,4.25169,0,3.28302,0,0,0,0,0
"MTW1",22.4952,14.3406,22.937,17.0995,15.6681,19.8755,14.8781,22.2076,20.1913,19.9546,17.9113,13.1074,21.185,16.759,13.9089,11.677,13.4998,17.342,19.4169,22.8894,21.6794,15.2873,5.91559,5.47177,4.63524,4.81357,5.52815,5.48195,3.51351,2.8201,7.74533,2.05255,5.93068,7.3035,6.55281
"FUN19",52.4221,53.9964,53.1028,57.5324,51.9305,44.6426,56.0532,46.75,43.1513,49.7329,49.9417,53.0539,53.16,56.8195,59.8868,59.594,54.141,59.9349,61.6106,72.9434,69.6201,65.9729,136.527,145.585,132.577,124.945,105.383,102.678,96.1735,108.344,100.088,117.76,154.968,161.321,157.433
"POP5",32.886,27.2472,37.998,46.7317,34.9748,47.0773,37.3723,29.1166,48.9301,46.4557,33.0603,64.762,40.2048,27.6797,20.8129,0,27.8351,31.7665,18.7782,18.7135,28.8849,31.0628,31.2674,30.6446,21.4045,36.0836,23.916,13.9836,30.526,38.1877,34.8875,34.7196,54.0065,49.3994,45.5526
"PRP45",18.1888,17.5072,18.6262,19.3363,14.9447,16.8727,15.4622,20.7586,20.958,22.2181,17.3668,15.4949,20.761,17.5051,14.6307,28.5931,17.3077,17.6538,14.3108,14.8431,13.3087,15.4721,30.6955,26.6821,28.8355,22.2365,30.316,19.1352,18.8523,27.3266,29.5706,34.7541,28.577,28.8278,32.7827
"GIP4",18.0625,20.7568,17.8355,20.5036,19.1265,18.3848,23.0197,21.5856,22.6323,21.0982,23.3239,15.2818,17.722,27.1187,27.8839,51.0604,26.5354,20.8785,22.5558,26.654,24.7703,23.9982,44.0887,39.9667,41.3569,34.6397,34.9284,37.7345,31.6833,36.8635,37.7956,37.688,43.9438,38.7932,40.5374
"SNC1",224.975,289.736,314.706,209.858,315.326,231.285,292.474,238.715,256.792,287.507,310.604,351.828,293.543,257.94,246.803,403.772,246.555,236.235,228.428,237.737,234.872,227.305,398.911,393.543,432.438,413.214,474.334,401.742,369.819,409.586,489.307,452.685,498.011,478.791,451.645
"MYO4",17.9298,18.0107,17.7668,16.5553,20.958,17.5019,17.8839,16.7569,16.9361,17.4394,15.6085,15.7437,19.5077,25.8121,25.6128,34.0885,23.2441,24.6235,24.1725,24.6136,27.7043,27.6187,25.5225,26.1557,25.5608,22.384,23.3362,20.3457,21.3755,22.4231,19.9287,22.0631,19.2958,20.8872,21.4092
"FRT2",24.6362,20.4828,21.987,24.9229,21.1275,18.8048,25.0571,24.6184,22.8857,20.4365,20.5004,18.8287,21.0111,25.0079,24.5673,17.4943,19.7747,24.7621,21.5847,23.381,23.4303,22.3481,25.7274,27.0328,30.2382,34.7309,25.6346,20.5303,30.3425,27.1979,27.208,25.0658,34.3921,40.1525,32.2447
"SAW1",40.1864,37.5902,32.0665,37.1784,45.0473,34.6609,46.4586,46.3259,35.4242,45.2305,36.1083,47.5729,51.925,39.8783,31.6835,0,34.615,35.9533,30.1788,31.1669,36.2701,32.3417,31.8326,41.3004,38.8399,38.206,34.8533,38.9716,48.8925,42.5183,50.8694,34.4742,35.8081,35.8298,37.5718
"DRS2",16.5698,14.644,16.0101,14.3531,14.4362,15.2095,17.2104,14.4468,14.406,14.2389,16.4716,11.5672,14.1053,18.9684,16.49,17.8,20.0507,20.0901,18.5856,18.0521,17.8209,17.195,23.3302,22.3157,22.4446,22.4011,22.4855,22.2319,20.5101,20.0112,20.2534,19.7511,22.3296,22.4615,16.2609
"MAK16",16.945,11.4024,13.2347,13.4968,12.0179,15.986,12.8022,14.4687,15.6851,16.3117,17.4948,12.1656,11.0906,32.8435,31.5302,53.8191,29.4553,27.6868,31.6897,26.3629,31.8673,21.2229,44.6966,45.8121,46.1441,48.892,52.7875,65.561,67.2968,63.3717,59.9781,57.402,111.803,113.273,123.948
"LTE1",3.0584,3.8891,3.60152,4.33692,4.91734,3.59512,3.33786,3.3337,3.01001,3.12288,3.85391,3.51276,3.50585,3.32069,4.2447,2.06398,2.97339,4.08852,3.06687,4.5151,5.03629,5.06602,1.7513,2.01023,2.01541,1.97595,0.683986,1.54412,0.933595,1.1873,2.61744,1.73242,1.14091,1.90145,1.56073
"PMT2",98.7827,100.586,112.422,104.48,106.941,115.242,100.751,102.681,108.554,116.058,104.96,102.954,105.053,123.657,129.758,104.093,125.1,127.596,130.427,146.041,138.69,140.488,58.1383,61.4727,54.8677,60.1727,51.4034,57.9347,53.4115,54.0809,53.9102,45.5097,45.7631,39.1822,44.2631
"FUN26",35.1317,34.0555,32.0998,34.2263,38.7939,33.8639,36.6854,39.5722,35.1739,39.0874,34.393,45.0134,34.8993,37.9311,35.1048,27.7577,36.0507,35.4003,41.888,32.7522,38.2148,37.481,30.567,30.8516,32.1719,31.5127,26.4062,33.1861,30.0151,31.8351,30.1365,24.5277,32.8409,31.9119,32.1791
"CCR4",31.6509,35.366,36.67,35.6143,29.9711,30.711,35.7308,40.1106,37.0429,38.0319,36.1261,53.4666,34.8704,32.8708,34.2703,61.525,35.7595,33.9098,39.0129,37.8632,40.5255,39.7173,29.7395,31.535,35.4006,30.4385,26.3498,27.7574,29.3668,29.2646,29.6464,29.9785,26.0086,23.865,29.4405
"ATS1",11.529,14.5758,16.9611,11.8313,16.1102,12.9705,13.6304,19.2771,21.1095,13.4447,13.0154,21.8388,14.4764,17.1286,13.7097,7.00321,15.3004,17.7028,13.3388,17.3622,22.3781,22.1404,20.8338,27.3614,26.6108,21.8277,21.7793,26.2067,22.9649,30.6348,26.9916,28.8383,44.3451,49.4936,46.5226
"FUN30",7.68699,6.90045,8.10129,7.54723,8.47677,7.59278,7.65223,7.70072,7.74538,7.34968,10.5973,7.22991,7.7548,11.5522,11.5354,8.87718,14.1074,11.8707,12.1509,11.5447,15.1761,13.3842,19.273,20.1027,20.1464,23.7091,17.1731,16.4131,17.5767,21.4612,16.9459,15.8406,17.525,17.7249,16.9788
"PSK1",21.0287,26.3115,24.0999,22.911,24.1129,23.72,24.6042,25.4934,25.0805,21.1821,22.4587,18.6423,21.7624,24.6686,25.3871,34.8635,24.4593,27.1084,24.1598,28.9692,28.5953,33.3517,49.8575,48.4464,50.9042,47.385,46.7789,44.941,42.3809,43.0667,43.6771,45.0916,64.7022,69.974,67.3406
"TPD3",146.607,154.286,141.037,144.09,145.211,140.451,136.154,129.432,123.48,125.709,136.951,130.614,144.659,152.094,146.711,143.32,159.713,150.798,151.334,168.67,166.372,162.607,133.724,137.592,138.423,139.198,135.962,125.016,137.598,127.303,123.679,113.375,101.729,108.304,113.061
"NTG1",62.5757,65.7808,61.8864,59.3836,59.5531,64.6542,67.6924,72.9532,77.7938,77.7757,74.9655,34.9311,69.1433,52.1354,47.2905,55.0869,51.9843,61.1175,54.1859,59.6399,69.9606,56.601,42.443,43.5474,41.6357,44.4812,46.3471,47.6273,47.3239,46.2392,47.4325,40.1036,47.9521,56.1575,47.7023
"SYN8",74.6613,69.2651,79.114,78.626,59.7673,72.2761,66.5646,81.6738,71.7245,76.5028,74.2232,98.222,73.4148,69.7762,67.7162,63.0374,80.2955,62.6978,64.1293,61.3664,60.3231,63.3654,43.607,52.1056,46.0844,50.921,46.8176,42.2312,48.3624,34.2662,34.3118,43.2588,45.925,39.0599,46.7648
"DEP1",34.0284,28.5986,35.3992,38.5562,35.6926,39.9508,39.9541,51.5728,63.5126,48.7478,61.3004,48.6009,40.3216,33.3592,25.6881,50.5296,26.7116,29.4205,24.4033,30.3663,29.693,32.943,22.262,31.7108,24.9729,28.7303,17.6738,25.6348,24.2387,29.0458,24.6894,22.0997,49.1153,51.0698,42.9439
"CYS3",1628.14,1611.96,1645.66,1623.23,1607.39,1668.39,1675.7,1752.04,1753.13,1736.85,1717.39,1770.5,1637.65,959.499,933.928,802.906,937.102,931.792,969.175,553.771,576.055,566.317,31.6573,30.0761,40.4308,26.4767,28.7574,37.0554,34.3089,34.0955,27.1054,32.0802,30.6313,29.3897,27.6227
"SWC3",7.9593,7.92854,9.46506,10.0844,7.11001,7.90367,6.90089,9.31861,9.99726,9.36859,8.55105,12.0877,8.21723,9.2226,7.04512,8.46308,7.49266,7.09386,6.50141,5.50758,4.95747,10.3383,16.3556,16.3268,16.383,15.8382,13.4504,10.0928,14.1487,15.3278,11.5484,9.49442,38.5096,36.1566,33.683
"MDM10",29.8423,31.9475,34.9973,35.2004,30.2933,29.9212,34.1157,26.9006,28.6678,26.7998,24.6367,29.4443,32.4729,31.5805,35.7888,27.9427,34.0947,32.0881,32.0037,30.0491,33.8126,28.2626,27.5783,28.3911,30.2584,25.7513,24.3023,26.6087,33.8579,26.6412,20.6798,22.5793,25.6485,25.7038,27.015
"SPO7",66.4892,66.0086,56.1683,51.3176,56.1827,57.7307,65.1453,34.4963,48.4354,50.6555,36.5985,35.4235,48.5279,51.0929,59.1264,60.3756,47.4311,40.638,42.6955,51.1363,43.7343,43.6994,38.0291,38.0826,38.7582,41.4618,36.1029,25.2631,42.2184,39.0903,38.2718,38.1365,37.1825,29.0207,27.3129
"FUN14",94.8581,116.149,103.019,100.053,110.509,96.6068,104.14,110.774,106.122,113.847,113.749,119.352,102.568,133.308,131.189,19.754,144.153,135.77,143.947,142.161,145.934,178.867,279.109,286.321,238.076,247.623,316.856,309.444,313.493,230.372,258.289,244.393,250.346,250.95,271.424
"ERP2",260.136,261.887,259.194,258.662,270.557,234.2,259.669,233.42,228.506,240.484,232.166,230.633,227.466,198.248,216.252,319.952,210.107,216.897,203.986,229.122,259.921,263.02,45.2519,61.9032,55.3497,48.7859,62.14,54.1107,65.1656,49.166,50.3875,46.4578,62.704,62.6997,48.2784
"SSA1",1132.98,1102.88,1165.57,1130.5,1125.14,1207.66,1190.99,1496.71,1484.03,1463.98,1481.24,1445.25,1148.31,1111.43,1097.23,1088.61,1101.98,1078.5,1075.85,1308.26,1324.77,1276.23,1787.45,1843.01,1834.31,1861.4,1532.79,1548.55,1460.78,1575.35,1562.54,1594.32,2578.32,2555,2578.3
"EFB1",883.254,867.353,837.369,857.806,817.243,852.713,883.747,911.128,892.333,876.8,889.435,871.536,855.154,1005.12,1046.22,1183.43,1025.14,1024.6,1017.7,1271.62,1297.06,1323.9,766.389,747.039,768.132,757.956,742.584,813.372,731.515,737.155,743.38,691.708,815.725,779.55,864.872
"VPS8",18.4983,18.7118,19.629,17.0083,15.1512,16.1319,17.7508,14.431,16.4659,15.8029,17.049,14.3362,17.5917,21.8356,20.585,14.4989,21.0698,17.6319,18.7962,20.5884,22.0542,20.7787,33.7411,33.9394,33.9613,43.0814,31.6963,28.86,31.7613,27.9735,31.135,30.9633,34.3738,34.3041,41.0742
"TFC3",18.4733,18.4884,20.101,19.7886,19.7676,18.8716,20.0085,18.787,20.9214,21.8439,19.5895,21.9927,18.9285,21.3399,21.4997,19.1224,19.9622,24.583,22.1219,25.982,25.8289,29.6438,19.4414,20.3988,20.1207,20.8113,19.2728,17.3867,15.7074,16.9166,19.0751,15.8632,23.19,25.0841,21.3768
"NUP60",49.0538,44.3452,42.9355,39.677,47.1858,45.0539,43.4874,45.4349,42.7253,38.3618,43.3387,53.1199,44.937,49.6152,47.6475,63.5121,49.3935,52.4452,50.2656,45.0722,52.9564,43.5375,34.6114,37.8532,33.3073,35.5305,33.4033,29.5391,36.8818,28.6499,28.0016,32.4265,48.2337,45.6544,40.606
"ERP1",400.398,387.488,381.684,380.952,404.828,360.05,360.715,310.512,353.573,359.07,358.302,397.633,413.211,365.571,333.872,445.698,370.743,373.52,365.123,482.438,458.856,434.443,149.036,147.191,121.839,143.815,168.33,163.513,157.125,171.414,173.539,162.421,150.576,162.319,146.948
"SWD1",50.4718,44.7261,50.5997,49.71,44.8854,50.7924,51.6039,43.8798,38.1097,49.3766,42.6096,34.9766,53.7352,45.0173,45.465,39.5052,41.4682,48.44,48.9908,46.5427,41.8765,50.4749,23.9921,22.8709,29.3272,29.1423,26.3181,22.0919,28.0768,25.8131,17.7206,21.6648,26.3738,29.8509,26.1558
"RFA1",65.4121,70.9438,77.1424,68.7588,63.8126,69.8278,68.9241,64.0144,71.4215,72.2846,73.0245,69.5737,64.7791,55.0305,55.092,52.3325,52.5834,51.9506,56.5572,59.4359,59.3511,65.8715,23.9198,28.3142,26.1513,26.9801,25.1617,23.6816,23.1707,26.0679,21.204,20.0083,27.0924,20.7317,24.4554
"BUD14",15.4146,19.0179,15.2284,20.1271,17.9777,18.7716,16.067,20.5571,22.8316,21.318,20.6654,25.5005,18.7781,21.072,22.3844,20.5863,26.034,18.5021,19.9229,23.2628,24.617,21.0494,26.4147,26.2216,30.392,28.5491,31.6886,25.7258,31.1594,23.1718,22.9468,27.4134,33.8812,35.8243,33.9362
"ADE1",133.693,133.197,141.41,129.171,140.354,130.73,127.846,135.918,131.581,154.3,135.147,129.766,139.763,102.533,106.805,87.6322,100.262,92.0863,107.611,217.375,199.332,195.164,91.0032,94.0361,89.7955,82.6574,84.2386,86.2318,102.184,93.7348,99.6051,91.5909,116.953,132.297,124.758
"KIN3",28.9062,28.7389,24.9697,29.0649,22.145,22.9521,27.5763,34.2946,31.5375,35.3352,35.6215,26.2428,29.5624,30.3548,28.2268,25.7692,33.5184,23.3674,31.6713,32.0769,30.3461,28.7034,13.0029,9.26636,9.99898,13.0433,10.3619,7.40413,14.656,13.7407,10.6053,11.4632,12.7764,11.5774,11.6153
"CDC15",7.54998,8.10431,8.61867,7.62335,7.4445,8.75973,8.0247,6.86456,6.25005,6.09599,8.21599,10.6059,8.28894,10.3218,9.80408,6.09148,9.08339,8.00167,9.12287,10.0672,10.7117,9.94739,21.0833,23.5992,21.0775,20.3567,16.9658,16.9407,18.5134,16.0878,17.2477,15.5485,16.2324,17.9553,19.4193
"PAU7",22.3896,38.1119,42.8909,44.8563,50.0794,39.0732,35.209,34.9825,38.6965,52.8154,36.8559,0,26.493,37.6009,51.6127,0,51.4549,49.6228,31.5201,47.0452,28.1008,49.8337,83.5742,91.0676,87.4701,87.2847,68.7493,38.9295,60.4409,53.2372,29.9177,62.7568,68.5388,102.775,89.1261
"UIP3",91.9233,91.1974,78.2649,69.9106,64.1236,84.0474,78.7547,73.3905,67.9632,75.0632,79.475,98.4972,82.8657,75.3822,81.0502,49.7342,75.336,66.3354,85.474,62.4328,63.4502,58.7876,39.4645,56.7236,50.316,53.6635,35.5475,39.4299,39.0437,49.0926,50.2726,59.3303,57.61,74.1443,52.6552
"MST28",9.78055,17.7144,15.8159,13.7323,14.7099,18.5121,12.3486,14.5152,15.0558,23.4814,16.3698,34.9749,14.9567,14.9439,10.7505,17.0536,16.4347,14.3739,12.8925,20.8462,17.2303,11.6108,14.4787,15.6552,13.7193,8.96021,17.8374,13.7547,10.4639,19.2864,12.9098,20.3755,22.7591,18.4874,23.4124
"YAT1",0.296633,0.443459,0.298402,0.763673,0.249269,0.286007,0.582572,0.67056,0.999131,0.337075,0.334414,0,0.290399,0.248268,0.755221,0,0.625109,0.747382,0.372872,0.23015,0.691707,0.793755,3.25254,2.25583,2.51236,2.32156,3.51783,3.12772,3.16987,3.32841,3.75141,1.21775,4.15033,3.68846,7.28078
"SWH1",10.1999,9.91855,11.0956,10.4111,9.41381,10.4023,11.6633,12.6035,11.4135,11.9252,13.957,6.87378,10.9939,12.2873,13.5035,27.6128,12.9489,11.3874,13.7747,15.4244,16.1129,15.439,34.5225,36.6994,33.1207,33.2918,27.0251,28.0361,25.6821,23.3291,26.1825,25.5517,41.7312,47.1467,47.533
"SRO77",7.9474,7.84963,9.62674,6.73037,7.40327,7.84873,7.27052,6.16152,7.32202,7.07922,7.35257,6.11999,6.69119,8.43122,8.25838,5.99505,7.69556,8.35696,8.97516,7.57172,7.20447,8.64788,17.9585,19.137,16.0876,18.1333,15.9652,16.4184,18.2318,17.7942,18.1834,17.6632,14.989,14.5363,16.7032
"PKC1",20.6807,20.0988,18.9621,19.4954,19.9273,20.0522,19.1045,18.9434,19.9554,20.1021,18.035,19.5146,20.1061,21.9992,23.4372,28.9299,20.4961,21.2927,21.4661,21.3241,24.283,23.1819,39.4162,35.8556,37.2436,34.9134,32.3104,27.8374,33.2668,28.6781,28.837,34.9573,43.8182,41.6349,39.662
"RTG3",20.5544,18.6862,16.2402,22.7828,23.241,23.6635,16.0712,19.1474,20.5042,22.7508,17.6105,29.939,19.8464,21.4654,26.9358,6.30279,25.5522,23.5255,20.7347,26.9729,26.3362,23.455,24.5205,27.4312,24.4937,19.0267,18.561,22.155,24.1726,21.273,27.9335,22.5536,39.2659,35.7403,30.2424
"SFT2",114.225,135.894,122.987,150.037,141.429,126.223,115.239,117.781,129.155,130.651,126.766,131.79,129.794,154.222,147.451,191.935,139.077,148.286,156.459,159.387,168.761,150.559,110.839,104.578,103.412,93.8057,104.816,95.6284,111.935,109.651,121.614,111.362,115.772,93.9818,107.112
"ECM21",10.7082,8.93909,10.1092,11.1311,9.29182,9.25255,9.2251,10.0757,8.33954,9.23549,10.3449,10.074,9.33872,11.1694,10.7859,9.85384,11.1293,10.7871,10.2332,10.4683,9.83633,12.2789,33.8627,30.2393,36.6131,37.2292,23.8303,25.6161,25.559,25.1393,24.0214,28.0078,23.4623,25.8498,25.476
"ATP1",298.442,302.176,299.371,301.253,294.871,296.338,295.099,270.471,263.712,258.79,267.39,244.093,314.327,361.436,358.803,368.18,383.559,356.451,360.365,440.183,446.624,418.151,801.042,815.54,805.8,800.062,804.658,789.325,767.754,747.477,739.791,768.958,1161.27,1162.32,1151.05
"BNA4",33.6855,31.4238,36.0597,37.9225,35.7505,38.1682,33.8363,33.4217,34.2577,34.9358,35.9827,24.563,37.3948,31.8737,28.2784,28.9439,31.019,30.2932,29.6696,26.1581,33.6004,33.1837,18.4623,25.1474,20.7945,18.4277,24.1625,24.8304,23.4438,24.3155,22.1848,17.0894,18.7269,22.9985,22.7644
"BRN1",2.23228,2.39827,1.5457,3.15005,2.5126,2.37079,3.07006,1.9658,3.90529,1.21619,1.35741,0,1.20261,2.8892,1.43557,6.88836,1.44555,2.09698,2.23437,1.90524,1.88026,2.02954,1.27736,1.88361,1.89038,2.30202,1.84241,0.911373,1.9885,1.47751,2.53427,2.15329,2.98401,1.61976,2.55599
"ROX3",61.6435,67.0511,69.4902,70.5566,57.0885,62.2948,65.041,67.6224,82.3155,77.719,75.7259,95.563,64.3223,71.3567,62.0607,64.481,48.6368,52.8481,72.4414,70.7791,75.6691,72.5725,317.134,367.743,327.672,382.464,245.499,267.659,316.815,345.798,339.191,360.934,431.34,446.3,438.832
"RPL32",3154.4,3343.41,3201.8,3307.43,3366.62,3100.13,3161.12,3119.76,3164.41,3023.14,2950.72,3341.4,3179.92,3319.19,3311.45,3383.14,3322.29,3182.66,3299.93,3162.23,3063,3341.74,630.89,629.211,670.635,669.908,676.159,670.504,767.211,763.406,780.905,738.977,859.958,855.003,834.163
