"","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"COQ6",91.7989,97.343,96.1209,95.0657,100.66,98.8268,91.6667,102.687,94.98,107.819,91.8306,93.6944,103.794,121.837,114.588,156.828,119.883,129.688,128.012,124.183,117.647,128.446,255.992,260.116,240.286,234.845,226.919,217.288,252.959,223.687,236.805,235.619,239.246,246.69,235.397
"GND2",19.9235,16.8618,18.315,22.1287,22.599,18.6587,18.9642,24.7582,19.4819,18.484,22.9836,18.1624,18.9914,41.2648,41.239,32.3351,46.5671,44.4322,37.3771,34.316,34.938,35.7956,910.979,900.484,894.574,911.391,763.528,777.755,770.254,739.776,751.155,757.085,1355,1328.44,1355.02
"MTM1",47.1409,55.8519,43.2938,46.7068,49.211,50.5626,49.2256,52.7787,57.6503,52.0121,58.2254,58.2266,47.9086,55.3644,48.0009,24.8077,64.1313,54.6165,58.7887,60.7373,61.9566,63.64,76.6032,69.3739,61.807,67.2267,76.8373,70.6069,85.0349,70.0532,71.7418,77.1788,76.9346,75.0283,78.2988
"RAD2",14.0813,15.7531,15.8764,16.7758,17.3031,15.2458,16.6322,18.2958,16.9963,18.1768,16.1012,16.9613,15.021,20.001,20.5583,16.5627,18.3108,19.4904,18.167,21.3495,19.9903,25.1477,56.7307,58.9353,60.2813,62.2197,50.2053,50.9549,43.573,42.2918,45.7564,46.9269,81.0211,89.2931,84.7262
"APL6",37.0446,37.151,39.2472,40.3521,39.5288,36.7681,34.7777,29.5314,29.8893,32.2218,33.3634,37.619,33.2567,38.8122,43.3616,32.7117,36.4186,34.6963,37.6958,37.0134,38.7344,35.4552,26.7785,28.277,29.7963,29.9795,24.5694,24.3586,28.3524,25.5282,23.1002,26.4391,33.521,28.378,29.9185
"BUD32",90.9867,84.6297,79.496,86.9983,78.7546,82.0292,76.2768,84.5244,88.8542,79.5454,78.3754,85.1305,94.5007,92.871,94.0541,165.118,98.1824,90.2587,97.2357,90.0114,105.12,98.2051,48.749,61.1194,56.0536,46.6767,60.5478,57.739,64.1142,55.7487,60.9128,50.2161,55.5238,58.425,53.9596
"SAY1",28.0284,28.6791,27.5308,25.0535,22.3206,25.6785,24.4809,27.178,24.9694,19.686,19.5305,32.4682,30.0581,25.8014,27.9243,30.1052,31.1963,23.752,21.5705,29.56,26.244,29.1262,44.3031,44.4259,43.6565,52.3399,51.8836,50.2391,48.9418,46.6744,46.8533,45.2913,44.8572,47.3225,46.3067
"MES1",79.5783,80.1323,81.6923,83.0441,84.5083,81.4096,83.0408,76.8522,76.6396,70.6972,74.6838,70.3798,83.8258,131.267,118.903,90.3193,121.776,132.557,128.051,115.991,117.337,108.126,73.2974,74.3326,75.7146,65.5187,71.2696,74.1497,72.0692,66.1033,65.7388,71.3122,82.5325,78.3656,92.1678
"FOL2",325.523,319.543,303.129,294.754,284.009,294.261,303.81,326.641,316.347,324.855,304.976,287.402,283.598,285.848,280.563,395.136,265.913,264.652,278.411,333.144,335.1,371.906,145.976,150.766,150.902,122.303,155.938,129.341,156.577,136.938,157.813,142.956,180.278,183.405,165.58
"HUA1",62.5475,54.5547,70.4378,65.862,57.8538,65.6671,60.6471,76.0055,69.1398,77.2536,68.572,37.2975,54.5406,74.4321,63.2806,53.485,87.9296,75.3354,74.9035,76.3704,72.0536,82.3009,111.284,114.393,100.027,113.013,95.373,75.8284,82.2882,90.2184,91.7498,89.0382,99.984,86.1781,63.5019
"YTA7",25.3424,22.8025,25.5823,24.8629,28.217,27.016,26.6178,26.4675,25.7383,24.3046,24.5857,29.3038,25.8078,30.1715,29.9729,21.4196,31.2179,29.3838,27.9055,31.6367,33.4165,34.2213,45.4993,50.4203,48.7623,42.6131,40.3598,42.5436,36.7437,41.8164,42.0824,37.8244,49.9241,53.8086,50.4636
"SLH1",7.3316,7.94613,7.51481,7.74647,8.0546,7.14843,6.67802,7.95938,7.14695,7.12464,7.17718,5.05588,7.28619,7.51361,8.90097,7.7749,9.15876,7.79589,7.4409,7.85781,8.82002,7.87949,9.98449,9.21344,9.8509,9.32509,8.45212,8.81549,8.45621,8.25279,9.01148,8.34587,9.29037,9.52231,10.7234
"EFG1",19.9333,13.5423,18.5385,18.2888,29.7277,14.0852,14.2949,13.3344,13.8859,12.1321,13.9364,35.1887,17.903,19.7322,21.412,18.1154,15.071,14.3648,19.8969,10.2638,15.9496,15.465,27.2469,29.3144,32.5126,36.4094,36.5465,33.4387,20.1135,26.93,21.5315,26.6711,69.4237,61.8806,57.7019
"TAF1",14.1548,14.6997,14.6972,15.2092,14.4844,13.895,13.0515,15.4721,13.7173,14.1974,18.3316,14.4402,13.6111,16.1561,17.1357,8.29589,17.1209,18.7002,16.0176,18.8207,14.3363,13.3113,25.2182,24.6912,25.0341,26.0303,22.4649,22.3841,18.4688,22.3833,20.0288,20.9846,24.1216,23.761,26.4647
"RTT102",122.978,118.491,113.276,135.108,88.9126,105.49,133.949,136.449,122.758,118.167,131.426,163.839,97.5264,102.73,79.9573,84.0317,105.936,103.374,105.936,126.791,123.715,131.711,100.919,120.38,88.2325,93.0944,82.6156,105.957,89.2745,107.266,92.666,85.0895,165.373,171.29,139.272
"RNH70",38.324,40.6311,46.3315,34.5235,33.2284,41.5021,42.0326,35.9793,36.3801,37.6801,41.0139,47.6142,33.2577,36.7411,37.6548,17.357,42.8435,35.9665,40.4048,29.5048,29.7039,32.9467,49.0898,50.7449,56.0876,44.972,47.0138,45.9282,50.6501,48.8816,45.4676,53.0663,77.5387,65.0692,61.5411
"CAB4",70.9066,79.1005,74.9399,74.1884,70.4229,65.081,83.3209,76.6144,81.3851,78.8066,72.0341,61.086,69.6587,69.1812,63.9205,52.2386,63.7862,71.8717,72.6447,62.0144,64.2573,53.8104,69.0423,68.9455,65.91,72.859,71.6175,65.9855,69.1933,68.3271,63.263,73.493,78.8898,78.6796,71.0221
"CWC22",12.6724,9.98223,11.6664,9.30046,12.8177,12.6683,8.43411,10.324,12.0306,9.98021,10.2975,18.3939,10.1541,11.4078,13.2642,0,11.4047,13.7279,11.4399,11.6225,14.0549,12.7291,15.5378,15.9315,17.7002,18.8992,15.7844,18.7299,19.0907,13.6031,18.1548,14.6261,21.7533,23.2261,18.377
"SCW4",191.296,214.378,204.442,192.502,196.05,215.703,199.831,171.883,173.705,167.88,177.657,121.218,187.566,206.298,210.326,197.496,214.109,211.499,211.832,276.607,266.137,263.951,212.686,196.501,217.059,213.957,181.148,201.911,191.125,174.524,192.456,184.106,119.773,106.462,106.094
"PXR1",47.7172,40.0013,34.6535,37.6363,37.3171,40.4947,41.4951,53.5441,51.6796,52.2875,66.2547,61.8704,37.7343,48.183,54.9743,18.2143,50.5677,45.6342,51.7555,50.2712,51.0381,49.5224,88.4968,105.557,92.5441,87.9509,78.6262,83.0134,77.3953,76.851,90.8208,74.4456,194.366,176.373,187.889
