"","k_1","k_2","k_3","aa-1","aa-2","aa-3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"AAH1",25.4451740621491,23.1112900770008,0.797032793019087,5.40435579844885,10.393235806971,95.0321985789004,37.1286689462813,34.9351063984221,8.2703405970266,20.0071435523573,18.9739954113772,25.6424671811566,42.2842885324401,35.2344355985972,43.0942956042063,49.1881988773246,25.4377081794936,26.0919000194124,21.8406069816777,22.2497492745639,17.5046484404334,367.856,258.567,72.5378,57.0027
"AAR2",14.6645175214791,12.2064847702723,2.85684170567708,5.3540968886704,6.15798873870144,11.1494233484651,10.4229417039655,11.1291898265446,7.96963648737584,14.1657315724603,10.0096793662691,9.8216119716253,10.6781838246194,10.5255870790745,11.7671896112346,4.22562712363117,4.47140969705077,4.85512787226306,11.0336033842105,12.1247188773411,10.2987904032477,43.0334,46.9593,25.9192,24.7803
"AAT1",40.00957618989,40.5755147194803,19.4170246658976,52.3911911535081,53.158465765581,22.8436100936675,33.3298537907184,36.8384044920532,52.4945785612418,26.6921997969407,24.6799813715842,24.8018993165629,32.629150023857,31.8782711908483,33.4107300281733,74.0715989969846,58.3099366130341,44.3052886541685,19.6931910539282,18.8711785473792,17.0964467621243,14.4096,13.0848,30.2193,50.3683
"AAT2",141.081742353786,145.704136367637,96.6236764693239,101.57558720224,113.619030178702,91.693719669235,133.340788707374,119.742777812166,142.875583262865,102.285207457165,96.8319474478519,80.099847742434,112.525985413679,110.700890256457,106.005259013744,151.729494857826,129.677813632607,114.719830606927,70.9222964490078,72.9323009031814,65.7219220878869,285.287,288.294,336.802,175.914
"ABD1",57.2467886510089,57.6562560167898,68.986203816271,58.1685544774229,81.2529043233999,43.6068781184723,49.6189942844277,47.0491642690604,73.9440479260613,38.9621249655792,41.452260884521,37.7505674540092,51.1415051528227,50.3189177178515,53.3536064211361,83.990612281581,66.3157723499544,58.6658458003785,39.3843284757437,38.6512104235253,37.0355331284022,87.8469,83.5266,59.6876,77.9978
"ABF1",61.7598788528033,78.4099865078576,109.737600974578,183.814493086421,175.370712812011,99.2259929331555,55.0302851279279,61.0105439489684,170.822600013316,29.7162697230416,35.2928383526481,29.5255561487915,50.6185391676343,43.686010311428,49.8324044183,90.0560211136847,114.297530723222,133.797877088648,68.7965688006232,81.5001491261155,80.1589437976661,55.1197,30.8424,58.9728,24.8705
"ABF2",549.270937469435,507.314913140431,827.201404674783,1172.28464750634,1041.17575528523,591.906663024648,588.173919676929,566.206792937067,1045.50927565298,678.365893183859,556.658049164157,572.027327172057,667.14453623302,628.927288198728,594.508373793481,755.518513425919,1007.11789414956,1090.638892089,571.533392034617,588.81590988113,548.212409647757,898.525,978.223,696.558,831.197
"ABP1",115.63783334798,122.139292028803,33.0575154541509,50.4295347601759,27.7324303308802,125.696779721554,195.182641470917,166.133959834433,27.8014294468677,167.750485274391,179.127056890108,153.21618166363,181.300796739759,188.026120280957,180.764649586248,65.0573358235858,69.8253794762749,90.9201949214523,139.883834053508,135.699252711579,129.571978191099,400.945,325.342,275.338,199.001
"ABP140",15.0561736785184,16.4388662227161,20.8272783830118,34.9860407643757,65.3756525658547,56.399106412197,32.5109228692853,29.3390875198472,72.7294462874578,21.9842212497209,22.9003068676743,19.4601980796946,35.1834135130422,33.4357000970452,39.3670927787905,83.2051661249806,59.4615891908157,47.1659026186829,42.1223583882229,48.2941588621419,37.971113803171,834.739,879.774,201.426,211.348
"ABZ1",21.4223596972759,22.6829165809784,9.67552992771765,12.5211316478716,14.3428531677795,21.3287020679079,19.724627557959,17.6682950165067,12.2850728386187,26.0921496059486,29.0412407929254,25.4454303555309,16.0817964851141,15.9199504571001,15.9541198682553,9.94970358188332,8.90894507821478,8.35367589786437,11.946981147804,11.7670575535257,9.54854739373961,52.8811,42.4855,84.3373,48.7762
"ABZ2",79.1603235792569,74.6812355369985,54.1276136956966,63.4925771616414,67.7414466642191,46.9055460589973,65.8595073437808,61.9884140104433,70.932307953857,64.3780313117185,56.3784045925245,55.3727971210634,56.0133153017321,59.195182034453,53.7227989388763,48.5134498616886,67.9088833448068,74.0523710324737,62.5438936612103,67.0463663901438,71.4475305191178,40.8623,43.155,46.6673,35.8888
"ACB1",98.8146700372068,88.3394943304395,36.0309427701327,31.1456325338126,31.0271861407269,77.4313776212019,80.4917814552704,59.004164901026,18.9013018681675,38.8073957832064,26.4115048541556,28.4383748177313,35.0419352364819,40.3091001472704,38.8712537441921,12.5203766626109,11.3215491319265,23.8631121564825,131.266592726942,149.422953060644,148.169205271743,6158.17,5533.79,5418.09,3550.01
"ACC1",253.594186271419,250.895240951029,77.4390963231345,90.1312482908631,99.3290275527333,81.7268598884774,147.136988625708,172.866613165697,90.5086453610051,176.828626154062,196.675819790019,214.878839140029,161.132666028417,168.539071095752,154.24958472882,114.833104433917,110.985911726446,104.089869315799,114.271616238071,103.326674657202,94.9587797039572,357.32,344.091,261.074,220.498
"ACF2",38.0664676786726,35.716207037905,9.066997111563,14.7691610186825,12.7433085935128,24.001725781666,42.6071681818882,42.4829987287387,13.4790660517354,53.8499510498708,44.1226032690429,44.6125095824883,42.6218564501569,43.4913975273181,40.8741290476854,11.1836146429938,15.6256531017238,17.9814381310713,33.1035571534241,32.0697608655345,28.777947510305,23.2686,19.3541,20.9492,25.8489
"ACH1",1330.96733383948,1421.78461997581,1355.28603434984,1146.92008658864,757.397890691932,889.514192332971,1794.76980312285,1582.45116543299,617.566464591608,1901.66025826561,2180.93379360454,2090.29032701311,1551.40040505901,1555.04032547666,1714.58752630414,435.357868284544,594.786442109775,702.581368564242,2283.25922338547,2216.15911420295,1752.15740547015,54.9567,51.2882,499.96,273.612
"ACK1",11.5670050853788,12.967746326831,5.1046636503861,13.0028789826967,10.0722581874748,74.1900221447546,49.6082055329445,37.0735497301633,11.5474802027539,26.111212861062,33.7227120047813,24.489442706847,45.2155625303112,45.1426370882677,48.5677374755955,31.4083926502735,27.0655783935118,27.9478892840147,42.8262384593129,42.476819697482,40.6678537718441,9.60985,9.55466,21.0057,21.9467
