"","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"KLMA_10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLMA_10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIO4",19.2387,23.8763,19.9667,24.3368,36.0432,58.2712,52.9432,56.014,57.2333,77.1924,72.2276,49.435,55.0724,51.7646,53.2562,56.6554,103.324,105.133,73.3775,86.8633,74.5497,78.3824,90.3738,88.4894,84.4159,83.9192,63.4082,51.6673,68.4256,61.2792,64.495,78.9449
"KLMA_10009",29.1289,27.5339,28.5683,22.3221,45.7987,38.3135,37.1808,40.8271,36.202,35.1071,32.0418,31.7599,26.4956,19.7797,24.9496,25.6828,30.9572,37.2796,30.4425,26.3824,26.748,30.4292,25.4792,26.4136,21.2081,27.3117,36.0033,38.3296,29.9608,35.9298,35.5637,30.4425
"KLMA_10012",0.355812,0.26631,0.353363,0.166523,0.160549,0.162047,0.632516,0.238479,0.318216,0.399125,0.850187,0.202984,0.415377,0.508911,0.101768,0,6.43956,7.30156,5.56987,7.87024,8.09366,7.96871,7.93066,8.43052,6.53684,7.79193,6.84207,7.02178,8.85668,8.42207,6.26697,11.9353
"KLMA_10013",0.874658,1.7518,2.63011,1.64152,0,0.864516,0.818568,0.821264,1.64208,0.826679,0,1.81619,0.927077,0,0,0,0,0,0,1.07629,0,0,0,1.00801,0,0,0,0,0.888922,1.77703,0.88724,0
"MATALPHA1",1.29638,5.17398,5.22127,1.22231,7.00411,8.32542,3.41779,3.9989,6.28746,4.5889,6.07384,5.34989,8.67157,8.29793,5.19551,9.17077,11.6602,12.4053,7.92784,9.00621,11.859,13.1527,14.7557,9.44973,8.70311,8.26227,13.6115,17.2701,12.8937,16.5985,17.794,17.8773
"HMLALPHA2",12.2895,13.0872,16.4746,10.7168,16.8024,18.2623,24.8533,22.1638,20.1123,17.4357,7.3445,18.597,17.083,17.7193,23.4021,7.62081,9.43183,16.9567,19.2667,32.1515,30.4386,20.6289,25.9372,28.253,19.5968,27.5316,19.849,30.0575,22.4765,28.3328,18.1583,0
"HMLALPHA3",15.248,14.7166,15.4988,13.4982,22.9834,18.2865,20.1122,22.0304,17.1181,21.6926,31.3941,15.5165,17.4978,15.9666,15.9691,18.0601,23.2641,27.6261,21.5559,51.4926,51.1946,50.071,50.2259,52.3698,43.7879,52.9525,63.2074,45.49,39.5527,42.6617,42.4647,49.576
"KLMA_10017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHA1",12.2252,12.5968,10.0003,10.4058,25.2186,30.785,28.5682,21.8888,23.5745,25.7554,25.6523,23.1538,19.6328,22.7565,16.3937,23.5578,43.035,46.8002,38.6124,66.5715,58.6453,55.8,65.0407,64.8838,61.4274,59.036,50.8488,75.3359,65.9375,66.4138,64.9496,70.2846
"KLMA_10019",0,0,0,0,0,0,0,0,5.55026,0,0,0,0,4.69308,0,0,0,0,0,16.9429,10.8178,0,0,5.63239,5.54878,5.30474,0,8.58051,4.51648,18.1341,4.50158,0
"VAC17",38.0748,36.1061,39.446,27.5155,23.7353,24.6873,24.8699,29.353,29.0897,31.4715,15.7031,17.4747,19.8719,20.6147,22.1918,35.3153,25.2238,27.042,25.761,38.7001,41.3277,34.8978,35.8187,32.4952,31.7605,36.6834,20.3202,41.5495,36.6899,35.644,34.7663,43.412
"MRC1",6.70377,5.9534,8.02271,9.52754,4.76713,4.00947,3.58241,4.27543,3.88743,3.71035,4.15127,3.52857,3.53481,3.77831,2.94452,4.70649,9.5283,11.6725,11.2737,6.12345,5.08682,6.99281,6.52271,7.80866,6.79773,7.0306,5.91909,7.78924,7.68194,8.80391,5.56583,13.2248
"KRR1",47.9324,62.3901,49.9372,41.7226,40.6511,28.3046,28.4049,30.8715,28.5187,29.0519,45.5763,31.5901,33.0106,30.5997,34.0056,33.9642,159.864,149.743,163.06,58.4193,69.9262,66.6216,62.6062,62.7762,61.5073,62.4827,71.7227,92.6939,77.5146,71.1297,68.1166,90.1924
"KLMA_10023",18.0009,27.0916,29.1155,29.724,41.7369,26.2361,39.4585,37.2376,53.6421,28.0828,49.5817,25.6922,40.8853,23.4674,6.36827,69.6509,3.40585,23.8119,41.8837,37.5735,7.52776,31.4994,60.994,47.0189,46.9159,29.7468,36.8155,74.6332,30.7661,55.0087,39.5217,32.5077
"MOS1",983.815,732.044,900.647,865.776,2348.53,1044.52,725.174,717.17,839.859,649.171,914.699,787.821,761.036,771.85,774.961,1020.18,360.753,541.126,522.171,500.92,403.043,374.614,475.341,345.621,261.605,340.358,389.328,1747.78,422.252,417.292,491.752,387.009
"PRD1",78.0099,75.5904,73.48,76.4945,78.336,87.2345,78.4466,82.719,82.5814,81.6218,86.1222,58.9707,67.8247,61.1717,59.508,54.5906,37.656,41.1127,39.8873,31.8608,26.0244,21.7958,31.2239,28.9726,25.4904,24.4175,25.5293,40.1489,34.9565,32.4752,30.8956,38.2412
"KLMA_10026",31.6713,24.551,38.8136,28.0799,41.8542,37.3503,27.1916,36.2474,35.3924,27.4663,42.5187,24.347,29.0835,30.6916,29.3752,11.0139,16.7144,20.3092,14.6119,35.6714,27.422,34.6788,37.0759,42.4085,39.3405,28.0797,37.0338,33.6757,23.5008,24.3716,30.3063,12.3588
"KLMA_10027",94.7477,85.6772,97.7387,90.714,164.711,148.431,153.106,148.912,146.036,145.672,163.545,140.827,126.153,125.675,122.941,125.249,246.946,274.066,277.597,232.607,261.199,274.974,281.973,259.562,246.221,265.219,238.012,307.139,311.625,301.773,298.4,272.876
"KLMA_10028",0.443106,0.884988,0.445156,0.833648,2.48031,0,0.404956,1.22184,0.406639,0.409406,4.37118,0.522717,1.60121,0,2.09336,0,0,0,0,0.553611,1.46967,0,0.516889,0.509651,1.52502,0,0,1.3268,0.428731,1.71551,0.428163,0
"KAR4",16.6958,20.13,16.7599,12.9269,36.2856,35.3281,37.7827,39.9268,36.697,38.0578,51.6624,36.5216,32.6361,30.6436,32.6277,26.6256,23.8046,15.8668,19.6887,16.9201,17.4512,17.2418,13.2556,16.6263,17.9992,11.457,11.7523,26.7372,20.2434,17.6821,13.7752,6.3445
"KLMA_10030",54.1639,55.0388,52.1476,57.9485,37.2258,38.3172,29.0159,36.1104,33.5284,39.335,19.3514,33.5236,32.919,30.1492,30.5769,33.6026,33.5826,33.5623,35.6742,35.7756,30.1916,26.968,28.2518,35.9329,32.3013,28.1998,30.9078,28.9374,35.1046,26.1893,31.4925,24.7618
"SPB1",28.5345,24.2,26.826,24.442,9.31067,8.24867,9.4193,8.82739,11.0858,8.60314,6.72589,7.60567,9.2362,8.37478,8.8974,10.3277,60.7907,53.2459,48.7982,35.1509,31.0076,31.2227,30.1265,32.0456,30.8948,34.5138,31.7384,63.2461,48.7457,49.2765,47.0417,38.0838
"PBN1",58.1198,63.5079,66.9543,58.5952,103.047,71.8283,73.5869,67.4642,64.512,77.5211,81.5088,63.773,62.3502,65.2127,56.8899,63.2532,52.3414,49.6889,47.4517,44.6755,48.4879,54.9791,56.7476,52.8973,47.837,54.488,48.9894,58.6629,54.5654,52.4127,51.3404,62.4063
"LRE1",43.8331,40.0214,43.0815,47.6381,44.5755,36.3555,37.9549,46.9152,38.2803,38.4062,28.0667,35.3614,33.6809,31.3523,34.1681,27.2513,65.9864,63.4695,64.5277,59.3192,58.7213,56.2547,65.9715,57.4322,56.348,56.1041,54.2317,115.256,101.235,102.679,98.8299,80.046
"QCR7",586.353,582.262,603.328,560.209,795.396,456.711,452.789,442.389,481.932,378.42,655.45,406.083,482.446,454.008,481.829,408.447,536.22,535.727,596.868,665.713,574.943,569.022,607.447,622.066,547.848,590.195,550.839,1415.94,755.571,746.421,771.314,568.59
"APA2",244.279,259.563,258.698,271.576,193.897,175.475,174.514,186.423,180.849,177.575,183.657,187.607,207.156,171.533,201.089,207.806,190.431,198.215,175.514,114.683,126.188,139.535,122.412,113.64,124.1,131.221,97.8715,133.348,107.196,108.375,107.488,95.3479
"CAB1",39.5671,35.9523,37.6761,37.4463,26.7954,23.2475,22.9559,19.9197,23.9276,20.9772,39.6058,15.318,19.5756,16.7908,17.2649,19.2485,58.7568,51.8215,58.2116,37.8405,42.5419,37.7983,39.4387,51.7482,44.118,45.6268,37.3845,47.4902,44.0632,50.9433,51.6467,110.531
"KRE28",18.1287,24.3958,20.4762,18.0625,11.6671,12.984,7.87669,11.489,9.35027,8.66757,7.58467,5.71014,8.83138,10.4093,8.39508,7.17258,21.041,13.8236,16.599,15.2425,13.6804,15.2088,13.5245,14.2045,8.88015,13.4782,14.6014,18.7179,18.5952,19.0593,19.3466,11.4663
"RBA50",17.085,18.1857,15.8136,17.7956,12.0706,12.7695,10.4614,9.79999,10.5224,11.9416,12.5387,6.81718,13.9719,8.28457,8.47526,12.3388,42.2971,38.89,33.7553,36.906,32.7901,28.4563,31.6889,31.7288,29.0315,28.1215,30.4753,32.7402,30.4182,39.1523,32.716,33.9947
"KLMA_10039",481.348,585.182,541.114,403.627,1175.1,594.579,605.012,562.806,542.039,675.671,1216.7,561.802,567.17,597.321,627.53,562.136,771.22,697.189,812.384,1057.74,1045.22,1025.61,1114.86,1011.84,1007.27,788.472,750.736,2429.55,1094.83,1010.5,877.12,1147.32
"KLMA_10040",10544.1,10860.8,11088.1,10539.7,14794.3,10376.3,6016.82,6801.71,6461.9,6433.45,8284.69,3495.13,3723.81,3502.92,3333.02,3715.02,16200.9,16511.9,17079.5,19090.7,14190.3,14307,14239.6,14401.5,15169.2,14291,15878.5,27879.3,8211.87,8470.1,8312.85,10117.9
"KLMA_10041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71505,0,0,0,0,0,0,0,0,0
"SPS1",7.24303,5.89759,5.11507,2.51223,26.844,20.416,15.6492,17.4686,17.0257,15.7618,14.442,15.2543,15.5397,15.2089,14.714,12.8992,47.5572,41.2666,44.5947,38.5666,37.1549,42.7182,40.7228,29.3524,31.8982,46.79,26.015,67.2426,52.9607,52.6964,62.1848,55.0749
"SPS22",0.351217,0.700658,0,0,0.620463,1.031,0.612,0.922056,0,0.309261,0,0,0,0,0.408632,0,17.0029,15.7448,13.5195,17.5186,8.83895,12.7236,12.8502,13.3976,14.1633,13.7911,10.8216,29.5313,16.672,22.97,18.9952,19.2964
"URC2",15.9667,18.1269,15.2017,14.0896,17.5757,22.7877,24.9589,19.766,17.8092,19.8711,23.3022,13.684,14.0272,15.5637,19.251,12.35,38.0919,43.5723,40.7089,31.515,31.924,30.1375,33.2323,36.4725,32.6605,30.155,39.7147,46.8159,53.3363,45.2884,48.7862,41.3874
"FPR2",324.961,290.249,336.901,322.108,343.867,331.616,219.928,229.58,264.149,270.963,253.67,206.429,252.658,254.362,219.727,297.397,111.306,144.927,118.764,105.294,124.521,95.4175,103.004,89.468,112.959,115.765,80.9927,102.725,99.1615,78.6714,84.4002,64.4487
"EMC1",49.2053,46.9556,46.8849,49.3007,44.9554,39.5203,42.803,42.6744,45.4466,43.6461,35.1475,27.9836,29.2178,32.0965,26.987,31.0728,23.2029,26.7011,29.246,11.4792,14.1562,14.8365,14.943,15.3434,14.467,13.9453,17.6348,26.0476,24.833,25.0394,23.6159,31.3589
"MGR1",27.9435,26.9317,23.7011,31.3947,38.8653,34.0824,32.2305,33.273,32.0206,34.9759,32.9338,21.7782,20.7752,27.6946,31.6429,25.7805,27.4006,22.6647,41.0185,31.8519,27.269,26.2752,22.5577,23.3334,25.9833,32.8083,27.5976,39.803,39.7743,32.7981,35.8417,59.7702
"PDI1",591.879,585.405,601.347,586.82,490.96,481.521,483.847,458.779,461.102,473.678,509.528,379.682,366.534,365.807,354.687,396.457,636.464,665.837,663.597,442.884,427.259,450.149,414.3,422.08,435.255,427.918,423.741,561.849,501.106,496.332,498.071,535.594
"GRH1",44.1528,49.1517,46.5812,46.0629,39.7672,42.0258,40.3105,45.1279,49.5832,50.1407,60.6934,33.9175,35.0059,37.5287,36.1917,19.9552,20.7234,24.7199,20.7464,21.3394,14.4866,22.8017,17.7474,18.6339,22.1381,16.8923,15.0677,15.514,22.9836,24.0147,22.9848,14.9914
"GLK1",17.404,18.7474,18.099,20.4868,26.7752,29.5598,28.9524,23.1403,26.4203,25.891,47.6061,23.3639,20.0272,19.2192,13.9271,23.2271,429.846,453.747,433.331,383.573,344.226,365.854,386.362,354.891,354.417,359.493,364.148,556.845,479.281,469.612,473.791,528.955
"GID7",59.7817,61.6541,55.6042,46.7987,76.9148,75.7387,70.2327,76.8994,65.8624,74.6613,75.0586,48.4622,47.5471,50.6035,46.7359,51.8076,47.258,47.28,46.2745,29.185,26.932,29.4528,28.4253,24.1814,30.854,27.7367,27.7729,49.3183,48.6385,51.3891,49.748,42.8906
"ATG22",39.7478,40.4241,40.0641,34.2091,49.8657,55.4753,46.5826,46.0925,47.2587,50.492,53.5214,46.4228,38.0009,35.9349,44.7406,38.2914,38.1773,47.1023,41.765,24.9591,27.4015,30.0859,26.0453,32.3843,27.3027,28.6486,30.743,33.9393,29.8285,34.9978,37.1986,18.1295
"SRO9",93.9682,86.915,94.0733,92.4018,61.2571,61.0825,61.6807,57.2867,52.097,58.0189,70.6641,49.7017,44.2813,45.0051,41.9702,39.5566,48.5034,54.6771,61.1,13.9091,20.3308,18.2314,17.3533,15.5497,17.2529,15.9027,19.0375,42.4043,35.7069,35.0796,38.4163,46.4359
"KLMA_10055",45.8282,45.5115,41.4864,50.557,49.2283,56.8899,52.5022,43.6428,51.5088,56.0968,48.8638,49.632,54.059,55.2548,56.4681,53.9321,34.5659,41.1656,44.9027,24.1643,22.1668,28.8135,22.969,25.3233,25.7212,26.6131,16.8025,35.9821,26.9878,33.4907,24.3035,29.9918
"KLMA_10056",14.1,14.4354,9.9336,11.8141,8.96001,7.16726,9.79023,8.14652,5.6176,9.02956,12.0459,7.11156,4.15129,7.13671,8.99395,4.83572,20.8984,17.6839,18.4441,16.5882,14.0733,14.7513,15.9487,12.4856,16.7092,15.8653,15.172,18.5294,19.9456,19.6202,23.9488,9.27883
"KLMA_10057",18.0636,11.7561,13.1792,11.7124,13.227,12.8281,10.6718,6.97736,11.9974,11.3805,7.19393,8.73221,12.0237,7.84024,8.68661,9.22693,5.85214,5.02238,5.12449,4.80464,3.11702,4.06708,6.58153,6.06876,8.82321,5.35361,0,5.9734,5.94214,4.88529,8.03513,0
"GRX2",2132.88,2099.57,2185,2146.65,3592.42,2745.66,2207.03,2184.84,2174.72,2030.11,2519.86,3102.77,3307.77,3160,3112.84,3682.46,3794.88,3735.97,3846.13,4008,3220.91,3274.32,3428.9,3283.77,3342.45,3180.04,3640.3,4830.9,2291.65,2249.17,2275.14,2208.25
"LSB5",197.828,184.263,175.333,178.243,293.343,265.783,274.307,283.191,284.322,276.422,249.434,322.981,322.028,328.568,338.393,325.853,100.65,114.568,94.0692,79.6095,80.6987,79.4809,70.0666,73.6735,80.8054,74.1346,67.7772,62.3292,61.6148,68.98,57.92,71.3783
"MXR2",82.2078,83.7615,63.0193,64.8329,153.237,126.907,134.59,119.993,109.973,139.736,138.373,121.773,136.465,118.018,116.984,163.365,86.5054,107.561,76.439,63.1753,67.2703,70.4928,69.8961,75.2082,73.6283,71.258,88.4433,88.3649,66.4231,57.7423,63.5388,105.448
"KLMA_10061",0,0,246.92,0,1909.07,0,0,0,0,0,0,146.799,579.757,436.029,432.523,0,0,602.665,0,230.93,412.712,215.653,431.786,212.655,212.545,201.876,0,1045.89,352.451,177.905,0,0
"STE50",32.4961,34.001,35.351,38.7563,32.9216,26.6055,36.7299,34.4362,34.8296,26.5409,30.0488,29.3656,34.9137,32.5004,28.0784,35.8469,16.1044,23.5838,13.1436,18.73,16.8909,17.166,17.7865,19.6088,21.6112,15.1389,7.37534,27.5212,24.4742,16.5033,23.187,26.4642
"RRP7",91.7382,84.9022,86.2879,99.5471,75.7671,69.197,72.2317,78.6919,74.9791,82.1183,45.0342,65.9198,69.3014,70.4359,64.0055,61.2623,71.9613,75.6277,64.3375,61.661,62.548,59.173,66.415,58.7939,70.6304,59.052,88.1865,79.5957,69.1719,75.0964,77.5721,72.7503
"ACN9",80.2189,59.9672,73.364,62.1712,72.4807,50.5638,58.5897,56.74,45.5511,49.5658,40.369,41.8108,26.2097,48.4265,43.1725,24.5577,84.7637,74.8484,66.4759,69.7819,71.6794,39.7014,44.1754,51.7594,37.1533,48.98,68.4435,121.089,69.358,67.7702,67.6019,104.779
"HIS4",226.806,229.534,215.287,218.955,584.091,574.621,561.405,548.093,551.186,579.248,573.342,412.184,402.662,399.032,402.391,389.468,73.0707,77.29,83.2049,41.776,43.6748,43.5454,42.7984,42.2365,44.9312,45.2661,48.7155,70.2937,56.3905,56.268,62.1148,63.5565
"BIK1",21.7991,16.9978,20.2574,17.5587,25.6739,28.3511,27.0138,25.5355,31.0536,22.7341,16.8649,23.9398,24.0278,23.2384,26.1041,18.6823,7.10228,10.6204,7.96093,8.38352,7.35813,6.05025,7.79059,7.98752,7.98351,8.51945,10.9411,10.8255,8.8208,9.42248,11.7426,4.35323
"KLMA_10068",10.0125,8.38059,7.22097,11.2983,5.65762,7.15295,8.38138,8.83211,9.90157,8.63951,0,7.02653,6.55346,6.75755,6.41877,4.19126,19.4039,17.9424,20.9174,9.50911,13.8369,13.1224,11.6056,12.4961,10.577,10.2982,10.2527,17.7572,16.6377,22.5285,20.1449,17.3313
"HBN1",141.296,154.322,150.751,144.242,160.357,144.376,145.36,144.678,133.304,132.302,97.894,114.684,103.297,131.028,121.035,105.672,217.391,214.514,211.344,223.835,203.755,236.147,222.317,216.782,219.099,223.675,235.517,204.189,181.495,159.326,170.832,265.217
"GNP1",199.522,195.276,196.502,201.986,207.356,202.152,186.692,183.598,183.413,181.273,170.918,120.349,118.115,117.616,114.289,123.153,171.555,171.933,185.272,280.348,266.161,268.773,271.736,280.969,272.542,267.847,306.604,522.829,462.186,479.098,480.417,444.337
"SMT3",710.511,692.497,712.345,833.603,1837.82,924.147,929.199,938.411,1020.04,1128.26,1695.18,1045.27,841.892,960.614,1033.77,696.472,2303.36,2412.87,2573.37,1115.03,1327.7,1275.61,1225.27,1277.85,1164.28,1192.53,1025.87,1760.63,976.821,994.426,995.344,1256.39
"GIN4",20.0203,17.8508,19.3298,21.1271,5.91142,5.93215,7.60272,8.22968,6.68083,7.83557,6.43563,7.19131,5.53561,4.02921,4.71073,6.36052,20.222,18.0751,16.5124,12.7184,11.8929,13.7667,12.4652,11.6977,12.4372,10.9846,14.9943,15.5651,11.9813,13.3684,12.1795,14.4099
"KLMA_10074",69.4772,83.4873,73.6291,78.5074,165.235,154.108,163.98,157.735,165.595,148.136,153.596,137.702,137.562,143.882,140.828,133.005,99.1477,95.3671,84.5138,65.2186,73.0927,74.6826,79.6319,59.2904,74.801,73.4498,61.3479,62.411,65.0233,65.4366,69.8704,97.0817
"GMC1",35.2049,34.203,34.4434,36.2301,42.7795,47.7235,48.5922,46.8604,56.6219,51.7754,43.9221,36.5123,35.4865,36.3065,33.0142,30.7819,152.733,160.907,160.353,79.379,75.8249,77.7329,75.9899,84.8852,71.7163,74.1341,62.122,68.2895,69.2353,74.2291,72.9833,104.028
"KLMA_10076",60.8792,56.4044,59.4976,61.0324,78.5076,76.1008,71.6412,74.5664,76.8993,69.8711,85.164,43.8118,49.3184,46.9892,46.3093,50.1083,42.733,37.7216,46.09,23.5153,24.238,25.2531,26.642,25.2249,25.793,23.8623,29.3913,64.452,53.0618,52.7792,54.9088,52.546
"TFS1",212.491,227.168,231.904,215.631,249.824,220.491,204.021,199.206,189.647,206.467,261.744,205.237,213.772,224.93,217.842,246.314,492.103,521.559,514.652,420.629,397.001,392.877,400.8,387.801,417.39,430.203,384.401,443.658,355.153,391.513,413.917,367.117
"LPP1",13.6264,15.9507,8.78421,15.6816,13.4272,10.6742,13.964,8.69359,11.352,7.90297,4.75398,9.71465,8.56027,7.90254,5.25252,12.3306,102.989,103.909,109.594,57.8021,56.116,51.9505,48.2107,54.1239,39.2964,45.8564,70.5211,42.9524,50.2264,49.7727,45.369,14.8935
"SAM2",1014.76,992.086,982.551,956.708,515.951,462.751,455.711,442.098,471.513,432.667,486.035,402.433,413.006,391.475,394.276,386.068,1022.05,1077.47,1041.28,500.774,533.936,550.551,523.742,516.453,526.889,544.989,519.555,515.662,445.081,447.596,457.453,453.654
"VTA1",25.491,26.8596,29.3733,25.4283,31.2989,26.8247,25.1392,28.157,27.2897,30.0846,28.6091,25.6287,26.5662,25.6231,23.1299,29.2048,38.4112,34.8351,27.4521,23.7846,21.1341,23.2272,28.3895,22.9613,14.4053,24.7778,35.0974,29.8074,19.0994,22.8508,20.3763,13.9567
"SWI6",25.1244,29.5266,30.231,28.0161,27.8083,27.5795,26.8294,26.459,25.8605,27.0013,25.399,18.5222,17.0157,20.011,16.5038,25.6215,16.2735,18.3433,14.858,8.77271,7.97511,8.67075,9.40323,9.25323,11.2995,9.9659,14.34,16.8778,15.6165,17.4163,16.7259,14.4823
"PLM2",31.4502,29.9418,38.7943,32.0079,9.90574,12.826,9.63723,11.2575,12.8374,16.5938,13.1498,9.61216,10.1932,10.4032,10.1881,11.37,10.1772,13.8613,13.1867,2.44094,4.32951,2.95191,4.11814,3.60945,4.04339,3.62068,0,6.53501,4.78562,3.39006,3.59516,8.81663
"RpL37a",4159.8,4237.65,4166.34,4128.17,9166.11,4478.72,4668.33,4525.09,4493.95,4667.79,6236.96,8394.66,7827.09,8363.5,8153.67,7644.42,3718.21,3444.06,4150.19,2367.18,2395.54,2504.99,2468.91,2580.85,2385.36,2549.47,2748.05,3476.15,1657.78,1717.1,1588.79,1256.13
"LCD1",10.5471,13.4898,15.8847,11.0079,16.5249,16.2878,15.1869,15.2446,13.1348,11.9412,7.61041,10.1006,10.2799,12.632,9.54586,7.07246,7.85264,6.67793,9.41086,6.16442,5.68777,8.48936,7.6388,6.82851,5.22755,7.32883,4.30977,11.3755,10.6564,8.91561,11.6093,8.5959
"EMG1",68.368,60.0658,87.8397,55.348,35.544,39.1801,35.9715,29.4044,28.8472,41.3022,23.9647,28.1684,26.2413,32.4358,42.8029,44.2867,108.254,122.027,90.6823,86.0857,79.5431,78.1508,86.305,86.1765,79.5831,75.6342,91.8903,85.4812,72.9488,57.2117,70.4155,35.933
"PRM1",2.65187,2.66826,5.03387,4.70892,6.73214,7.10167,3.97862,6.78495,6.19523,3.70082,4.77127,4.99825,4.50368,4.25115,4.63967,5.01977,3.6046,3.38894,2.44634,4.42052,3.68515,2.12043,3.30984,2.67478,3.4314,3.80404,2.7192,2.77904,4.824,3.99724,5.16031,7.41365
"SKG3",24.7301,22.9885,24.1584,26.3012,16.6918,19.1775,19.4727,19.1696,20.3521,19.8483,8.97612,10.9575,13.3672,9.79641,11.3786,11.421,16.3243,17.192,14.6542,8.85245,10.7384,10.5988,10.1424,9.85726,10.4603,8.70935,9.76101,26.0552,23.3669,23.4659,24.2207,12.7542
"MDL1",35.7981,44.2922,38.7383,36.7425,42.7335,47.0673,43.6249,44.3088,46.1537,42.4575,34.6718,29.3621,31.5262,33.3151,29.2805,30.0394,36.6287,36.154,37.8779,19.0503,20.0777,20.1448,22.1079,22.5751,22.3019,19.9267,12.2355,39.4925,35.8042,36.922,34.5004,38.5818
"MET2",16.5434,15.6277,16.6281,15.3674,26.1818,25.8801,27.3349,26.5795,23.436,29.7683,18.5573,22.8595,25.6969,22.3494,19.3473,15.5376,100.941,102.51,106.99,66.8243,67.2057,61.6293,72.6925,69.5634,66.1773,71.4349,95.1256,82.9666,69.2226,69.7272,75.0993,60.3141
"ATG26",65.3662,65.4092,65.3536,64.8939,140.804,134.902,129.114,134.057,130.887,131.329,121.702,126.03,128.162,127.867,135.335,138.743,234.851,237.256,221.167,179.189,173.123,159.05,168.141,162.274,163.937,165.753,157.934,219.384,206.478,215.407,207.612,224.752
"ISC1",52.0285,54.2893,54.3093,55.3751,53.7977,53.7635,51.256,47.457,51.3433,49.5539,41.0899,37.3305,43.2012,37.6342,29.991,29.0639,60.6195,58.9779,61.7091,75.5455,81.3525,78.8246,75.9087,70.1913,80.2436,74.5392,58.7186,99.5256,84.6603,79.5895,78.9041,25.5022
"SPC25",16.6998,12.9905,13.4366,16.1147,13.6342,11.9254,13.8429,16.4742,9.04634,10.1774,28.5753,6.71713,8.57234,6.75016,8.77946,10.5698,10.9769,14.8435,6.40715,9.7464,5.34107,4.19575,7.69193,9.66994,8.9682,8.51888,3.24354,20.4873,10.9622,5.51504,14.0195,18.1133
"PER1",108.553,103.021,95.691,120.499,102.806,90.4474,88.1535,92.7931,92.8756,91.2743,121.884,71.9452,73.786,66.4722,64.9584,70.106,28.9526,30.6573,35.3838,39.0964,36.0699,36.767,41.2112,40.3918,38.3953,43.3108,46.2558,50.7334,42.346,36.7444,41.9858,45.4733
"BOR1",30.8755,35.5551,28.6623,29.219,44.8799,36.2419,33.5492,30.7706,33.9033,33.6029,33.0895,19.4385,24.5287,24.0293,18.6663,20.9995,42.8255,40.6043,36.0708,45.9263,36.5404,41.3085,31.9776,44.8711,40.5456,39.9309,42.6334,64.4655,59.7735,58.81,60.3258,85.9906
"KLMA_10096",138.672,131.935,136.502,165.302,119.928,153.021,97.9893,94.7701,87.8425,98.8302,145.404,61.0279,54.0629,73.3924,58.8776,70.4805,60.7093,78.956,86.826,131.756,129.724,139.727,118.177,110.501,121.736,89.1325,113.614,146.119,96.9268,106.945,117.193,222.358
"GOR1",238.1,217.606,223.464,233.853,276.222,242.531,251.329,240.677,246.993,244.427,236.59,169.591,184.835,181.818,193.593,177.453,139.777,147.641,131.609,136.057,156.825,167.257,172.354,159,168.526,164.07,156.634,191.976,144.562,148.049,144.671,107.924
"TAF2",16.321,16.3622,15.1257,15.8545,17.2976,17.4272,14.0341,14.8089,14.2269,14.5798,11.8166,8.47302,7.48081,8.95081,7.74381,10.1204,6.4745,8.89948,9.39272,5.38881,4.08176,5.80501,4.4166,5.47827,5.55362,4.02096,5.35334,10.7918,10.1374,9.32752,8.76601,13.2231
"SLP1",22.6842,24.8059,22.6401,21.5596,34.3532,36.6887,39.3529,34.9538,40.6712,36.6263,38.5488,34.718,32.5402,30.6897,35.8762,19.4031,41.39,32.1438,36.5771,49.0036,38.03,43.5758,44.015,40.7599,41.5826,44.0432,46.9302,50.3716,42.9676,42.7281,43.5789,34.511
"CCN1",39.9674,42.3148,44.6551,41.6682,82.1978,73.6685,70.2891,62.8923,66.6413,70.8286,92.8653,71.0091,69.4686,71.3835,68.2295,55.1544,142.661,135.126,147.591,133.284,120.74,134.094,143.468,130.248,145.867,139.178,144.195,142.411,140.115,142.295,122.383,75.3447
