"","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"KLMA_70090",35.2923,34.9642,39.8711,28.6447,27.2254,38.23,42.7247,46.4102,37.8557,41.6666,46.8457,44.2075,42.3127,50.0549,43.8378,32.9434,158.856,169.543,178.753,149.3,165.717,163.553,167.112,185.443,182.484,175.785,165.033,125.891,133.008,137.521,126.931,169.825
"ERD2",236.95,250.319,260.972,236.344,243.44,226.83,202.538,228.475,188.87,226.956,257.708,162.649,183.971,171.68,160.995,180.753,158.883,183.426,162.055,162.698,172.682,169.604,174.293,180.443,158.012,184.958,141.238,196.212,177.343,156.081,160.109,251.319
"PRE7",295.789,317.987,316.858,297,314.179,324.737,330.488,321.76,327.027,338.025,363.316,422.892,395.154,376.539,384.596,397.88,237.687,251.07,270.635,155.916,203.414,197.54,175.605,187.716,179.828,183.031,163.521,182.617,191.178,168.357,207.67,173.443
"CPS1",129.484,138.144,140.154,138.869,653.429,751.271,701.004,693.948,690.664,667.382,653.282,704.591,733.248,691.708,659.376,822.393,142.283,127.558,128.314,103.176,82.565,89.9819,83.5989,85.8716,72.6788,77.4961,75.6772,86.4166,74.8414,76.5311,74.8826,68.8456
"KLMA_70094",287.694,279.005,287.182,262.969,582.887,615.283,579.368,612.784,599.102,558.483,537.557,506.998,517.881,508.728,484.055,508.797,638.68,600.98,607.748,319.357,321.904,331.164,342.201,342.317,344.141,326.455,341.795,660.994,626.837,595.164,605.672,626.234
"COR1",363.922,358.716,384.656,360.362,243.785,258.829,262.455,251.095,270.048,255.994,293.94,196.283,200.047,193.705,185.549,164.995,200.614,178.67,176.431,150.747,147.287,156.241,147.383,154.443,154.903,146.266,143.061,301.865,301.405,294.864,280.775,394.295
"PSY4",78.0403,91.0512,70.497,76.4439,65.6299,95.5678,83.547,92.8313,87.3915,88.8276,102.007,81.0595,87.953,83.5604,81.8993,80.9574,105.294,95.981,119.481,68.3963,49.4299,76.3905,59.5248,70.7005,65.9672,69.8973,84.3128,78.8924,80.9026,81.7817,76.5289,53.8204
"RSM7",136.506,134.847,146.878,136.397,105.835,121.675,110.117,103.43,118.356,113.902,114.274,117.633,135.065,99.5377,119.837,134.198,155.136,150.269,179.708,137.598,116.056,118.377,113.609,117.171,110.798,104.135,121.833,117.231,106.255,95.0234,124.164,135.587
"KLMA_70098",33.8692,30.1424,31.3385,19.6877,29.3957,44.196,27.1876,41.5073,36.4361,27.4502,54.5636,20.6935,20.9399,29.1722,18.0022,19.2796,29.7244,10.6238,43.4515,39.7522,23.7804,24.8561,17.2735,26.1299,13.8458,20.3893,14.516,22.0977,10.2582,26.976,14.0938,37.8557
"EDE1",107.217,105.084,109.653,109.923,117.827,131.829,134.835,131.647,132.191,129.767,145.604,133.213,123.027,131.063,123.051,133.611,114.905,119.79,109.694,61.3919,60.7642,59.0532,59.5265,56.652,59.0627,61.508,58.3448,61.0476,61.5834,61.2736,57.9245,66.4427
"NNF1",49.1594,39.035,45.5812,58.9536,46.8798,58.9777,46.1685,49.7554,57.262,44.4317,36.8639,58.6798,60.0429,47.5515,57.9787,47.6421,31.4396,22.6944,25.1496,24.618,33.0799,31.2189,29.7765,23.2014,28.4306,27.734,24.3468,25.4498,33.9324,31.0558,27.2746,10.9075
"KLMA_70101",44.7235,38.7408,32.2233,39.5677,52.9799,57.9259,65.8924,62.2997,56.4474,66.8221,72.7642,57.6116,61.5764,54.8409,59.4162,49.3789,33.8693,33.9017,25.117,25.6597,27.3244,25.7949,26.4817,27.8479,26.5703,27.4648,18.8336,27.7043,27.4345,30.4273,26.0037,51.0305
"YMR1",41.4295,48.0169,52.5814,45.3999,63.8324,78.8076,77.4803,76.4412,74.4514,74.0261,89.6389,55.959,56.4735,50.7646,56.1987,52.8046,48.9134,52.1878,57.4921,45.0408,52.2678,44.0383,49.8593,46.8151,46.4472,50.4305,44.164,72.012,75.7466,80.1128,76.5377,88.0516
"MOH1",44.1015,21.1925,30.4752,32.3656,118.116,175.362,172.086,155.284,148.083,197.562,164.945,108.95,138.599,115.523,149.535,139.795,2270.02,2103.01,2417.94,1749.46,1672.04,1614.23,1648.76,1664.37,1702.33,1659.93,1567.72,2256.67,1884.11,1929.43,1793.28,1502.57
"CFL1",11.5749,15.0368,16.5504,16.04,23.027,20.643,26.5151,30.8747,31.1675,26.9474,20.5567,23.0517,16.7654,21.0123,20.8532,22.1982,84.8985,81.2705,102.634,37.1836,42.829,37.8791,33.7924,41.8062,36.632,41.276,36.5987,75.2594,81.0504,73.7858,72.9279,75.1075
"SEC17",187.267,177.044,165.648,180.815,153.597,156.77,162.851,147.631,183.181,171.485,148.264,169.635,149.356,162.406,148.183,161.978,341.377,349.913,374.252,295.966,304.475,286.924,315.265,306.763,309.786,303.326,329.39,247.841,241.984,243.864,252.997,331.985
"KLMA_70107",10.025,13.9754,14.0437,12.8597,25.4044,22.6628,20.6678,25.0183,18.4709,25.1278,13.4908,17.1559,12.9718,13.0416,13.8672,22.0265,18.6293,17.4914,22.7676,15.9201,12.4059,10.9402,13.0677,15.2795,12.794,11.4074,13.3028,20.8672,28.5121,23.9779,27.0553,31.639
"FIP1",77.0852,72.6215,70.346,72.1225,74.4216,75.6606,77.5468,82.0397,82.3779,79.0738,83.1253,72.0788,74.4285,66.6142,64.3159,69.5791,46.9383,45.8742,51.547,41.7343,39.0239,45.3194,44.7022,48.24,37.8034,41.617,42.2577,57.1284,65.1264,62.9826,62.2158,36.3175
"BUD4",39.042,39.2023,39.9023,35.2474,14.5687,20.5355,19.9257,18.7016,19.345,20.3702,27.1025,19.2758,17.6932,16.8199,15.6881,17.0142,3.56913,1.99029,2.35517,5.0332,7.66158,5.65741,5.70948,4.0859,5.50125,4.54477,5.3117,4.10232,3.73325,4.80717,4.08986,2.63918
"JSN1",66.0121,72.6319,64.9537,70.7196,60.9879,76.7146,77.8935,80.9688,81.4498,78.4154,73.7834,45.4419,41.6158,50.0341,49.9525,53.9511,63.6047,58.0596,60.32,36.077,36.3457,33.8517,35.3288,35.9896,33.7918,35.0327,31.699,90.9551,97.2042,94.579,93.0189,95.7697
"GRR1",32.6382,34.4844,37.8265,36.9632,46.1202,48.6087,48.0695,49.9551,44.9717,47.5597,57.5186,37.7958,37.4854,41.2918,39.4303,34.1772,45.3708,39.2767,43.8132,37.6518,37.3906,44.4521,42.2671,42.4941,40.328,41.504,44.0244,53.5505,57.8541,58.2769,56.1062,53.7901
"KLMA_70112",21.7966,23.2503,21.8122,22.1965,21.0903,22.6239,22.044,24.0089,25.2282,25.013,30.157,19.0331,14.821,17.5435,17.5068,17.4992,8.57443,8.39115,7.81459,8.36857,7.61368,5.28061,8.65748,6.57218,7.76282,6.80085,5.6326,12.9362,13.2351,10.0877,10.0884,11.8022
"TIF5",209.963,191.403,201.883,208.576,125.618,139.442,142.037,128.488,139.787,142.449,156.364,138.049,131.146,143.631,133.041,133.265,168.363,188.104,182.755,101.135,98.4991,117.393,104.528,111.892,107.888,122.314,115.994,104.821,119.091,107.273,105.09,136.484
"EMC2",44.1647,37.2251,37.0161,33.8176,50.1488,39.1142,48.8786,49.5258,48.2015,50.1641,31.7341,42.9803,43.2778,52.8044,45.2006,40.3738,49.2436,44.9167,49.5567,27.0468,27.6324,26.8487,27.0478,31.8457,31.2483,32.192,27.5805,22.1388,27.4141,23.816,21.9113,27.0083
"TIP41",54.7183,59.181,56.8881,54.5026,53.1199,59.635,72.7563,69.6548,72.4473,70.8444,68.6745,66.6863,64.4856,66.4804,69.5145,51.7647,78.9855,81.8202,77.201,81.5962,80.9494,91.1422,83.124,82.8626,85.3972,84.0635,88.305,64.7408,92.7551,94.4876,91.2565,129.659
"ERV2",114.88,144.444,128.863,146.581,181.181,185.638,173.403,190.354,204.536,185.904,157.669,198.075,214.831,198.185,206.861,223.196,438.814,431.876,416.614,366.52,344.649,323.831,322.077,313.015,361.846,359.264,346.5,315.982,283.702,288.046,300.996,331.704
"KLMA_70118",8.22804,0,0,7.68738,8.89678,4.5951,4.46536,4.47271,8.93945,13.5061,47.0923,3.59862,18.0298,21.5249,7.13803,0,52.6755,95.9938,72.0273,67.8882,81.603,66.9539,52.8725,75.7744,66.1705,49.3705,154.619,49.6323,42.2535,57.7508,42.1583,0
"KLMA_70119",287.335,372.647,355.877,364.895,358.601,370.958,247.899,224.328,250.593,252.718,341.232,343.576,341.857,341.104,376.779,409.999,572.266,494.787,511.461,664.331,439.863,503.164,450.957,446.798,483.709,420.212,538.714,625.304,281.301,311.93,260.648,304.641
"CSN12",28.3089,31.8216,26.8721,32.8975,26.6269,28.0372,25.6939,26.8495,26.2022,25.6316,22.0342,19.1854,24.971,26.701,24.6883,17.6222,14.0683,14.3344,12.017,9.22109,10.5954,12.6597,10.8867,11.946,11.6168,10.4359,5.83889,10.3012,10.1425,11.2158,13.5945,15.9582
"KLMA_70121",94.1489,92.3169,107.792,89.8145,89.9469,99.7514,89.9331,105.002,106.334,118.02,102.532,89.715,94.1775,92.9397,104.142,90.9941,50.0564,43.5809,51.2194,43.4132,41.3882,28.7264,37.5747,41.4684,49.8659,45.0986,36.4089,33.16,33.938,42.0505,40.6546,40.2461
"VMA13",306.166,301.728,298.951,298.725,251.27,275.295,259.177,259.679,277.938,257.093,275.99,244.95,262.774,270.695,264.937,287.313,233.816,239.088,258.664,210.16,189.424,192.043,192.599,203.414,197.534,198.392,187.191,219.691,207.42,208.427,195.672,217.822
"GLN1",477.707,494.808,476.626,428.711,670.806,632.836,640.179,675.702,654.785,653.869,720.925,757.388,756.908,744.422,733.13,716.579,1526.75,1540.84,1609.72,1168.67,1197.62,1202.44,1226.99,1173.06,1177.5,1215.92,1168.81,1000.71,886.911,920.511,925.481,940.917
