"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"ALD5",1611.6688497105,1831.02916277771,2777.9608729886,1257.41097758115,1704.58333727045,1810.02765238827,1587.16452851653,1591.83735983209,2014.70317909265,1661.35846527157,1607.95107883636,1654.54181454079,1502.25732774283,1381.60193385429,1370.78510935891,1631.45392539196,1774.03201501288,1001.70720958331,1364.00745799756,1451.87966373956,1307.4590438904,35.0625,21.0132,39.5033,23.3536,95.3437,96.4747,89.3825,85.1999,96.7996,91.2814,91.8532,86.2024,94.9983,93.6001,86.4409,95.815,90.2949,193.598,188.537,151.962,192.153,196.332,193.301,237.232,248.099,262.921,39.6703,40.6126,38.643,35.3119,45.7283,45.7239,42.0917,37.6977,36.2485,43.6431,33.0521,28.8942,38.518,371.879,366.681,362.732,383.002,211.11,177.168,156.097,180.968,170.504,190.263,172.658,113.505,125.12,124.324,118.123,133.883,230.097,221.547,234.96,72.6155,79.6959,71.2143,76.9433,71.7533,71.666,76.3115,72.0596,156.05,143.631,142.675,144.256,155.846
"ALD6",3071.31271728203,3246.17948940172,2581.69456114286,1429.81987159112,2062.89080329,2835.1972433279,2060.79186502818,1894.66602503101,2180.07007078144,1877.01537281155,1646.56362070191,1775.64581600354,1132.25129119906,1242.08181619552,978.70655267381,1937.4661069233,2064.84354735179,1802.84970475115,2773.41824399298,3000.76492280593,3352.84917181058,584.141,550.277,802.775,871.183,274.095,270.277,257.872,273.214,258.367,271.159,278.358,280.743,280.096,289.03,285.787,271.831,274.128,458.954,429.314,474.173,445.419,448.919,447.852,178.491,179.787,192.857,309.055,292.459,294.269,285.568,451.67,443.561,426.8,405.756,405.466,396.403,436.106,460.321,438.138,379.96,372.861,382.886,418.955,1095.21,943.07,922.914,905.474,884.198,925.474,981.721,793.728,818.847,809.437,790.554,856.865,217.114,207.521,216.301,185.739,205.832,188.669,191.629,186.461,191.531,199.008,172.395,332.513,282.859,313.046,294.318,305.89
"ALE1",244.172440559392,231.610007821257,91.6178374654962,85.231654353306,203.100952932475,187.875008955232,201.373402790287,229.602114587069,213.818396045141,201.464343211204,185.871092817102,204.051499584961,189.717372973089,198.138576235045,199.695852469049,303.492310108389,271.880853185752,258.13756373196,158.777949359745,152.183379256887,149.200282404043,193.164,161.603,170.373,153.041,184.758,195.4,169.05,185.381,178.288,178.372,180.882,156.568,165.074,160.818,151.279,143.145,180.891,196.401,221.345,196.679,213.294,214.037,228.932,221.949,232.228,231.185,174.59,159.227,160.98,166.247,137.496,135.536,145.008,143.715,130.889,138.246,132.012,131.089,111.266,196.365,198.007,197.732,204.277,406.597,292.595,327.233,316.862,323.61,314.244,335.205,273.126,264.13,259.647,253.509,243.709,165.612,166.95,167.939,189.578,222.977,227.999,214.063,232.27,226.098,227.898,230.536,370.524,354.06,336.475,344.9,308.202
"ALF1",31.317966402678,24.3827805227297,22.6905238645212,42.2486295148579,34.7476446547343,44.8729154123743,38.3045431368822,38.5470143935346,34.0780070362589,33.0270820862894,35.5508234920752,29.2113331482379,48.3865995604155,43.3037780527803,43.0281407085459,57.1495316011719,44.4718911810374,41.3068053634992,34.7584532110573,36.4849716984446,34.0706348731544,105.886,111.644,79.9258,68.4666,14.922,11.7987,15.9513,16.3212,14.0874,15.1049,14.9367,20.8107,20.6841,20.9265,16.8332,20.7903,17.5929,15.2267,16.205,11.4462,14.7014,14.2721,17.6017,18.7313,16.0054,18.6017,18.2432,16.0036,16.921,20.3937,15.8082,11.2232,17.0856,17.0856,17.7448,12.4522,22.3878,26.6727,23.4806,55.7661,54.4536,61.5004,59.6754,64.5728,69.946,66.7227,51.0148,57.294,60.7262,67.6955,55.4515,52.389,55.0222,52.4499,52.1227,49.3022,38.4074,37.0721,23.2393,17.2276,27.7075,22.7559,26.196,25.5662,24.2392,18.0195,31.1884,23.9165,18.918,23.3441,40.6494
"ALG11",7.82059307754969,9.4793706743942,4.17401715769388,11.9259756010941,16.3611321651648,22.2016782320736,16.3831081931218,17.8010113877509,15.1473143107323,9.84154412361946,11.9355475178652,10.1673622446959,18.9125795850149,17.3624453772418,21.5246398429946,29.3507337029091,22.5112150420592,20.8513831372421,21.3130063716714,19.3287515474184,18.2635888277263,41.0558,30.9279,44.0012,45.2577,53.9744,48.5508,52.8756,51.5478,57.9628,57.4197,47.3572,45.8776,48.3696,43.9487,45.1126,38.0884,49.5458,52.535,46.988,46.5707,49.3991,50.0256,52.5287,59.1511,57.8483,50.5235,38.0275,35.9456,33.1211,40.0806,37.7706,36.8323,33.7789,38.5505,36.2427,23.8287,38.2014,41.5442,44.1424,28.2722,27.7735,29.3311,28.2184,18.7947,24.8314,26.8837,28.6996,25.9794,28.1708,34.0557,21.1548,24.2291,18.6546,25.1765,26.9251,21.7995,22.0575,19.7437,16.2962,17.3096,23.9637,15.2506,15.2991,13.9052,16.5654,19.2365,16.321,20.3029,24.4554,20.553,30.8519
"ALG12",76.8890739326494,79.7082917712646,195.341554750678,140.496273663267,132.888311065275,102.018086610322,152.56254101347,151.209174130946,117.527312487916,168.709279295448,197.387068266659,193.211263994345,142.644099135866,137.032673414317,147.019870043498,116.869966178468,126.482721050043,128.456037918589,140.800395279381,126.080715641207,131.160237928994,25.7583,21.6732,17.187,14.7206,52.4688,44.6232,45.7926,48.7798,62.7663,46.06,53.9185,43.0107,39.0951,38.4854,45.9036,27.8903,43.7501,59.5525,57.2879,74.347,56.7082,59.57,51.3715,55.0975,47.4351,45.9474,39.1387,38.321,35.584,36.3108,34.9702,35.0915,39.385,32.9047,36.7609,35.9169,23.3958,24.8899,21.5002,114.204,114.295,119.465,117.4,137.433,158.768,146.619,156.061,141.844,148.905,139.626,107.969,129.14,121.319,109.133,116.282,95.3352,90.4429,92.7349,163.194,158.292,146.724,163.116,149.999,153.062,149.716,161.474,185.746,205.919,207.192,204.129,188.923
"ALG13",46.1256470504994,45.4800576911101,33.3448003745155,52.037211801156,48.1579781828755,38.6008311969762,50.7253874780121,49.5641075263844,44.8456887392041,63.5522300380261,50.6530546489057,49.3215217743862,47.6654732723752,50.3797708859058,43.7307911539856,54.1435520649392,51.8538205067934,46.4784680129856,34.6958059745605,37.6688105079514,32.7776831160686,81.9559,98.1183,76.4365,84.4094,59.6675,67.0009,62.3125,62.0333,75.3348,66.7043,50.0807,65.8639,56.1303,56.7768,57.108,86.8182,67.7608,34.5978,43.9318,105.352,47.4976,38.0753,33.041,36.9243,41.8787,30.0608,29.4505,25.6376,30.5543,22.1824,29.9961,28.5125,35.9093,30.6266,22.3989,27.5675,53.6182,52.8639,63.0796,24.428,22.1368,25.504,20.1218,29.2281,26.8409,24.4959,27.4246,30.815,23.5646,12.3645,28.7915,26.1957,33.1403,29.0159,21.3748,15.57,31.2625,33.6302,18.9345,23.1896,19.9035,22.2162,16.7544,23.9668,28.9544,17.2264,14.5393,18.4149,24.7979,22.8706,47.3216
"ALG14",47.1376614190794,46.3049826418428,77.5502163515753,75.7638056553575,87.3132893078568,92.769511987855,80.8122514737836,64.9525610095236,100.431023978286,88.6124811462857,76.4224309910291,84.3073278564792,68.9787800651951,69.6069296674436,60.2946242537697,59.7600749816792,52.0768641663289,50.8500459168461,63.7165757644558,75.1965865763358,74.6771087733784,38.9997,41.0233,46.0026,43.5668,89.0649,75.3707,90.383,93.2147,104.56,91.7056,70.1439,85.5258,87.4772,82.2652,72.9577,80.1475,84.0298,79.1329,92.1384,48.4437,84.4977,73.0305,81.6033,101.095,94.7845,79.8585,19.0838,15.9824,15.3696,11.256,32.5769,23.4964,21.3891,17.1063,13.8531,20.302,29.8916,14.2737,26.5648,43.1945,46.6317,61.1701,48.1084,108.564,87.5041,85.7299,88.1193,88.9048,78.4882,60.8035,81.4437,99.586,80.0947,90.6915,83.2485,81.5158,99.1469,109.01,100.633,93.2812,99.4219,85.5687,106.191,103.013,91.3358,124.845,71.8901,61.0417,70.2066,68.6632,94.8347
"ALG2",92.3737147815446,95.7477427865995,68.0370150874652,90.0646077491215,87.2768068625242,110.160512977287,86.7700431593469,92.9136062886241,84.4600586528185,73.9464838930095,74.3493424392569,76.0315325199865,86.9723973067995,83.2020522075225,87.6413366347095,106.958625481281,89.4951674976803,83.4974474264221,68.771706161315,71.3945867675495,68.8709078599029,44.2908,31.1509,29.8618,35.0386,21.3554,23.0727,22.499,22.3708,26.2973,22.7582,25.2814,20.3066,20.4106,21.3768,20.9697,24.3398,27.229,23.8772,30.1081,6.65199,22.7651,26.481,26.9865,28.1624,27.8279,24.8887,23.7852,22.5385,16.9223,22.4271,16.6796,22.9303,16.0118,13.9677,14.3913,19.1556,12.4838,10.9217,16.0672,78.0514,79.1924,85.3099,68.1263,83.3959,69.739,63.765,68.3745,62.2166,62.4737,61.8403,55.5702,58.9669,49.2247,54.4039,51.0984,112.433,116.148,112.966,81.0575,84.4318,86.7775,80.4716,80.7535,77.3347,85.6212,78.7402,119.73,101.316,104.115,97.7107,98.1012
"ALG3",24.1850506418734,21.898246462286,16.8122271230579,21.466373516211,24.9979964062888,18.6003262139161,27.7235897767721,28.3101145149248,25.1710401681211,27.9253686905876,28.2462229666482,27.2908405533917,30.8220509302474,31.2210280082927,31.5038641210674,29.5593011562475,25.2250280259054,26.2560345014798,16.3661016737058,14.4486298447737,12.996673130045,27.7328,14.0246,24.7262,14.1985,29.4267,30.7262,26.6958,34.072,24.5116,27.2343,26.908,37.06,27.4989,31.6311,37.7639,34.5653,29.6176,41.5181,39.5804,24.422,30.3445,41.0189,44.2417,39.8017,47.0319,36.6669,36.6558,42.1599,35.893,27.7976,41.797,39.5656,34.8144,33.6394,33.1763,32.7,48.372,48.4788,37.114,30.0832,27.3527,29.918,31.4116,21.578,25.9014,24.9354,23.5268,22.0521,20.0514,18.9698,19.6045,16.2127,8.62207,15.6489,15.8292,16.1771,17.2973,14.6245,18.4457,14.6673,13.8526,13.2068,13.751,11.8443,14.0896,21.1847,16.2541,13.6355,14.2605,14.5724,18.3203
"ALG5",27.4715004966958,23.8388558677792,17.7820252718119,35.6977442854954,42.0042970818808,41.3578277300926,40.598541660352,47.9784445788609,42.3790587185267,57.614120148502,55.0479755852207,55.4259850535991,51.8291868712662,45.0226471496662,49.5260741708861,58.3744288080293,51.3959710456681,44.5564562733078,27.6929373419056,29.5983433076361,26.5392481763242,36.7054,30.9025,35.8956,22.6954,57.5799,65.1581,69.3939,57.9052,82.1447,64.1002,63.4201,58.7877,63.4779,61.8679,57.4693,54.3906,79.3989,56.0378,50.4057,56.6913,46.1671,59.0644,53.9268,40.8311,35.2328,44.1609,4.35101,7.24954,5.64866,5.52052,8.47782,5.64903,9.22766,10.0867,6.06718,8.82998,8.085,6.29794,10.1784,151.673,146.506,138.808,137.574,140.922,154.146,135.103,140.345,140.552,125.874,103.908,131.889,130.975,125.986,135.113,161.75,72.7671,88.7847,85.1049,75.6395,73.2134,71.2145,63.5227,73.2257,62.3359,75.5995,67.6256,57.1323,62.3039,65.2034,59.1744,61.0101
"ALG6",24.7480564063371,23.1211196459888,37.8849207771302,36.9134572108434,29.3176333498029,25.5818554962201,35.7505077388254,38.8483928483595,26.3394211842195,39.3256171657759,44.641150689179,39.6174994477685,40.3436453989742,39.3101796919922,39.5889811452305,42.5005275350487,31.7587458441485,32.3883573237827,25.5721486005216,24.3147270806133,22.9611741878586,53.1179,49.4849,75.5003,68.924,119.086,124.14,135.867,127.597,129.961,116.583,124.632,107.151,109.263,102.681,112.101,84.905,129.018,138.64,137.314,134.328,142.11,137.454,142.391,129.696,145.191,133.856,89.9696,89.2465,80.2653,82.0181,82.9226,84.9742,83.0521,84.2234,82.3234,81.3345,61.4122,55.4488,61.5587,53.911,51.2715,49.9901,58.0415,47.1475,57.0749,49.5351,54.1594,48.4096,54.7417,48.247,37.503,33.4163,34.2323,42.4003,29.0483,16.7628,14.6725,15.0167,25.6908,18.3343,18.4985,19.7099,22.0566,24.981,20.9415,22.1992,27.341,28.8466,29.4223,28.8564,32.7294
"ALG7",8.7965429991309,9.34077726438009,14.3840199247693,24.3036051493044,17.9469929820627,16.8736718692191,22.820584267143,25.9235810853772,13.1072614873216,21.0776630354093,24.1069064535316,22.7055140540735,25.7269356080824,24.0101965594482,25.6167831493518,23.5585745046865,19.0926606068305,18.8523421993439,13.2613269656136,11.040086326065,9.55965003432816,41.9228,32.5567,46.5982,32.9639,31.1983,26.6223,29.8894,38.0454,34.7838,29.0523,34.5457,30.3779,30.1801,26.1398,27.5712,20.2733,28.2653,32.7109,25.1978,30.6551,36.7866,29.1095,34.5369,36.7295,41.1924,33.7354,8.97852,11.3363,10.7377,9.54646,12.7454,6.09459,10.2584,7.4338,9.39676,6.50459,7.79851,10.5105,11.1699,37.0279,42.4054,38.9802,35.8765,28.8501,28.6879,29.9474,31.1367,24.0419,29.8866,30.6404,25.4042,21.1323,21.4852,19.9334,19.0554,12.9803,10.0292,5.13018,8.71235,8.1763,8.20377,6.38732,6.27294,9.56772,7.69479,7.01432,8.95221,6.82397,6.83179,9.60584,13.7745
