"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"1000_at",3045.2,3076.5,3288.1,4870.6,2826.3,4982.3
"1001_at",891,791.7,1351.1,2155.4,1882.9,2520.5
"1002_f_at",11.6,59.8,40.5,60.5,104.3,329.4
"1003_s_at",137.5,117,262,275,750,167.3
"1004_at",69.5,241.1,287.1,529.1,456.8,956.9
"1005_at",16839.7,13852,7485.8,4637.3,6492.7,2088.2
"1006_at",102.2,18.1,57,208.6,52.2,25
"1007_s_at",3294.1,3132.7,4362,1983.1,2536.5,2578.5
"1008_f_at",6302.5,13557.3,4306.3,7925.1,6634.2,9455.3
"1009_at",7105.2,8260.8,4938.7,5147.4,5787.5,5620.7
"100_g_at",972.8,1038.5,1377.6,2267.9,1116.3,1932
"1010_at",255.7,70.1,59.2,490.8,106.2,110.6
"1011_s_at",1307.6,1713,1419.6,397.4,587.6,555.4
"1012_at",312.1,266.7,228.7,268.7,59.1,170.3
"1013_at",102.4,221.9,89.5,163.6,28.3,281.1
"1014_at",1476.8,1752.6,2035.9,1123.4,2078.2,1854.8
"1015_s_at",122.1,109.8,112.8,281.8,339.3,598.3
"1016_s_at",707.3,960.2,1316.8,671.4,931.6,444.3
"1017_at",402.1,320.2,223.9,532.4,271.6,48.2
"1018_at",71.4,144.3,110,556.9,411,247.7
"1019_g_at",778.2,1310.8,840.6,2279.2,2230.9,1163.2
"101_at",166.3,115.2,577.6,421.4,312.6,1022.8
"1020_s_at",2564.4,2593,2511.3,2769.8,2396.9,4529.9
"1021_at",213,143.8,126.9,358.5,505.6,948.6
"1022_f_at",352.1,232.9,104.5,116,114.4,97.2
"1023_at",86.3,104.6,98.3,321.6,254.5,131.6
"1024_at",545.9,404.3,141.7,762,983.4,208.5
"1025_g_at",53.3,280.9,129,721,566,277.1
"1026_s_at",177.5,560.2,591.6,2589.1,2429.5,912.9
"1027_at",62,107.8,188.7,108.2,163.1,93.8
"1028_at",617.2,585.6,422.3,524.7,717,394.8
"1029_s_at",180.4,42.3,76.4,93,311.6,227.3
"102_at",123.3,230.8,162,136.8,541.5,285.8
"1030_s_at",1875.9,2085.7,1444.4,1102.9,1315.7,736.6
"1031_at",299.9,374.8,244.3,426.4,267.9,601.7
"1032_at",947.4,975,900.6,1776.9,2335,1641.9
"1033_g_at",236,72,188.3,783.1,1314.8,468.7
"1034_at",5864.3,6454.3,6813.8,15394.8,12721.1,4958.8
"1035_g_at",6458.2,6174.5,7627.4,12245.9,14657.5,3267.1
"1036_at",256.4,154.3,140.3,619.7,279.6,77.9
"1037_at",74.8,79,53.4,56.7,265.6,38.5
"1038_s_at",2060.5,1565.3,2132.7,1374.9,2430.1,980.8
"1039_s_at",822.6,776.9,601.6,195.1,505.3,665.1
"103_at",123.6,124,183.3,645.9,742.1,445.4
"1040_s_at",87.1,93.8,41.5,190.5,82.9,64.9
"1041_at",384.7,190.7,83,199.9,674.8,307.6
"1042_at",132.8,17.3,55.9,332.1,42.4,322.7
"1043_s_at",104.1,280.6,200.3,78.9,84.1,214.3
"1044_s_at",309.6,412.7,320.8,441.5,242,447.8
"1045_s_at",367.8,534.3,676,720.8,138.7,514.5
"1046_at",1813.3,1560,439.7,542.6,565.1,57.5
"1047_s_at",1116.6,1153.6,1116.9,1818.6,1448.1,2127.8
"1048_at",256.8,259.2,224.2,283.7,868.6,728.6
"1049_g_at",121.5,77.2,93.3,149.4,271.9,202.2
"104_at",315.2,339.1,391.1,414.5,556.8,532.6
"1050_at",4.4,30.6,3.5,27.5,56.5,19.7
"1051_g_at",72.5,70.1,292.8,196.4,579.3,335.7
"1052_s_at",8929.7,9911.5,5138,2811.4,5106.7,3413.4
"1053_at",332.8,178.9,273,48.4,279.7,146
"1054_at",23.3,33.9,41.7,202.2,238.1,426
"1055_g_at",419.1,233.9,237.9,45.7,438.4,42.1
"1056_s_at",324.5,189.2,46.5,532,86.6,256.3
"1057_at",504,465,113.4,457.4,379.5,772.2
"1058_at",843.6,823,947,603.9,471.4,208.4
"1059_at",166.4,32.2,114.2,237.2,394.4,200.1
"105_at",121.4,30.6,24.9,546.5,237.4,160.9
"1060_g_at",150.2,155.1,237.6,1039.8,580.5,354
"1061_at",494.2,176.6,324,416.1,600.4,606.8
"1062_g_at",306.1,41.7,104.4,256.9,643.8,206.2
"1063_s_at",13633.2,17896.7,16399.7,2793.2,1337.6,5286.4
"1064_at",437.8,505.6,373.4,287.9,667.3,108.6
"1065_at",32.1,213.6,17.4,181.5,109,46.8
"1066_at",61.4,503.2,37,174.8,182.2,202.4
"1067_at",234.7,81.1,147.7,203.6,481.6,304.7
"1068_g_at",321.2,101.4,258.8,292.9,325.8,290.9
"1069_at",132.7,210.6,80.7,61.1,227.2,227.3
"106_at",50.2,169.1,45.2,151.1,186.9,55.8
"1070_at",325.5,109,253.6,76,249.8,51
"1071_at",296.8,224.3,989.5,906.7,1764.8,302.1
"1072_g_at",519.4,614.1,982.6,3200,1151.5,1900.4
"1073_at",1846.2,1482.4,1573.3,1460.5,1482.4,876.1
"1074_at",1828.5,1842,1129.1,808.8,995,636.9
"1075_f_at",147.5,98.9,47.1,287.8,389.7,216.5
"1076_at",148.6,236.8,90.3,148.5,385.4,439.9
"1077_at",69.8,243,93.3,39.1,63.5,37.3
"1078_at",70.5,57.1,34.9,86,94,50.4
"1079_g_at",94.3,175.3,76.5,224.1,610.9,171.4
"107_at",113,79.5,202.6,178.7,53.1,175.2
"1080_s_at",26,35.5,14.9,22.7,77.7,33.9
"1081_at",3980.4,3909.7,3489.2,1066.8,1906.8,2547.8
"1082_at",179.9,388.3,225.9,703.8,951.9,371.3
"1083_s_at",676.2,692.3,588.2,1942.3,1088.5,1042.2
"1084_at",143.9,232.2,56.8,432.7,172.5,58.1
"1085_s_at",8028.6,8677.1,3702.4,1902,2212.1,1902
"1086_at",49.7,353.7,45.6,126.3,174.9,31.4
"1087_at",518.2,729,949.4,2262.2,1908.3,541.1
"1088_at",25.4,12,16,58.5,199.2,183.5
"1089_i_at",45.1,589.2,42.3,2270.9,4208.2,1953.9
"108_g_at",603.1,261.8,937.7,1829.7,288.6,404.8
"1090_f_at",174.3,238.7,199,513.9,110.5,66.9
"1091_at",1312.4,1357.7,1833.7,4016.7,2771.9,2613.3
"1092_at",508.9,396.2,507.7,791.9,743.3,649.5
"1093_at",68.5,34.7,84.8,124.1,41.1,101.1
"1094_g_at",80.2,90,366.9,118.8,767,140
"1095_s_at",14.8,20.8,3.9,8.1,20.3,14.4
"1096_g_at",490.8,187.8,396.8,615.6,717.7,215.9
"1097_s_at",341.7,62.3,91.6,901.4,1207.7,111.3
"1098_at",63.5,202.7,19,100.5,101.9,79.5
"1099_s_at",756.1,638,620.4,1388.1,973.3,540.5
"109_at",757.4,690.3,875,816.9,1186.6,561.1
"1100_at",839,977.2,1305,845.7,1107.1,891.3
"1101_at",486.1,726.9,408.8,1151,1196,887.9
"1102_s_at",988.8,793.6,528,811.1,940.1,500.3
"1103_at",80.5,188.5,142.4,127.9,264,217.3
"1104_s_at",8798.8,9551.7,3845.7,777,319.2,3878.6
"1105_s_at",1095.8,814.3,751.3,1672.8,1740.2,1280.5
"1106_s_at",1159.3,749,805.8,1058,1192.2,842.6
"1107_s_at",54693.3,43488.9,4469.1,5774.8,4010.9,7282.5
"1108_s_at",40.6,36,33.9,86.1,164.1,89.1
"1109_s_at",86.1,74,145.2,275.3,229.9,160.6
"110_at",421.2,859,1392.2,1291.3,1128.2,1586.9
"1110_at",343.3,238.4,267.1,536.7,382.6,751.6
"1111_at",62.8,122.8,39.3,372.2,639,279.9
"1112_g_at",77.3,451.4,283.5,1038.7,1642.5,64
"1113_at",719.6,914.9,606.9,65,106.1,89
"1114_at",444.6,386.6,862.7,569.2,258,653.3
"1115_at",39,192.5,206,73.9,261.2,64.9
"1116_at",1115.4,757.4,684.9,728.6,1251.9,1166.6
"1117_at",290.3,589.6,859.7,5622.8,3338.7,471.4
"1118_at",2024.9,1728.4,1667.2,847.8,661.3,821.5
"1119_at",1175.1,933,837.4,1511.9,2041.6,503
"111_at",135.5,453.2,858.6,1225.8,955.6,1406.8
"1120_at",588.8,533,723.5,532.1,781.4,881.3
"1121_g_at",432.8,673.1,947,1031.6,237.1,897.3
"1122_f_at",1522.6,1929.8,1575.5,3116,4140.7,2367.8
"1123_at",187,106.5,55.5,238.6,177.6,269.5
"1124_at",1729,1671.5,1472.2,1592,1672.2,1084.7
"1125_s_at",75.2,43.5,36.9,401.6,208.1,63.9
"1126_s_at",94.5,69.4,149.7,42.1,68.8,30.3
"1127_at",1232.5,839.2,1307.6,755.3,1828.3,2851.4
"1128_s_at",624.2,127.7,94.7,657.4,354.2,200.5
"1129_at",54.4,48.2,52.4,165.6,139.5,101.4
"112_g_at",78.4,71.7,159.6,80.9,483.9,79.4
"1130_at",1522.5,1371.3,1392.5,2133.5,674.7,1409.3
"1131_at",1971.7,1334.3,1546.4,1642.8,2818.8,3425.3
"1132_s_at",564.6,555.4,548.5,1333.4,1358.7,839
"1133_at",25,39.7,52.9,357.7,75.2,46.4
"1134_at",1773.6,1840,1588.2,1360.3,1501.4,2202.6
"1135_at",5057.3,5344.7,2496.5,1364.1,1618.1,2561.2
"1136_at",1091.4,707.5,555.8,1047.9,869.5,789.2
"1137_at",555,238.4,627.8,280.8,48.1,40
"1138_at",1303.2,1412.9,1253.2,415.6,1009.7,751
"1139_at",299.9,339.2,304.6,54.9,626.9,62.7
"113_i_at",65.2,124.3,33.1,82.5,209.9,72.6
"1140_at",317.3,44.2,330.2,177.8,520.8,231.8
"1141_at",477.7,467.1,459.7,411,613.3,514.7
"1142_at",536.3,490.1,352.4,508.7,594.6,312.2
"1143_s_at",457.9,624.4,137.1,123.9,216.2,326.4
"1144_at",143.5,41.3,54.1,84,183.1,64.2
"1145_g_at",209.8,388.7,338.9,1693.3,2451,878.2
"1146_at",110.1,511.7,413.4,417.6,872.5,141
"1147_at",397.8,373.7,229.2,360.1,317.4,699.3
"1148_s_at",270.4,75.8,114.4,153.9,407.4,504
"1149_at",30.6,55.8,89.3,41.3,65.3,57.1
"114_r_at",31.1,50.2,30.1,2044.1,1028.9,109
"1150_at",315.2,57.4,224.7,542.6,494.2,27.2
"1151_at",4501.9,3600.6,4359.4,2069.1,3146.2,2254.2
"1152_i_at",374.7,165.8,32,22.1,528.6,382.5
"1153_f_at",313.3,342.3,462.7,628.2,531.3,734
"1154_at",806.3,835.3,843.7,657.9,1414.3,538.3
"1155_at",839.2,1100.7,778.2,1258.8,1402.7,1343.6
"1156_at",385.6,377.4,332.5,176.6,322.6,279.3
"1157_s_at",429.2,255.4,278.1,44.1,38,162.9
"1158_s_at",1828.2,2298.4,3690.6,2302,1593.3,3507.3
"1159_at",18,59.3,13.7,146.7,52.1,200.6
"115_at",1264,1218.2,867.7,128,149.1,96
"1160_at",1888,1772.8,2176.9,2508.9,2470.4,3555.2
"1161_at",8526.5,7886.8,10190.6,5058.2,6045.2,13946.6
"1162_g_at",1381.2,941.8,1257.6,1277.4,556.5,1799.2
"1163_at",298.6,218.6,268.5,290.6,155.4,322.8
"1164_at",379.7,327.8,136.2,308.5,423.7,539.6
"1165_at",117.5,95.4,53.7,38.8,164.1,232.5
"1166_at",3294.4,3227.6,3215.8,2641,2856.4,3186.6
"1167_s_at",1667.1,1838.9,1312.5,2784.7,1892.1,1920
"1168_at",206.2,186.8,27.6,349.1,220.5,48.1
"1169_at",579,293.4,417.8,1017.6,1255.7,259.6
"116_at",419.7,146.7,128.2,638.4,458.5,312.3
"1170_at",448.5,632.9,359.9,513.5,804.3,343
"1171_s_at",820.3,1062.6,882.3,1023.7,991.8,529.6
"1172_at",73.1,25.6,85.9,474,165,106.8
"1173_g_at",11598.8,14755.4,7378.7,6973.9,6280.4,6903.7
"1174_at",40.9,16.6,15.5,105.9,62,95.3
"1175_s_at",217,203.2,174.5,260.7,307.8,511.4
"1176_at",956,998.3,698.6,655,211,289.9
"1177_at",374.1,121.2,268.5,89.6,697.9,660.1
"1178_at",297.9,271.7,172.8,107,274.3,50.2
"1179_at",9498.8,11633.1,10068.9,4104.1,6137.5,7580.5
"117_at",322.8,343.8,313.5,189.2,130.8,611.4
"1180_g_at",18446.3,17770.2,12859.2,11062.5,12302.5,15138.3
"1181_at",131.4,157.8,655.1,208.2,212.4,178.1
"1182_at",237.5,153.3,222.7,504.9,326.6,88.8
"1183_at",46.6,89,133,374.8,53.1,399
"1184_at",8803.9,5956,2996.9,4423.2,3771.2,5468.5
"1185_at",848.5,997.5,1439.8,553.2,820.8,1437.1
"1186_at",69.2,13.4,82.8,203,99.2,211
"1187_at",459.6,87.3,129.3,391.8,287.7,183.3
"1188_g_at",241.9,134.3,59,164,77.6,73
"1189_at",604.1,523.9,568.1,1614.4,1423.9,1105.7
"118_at",52.3,80.3,28.7,503.6,38.4,100.8
"1190_at",6312.8,6185.4,4962.9,331.5,301.3,556.8
"1191_s_at",3146,2105.8,2468.3,2082.7,1944.8,1418.9
"1192_at",855.6,1050.7,1342.3,1064.6,1326,703.3
"1193_at",88.2,131,208,133.5,228,168.2
"1194_g_at",196.5,410.7,239.8,78.3,172.8,146.3
"1195_s_at",469.2,376.9,317,289,479.5,649.8
"1196_at",229.2,347.3,359.3,196.4,1083.8,632.7
"1197_at",67.3,155.7,78.8,62.9,52.3,194.3
"1198_at",153.8,654.7,133.2,190.9,681.4,129.3
"1199_at",3967.2,4210,5436.2,3362,2023.4,6198.4
"1200_at",46.8,118.2,93.6,121.8,455.4,152.4
"1201_at",157.6,183.6,66.2,438.1,110.3,252.4
"1202_g_at",125.3,101.2,263,105.9,212.1,168.4
"1203_at",289.6,33.2,20.1,156.9,612.5,22.7
"1204_at",52.5,49.1,77.9,94.4,113.9,40.2
"1205_at",51.6,23.9,15.5,27.8,323.6,58.3
"1206_at",244.3,60.7,250.9,133.8,209,278.9
"1207_at",100.9,186.7,216.6,263.2,75.4,744.6
"1208_at",73.5,73.3,43.9,209.2,182.4,135.1
"1209_at",319.4,208.2,265.6,154.8,557,62
"120_at",1589.3,1771.1,2817.3,1039.8,1775.9,661.1
"1210_s_at",145.8,137.3,93.4,122.8,136,246.6
"1211_s_at",582.4,514.8,753.6,532.1,736.6,953.2
"1212_at",93.5,108.4,93.1,543.7,120.4,122
"1213_at",290.6,188.2,294.1,111.7,282.7,64.5
"1214_s_at",18.4,104.9,25.1,64.9,46.2,110.8
"1217_g_at",105.8,221.5,57,53.5,469.1,57.2
"1218_at",783.5,647.9,1420.3,1082,401.3,938
"1219_at",235.1,186.8,65.2,328.3,108.4,128.4
"121_at",8865.9,6665.9,5997.7,12840.4,9583.3,14169.9
"1220_g_at",1502.9,704.5,815.5,1263.9,1230.9,872.5
"1221_at",443.3,114.6,435.2,164.3,875.6,753.2
"1222_at",237.2,196.7,92.6,201.8,81.2,43.9
"1223_at",471.2,289.4,595.9,915.8,304.3,1300.7
"1224_at",670.7,665.4,1184.3,579.5,712.2,843.3
"1225_g_at",873.5,708.5,1294.7,2197.3,1095,1192.2
"1226_at",295.9,333,299.3,537.2,402.4,251.5
"1227_g_at",76,27.4,30.9,76.5,86.5,68.2
"1228_s_at",1004.3,1004.2,1046.2,2327.4,2610.5,1257.9
"1229_at",446.7,372.8,230.3,621.8,475.1,227.6
"122_at",67.1,62.1,184.5,560.7,98.9,120.6
"1230_g_at",731.6,530.3,610.8,1519.7,1443.8,915.5
"1231_at",155.4,224.8,294.2,418.2,96.7,419.4
"1232_s_at",331,327.8,183.3,324.7,567.7,445.7
"1233_s_at",220.9,155.3,478.7,934.4,461.5,168.1
"1234_at",142.6,229.5,12.5,307.2,254.9,219.8
"1235_at",10129.6,7410.6,8748.5,6718.7,3418,2793
"1236_s_at",350.7,215.9,505.2,120.9,188.3,574
"1237_at",1427,1240,4236.8,895.2,1085.5,3352.5
"1238_at",892.3,1066.4,715.7,1004.8,1008,1041
"1239_s_at",234.3,509.1,193.1,473.6,179.2,481.4
"123_at",599.9,570.8,368.7,1067.7,885.3,397.1
"1240_at",496.7,572.1,581.9,757.1,1386.1,1103.2
"1241_at",6426.9,6836,7570.9,4095.7,4700.3,4243.7
"1242_at",1027.1,1030.3,1558.9,1113.8,1111.6,1101.2
"1243_at",867.4,618.8,1375.3,1490.4,1500,1491
"1244_at",3143.6,2443.9,1074.9,1546.6,1767,1166.1
"1245_i_at",175.2,116.5,5.9,99.6,87.5,170.9
"1246_at",118.3,143.6,111.1,429.3,498.1,1134.6
"1247_g_at",47.2,130.1,46.2,149.2,281.9,120.9
"1248_at",1620.8,1488.4,1856.2,1655.4,1290.3,2232.5
"1249_at",121.6,156,57.6,70.7,184.5,198.7
"1250_at",288,284,436.5,55.5,429.4,212.1
"1251_g_at",921.6,1231.5,904.6,1540.4,1662.3,1577.8
"1252_at",4093.1,4056.3,6249.8,4316.8,4998.3,2766.3
"1253_at",277.6,428.8,361.4,113.3,126,211.4
"1254_at",955.1,722.6,697.8,1225.6,837.4,1231.2
"1255_g_at",271.5,240,215.2,227.7,703.4,533
"1256_at",1970.6,1661.7,1046.5,34.9,662.4,462
"1257_s_at",987.9,1258.3,1682.5,2271.7,1751.6,1574.1
"1258_s_at",185.2,239.8,221.4,272.9,502,507.6
"1259_at",845.5,537.8,597.7,1185.3,1286.3,736.9
"1260_s_at",766.8,505.8,169.6,240.5,157.8,191.4
"1261_i_at",939.2,803.9,166.4,345.7,404.4,226.9
"1262_s_at",40.5,53.9,15.6,55.7,308.7,49.3
"1263_at",634.2,361.8,87.2,966.1,444.5,297.1
"1264_at",89.1,74.9,61.7,20.3,37.6,58.9
"1265_g_at",90.5,30.8,67,81.2,33.2,60.2
"1266_s_at",58.3,110,38,103.1,530.1,109.7
"1267_at",733.1,532.8,1147.5,981.7,946.2,788.4
"1268_at",8489.5,8731.4,11582.9,7170.2,4941,11595
"1269_at",220.5,253.9,171.7,296.1,279.6,14.9
"126_s_at",159.4,72.7,3.5,20.1,44.4,9.6
"1270_at",1118,1289.8,1459.7,1859.3,2533.4,1806.6
"1271_g_at",2105.7,2336.9,2825.5,3527,2417.6,3141.9
"1272_at",339.7,366.6,528,188,299,156.4
"1273_r_at",599.4,1189.8,982.9,3412.8,2501.9,556.1
"1274_s_at",481.4,601.3,875.3,1062.9,1109.2,929.5
"1275_at",51.4,99.3,131.1,305.2,322.5,57.2
"1276_g_at",3650.6,3247.7,4151.1,2770.7,3094.5,3591.5
"1277_at",961.4,1036.5,1441.3,1082.6,532.3,879
"1278_at",1275.4,936.6,747.6,84.7,181.1,542.6
"1279_s_at",119.3,91.8,283.2,431.9,171.9,442.9
"1280_i_at",430,823.2,642.1,830.8,1779.4,1089.1
"1281_f_at",20.2,61.6,32.3,98.9,67.3,35.4
"1282_s_at",375.3,111.6,172,100.4,224.8,86.1
"1283_at",38.4,19,24.5,19.6,77.5,63
"1284_at",551.3,490,727.1,953.2,342.1,450.7
"1285_at",21.3,55.5,47.5,164.2,67.5,30.8
"1286_s_at",85.2,11,46.5,276.2,41.3,23.6
"1287_at",1107.5,1389.4,1376.1,1026.6,842.5,1394.9
"1288_s_at",77156.5,66956.7,44348.8,89206.3,78331.7,122224.4
"1289_at",492.7,843.9,687.1,611.5,830.6,903.1
"128_at",33.1,171.9,261.6,400,607.3,276.7
"1290_g_at",154.9,124.7,94.1,193.5,68.1,1152.3
"1291_s_at",3750.4,3816.5,1820.1,2511.3,1358.3,2076.6
"1292_at",69.4,95.9,101.8,195.8,159,132.8
"1293_s_at",44,60.3,78.5,461.5,70.6,26.9
"1294_at",3562.8,2489.5,2353.4,4381.2,3646.5,3382.2
"1295_at",2558,2074,2521.8,2632.1,2412.9,2195.6
"1296_at",922.6,717.3,1029.4,432.3,313.3,233.7
"1297_at",799.2,759.4,1026.8,716.1,195.7,1334.4
"1298_at",21.8,140,18.3,157.1,211.1,29.2
"1299_at",58.3,17,107.5,31.3,23.7,29.1
"129_g_at",453.4,159.8,313.3,443.6,249.2,77.9
"1300_at",244.1,102.1,133,266.5,153.4,17.1
"1303_at",311.1,236.8,278.7,133.9,75.2,401.1
"1304_at",172.1,34.4,157.8,37.4,391,69.6
"1305_s_at",1044.8,806.3,404,2856.2,4897.3,1321.1
"1306_at",2547.2,2000.9,2345.9,2808.2,1711.5,3382.3
"1307_at",506.3,369.2,486.3,158.8,378.8,240.5
"1308_g_at",472.7,810.7,541,889.6,796.3,486.7
"1309_at",3813.9,3573.8,4690.9,5321.9,3255.6,6541.1
"130_s_at",98.8,140.9,83.1,153.1,530.8,238.2
"1310_at",5825.5,5379.8,6439.5,5671.8,5324.8,7470.5
"1311_at",4071.7,3286.6,4364.7,3646.6,3398.3,4847.4
"1312_at",4324.8,3672.2,5276.8,6377.7,4541.5,7881.4
"1313_at",1232.5,955,1084.2,1085.8,964,1722.7
"1314_at",1791.2,2210.7,2728.3,1652.4,1867.4,1473.3
"1315_at",36523.1,30691.8,32830.6,27750.1,22263.8,47165.2
"1316_at",730.4,104.9,540,1112.5,701.7,1056.8
"1317_at",88.5,369.6,459,606.3,666.7,907.8
"1318_at",1128.2,876.7,1253,1034.7,486.9,787.8
"1319_at",233.7,317.8,271.3,275,454.6,678.2
"131_at",597.3,622.4,816.8,845.6,992.5,708.7
"1320_at",663.3,695.7,595.3,90.3,178.9,113.3
"1321_s_at",176.7,79.7,845.5,175.1,311.8,1134.7
"1322_at",377.7,124.4,381.6,461.5,220.6,443.7
"1323_at",31371.5,30063.7,29419.3,23049.5,24531.9,33552.6
"1324_at",438.1,115.2,237.3,295,318.3,788.8
"1325_at",1007.6,956.7,825.5,651.6,560.7,580
"1326_at",984.3,767.7,673.1,524.8,137.9,947.3
"1327_s_at",353.9,471.1,691.2,57.2,685.3,268.5
"1328_at",222.7,238.3,88.4,22.1,93.8,428.3
"1329_s_at",409.4,818.8,467.5,420.8,215.1,414.5
"1330_at",125.5,70.1,287.5,199,108.8,212.6
"1331_s_at",531.8,807.7,351.5,793.8,1122.3,942.1
"1332_f_at",626.8,601.6,184,841.3,466.7,942.8
"1333_f_at",503.3,449.1,679.7,268.5,837.7,554.3
"1334_s_at",156.5,206,114.3,227.1,277.6,140.4
"1335_at",106.6,142.9,106.4,229.2,195,179.1
"1336_s_at",213.6,154,164.7,226.7,496.4,526.3
"1337_s_at",259.8,233.2,552.9,617.6,96.6,170.4
"1338_s_at",33.1,26.2,70.2,40.2,373.6,111.6
"1339_s_at",584.2,715.3,499.6,994.4,1324.8,996.5
"133_at",675.5,721.2,676.3,951.9,1008.6,1484.1
"1340_s_at",64.5,75.8,54.1,147.9,162.8,79.9
"1341_at",213.9,233.6,177.3,496.1,322.5,128.2
"1342_g_at",128.5,108.7,90.1,35.6,147.8,12.1
"1343_s_at",72.9,27.1,50.8,169.3,223.5,58.9
"1344_at",53.8,40.2,50.6,113.1,132.5,122.7
"1345_s_at",61.5,37.7,40.4,60,43.8,49.4
"1346_at",243.4,136.1,425.2,1041.1,1283.4,745.8
"1347_at",3153.3,3529.6,3735.3,3831.7,1934.1,4306.4
"1348_s_at",634.1,628.1,495.5,963.1,1083.1,972.6
"1349_at",32.6,39.7,22.9,91.7,89.6,68.3
"134_at",37.5,126.7,35.3,86.8,76,466.8
"1350_at",371.9,431.5,90.8,1355.5,1618.1,849.2
"1351_at",1537.5,1479.6,3375,6655.6,3966.8,3951.8
"1352_at",434.6,377.3,490.6,220,773.1,1115.1
"1353_g_at",793,617.1,387,447.7,781.8,477.5
"1354_at",552.3,349.3,225.8,832.7,323.2,574.9
"1355_g_at",200.2,50,128.9,345,103.7,318.1
"1356_at",942,524.2,763.7,533.7,487.2,1284.9
"1357_at",1105.7,952,1024.3,1186.9,837.7,1160.2
"1358_s_at",8033.7,7068.6,1717.7,3286,1964.7,1963.6
"1359_at",139.4,149.5,16.2,106.6,34.5,84.9
"135_g_at",302.1,267.1,320.4,106.7,281,510.5
"1360_at",191.7,112.5,147.4,250.8,329.7,56.5
"1361_at",721.6,419.6,718.7,1007.6,367,404.2
"1362_s_at",732.3,759.1,705.8,1128.7,1383.9,747.3
"1363_at",930.9,879.3,485.6,448.1,568.9,71.6
"1364_at",30.7,7,10.1,15.6,203.7,138.6
"1365_at",85.6,67.8,42.8,57.4,359.7,80.4
"1366_i_at",26257.5,27069.1,27724.7,29616.5,42101.5,29247
"1367_f_at",35773.3,29811.5,30733.5,25606.3,27339,32248.2
"1368_at",1611.2,1775.1,2796.2,2676.9,3515,1646.7
"1369_s_at",470.7,407,47.4,423,551.6,564.7
"136_at",159.9,150.9,126.7,243.8,330.6,236
"1370_at",458.2,344.8,420.7,1171.3,1223,451.1
"1371_s_at",592.9,230.8,304,881.2,888.1,840.5
"1372_at",279.2,213,131.6,185.4,374.5,311.7
"1373_at",372.4,741.6,774.3,374.9,889.2,906.9
"1374_g_at",357,272.9,1120.3,445.8,424.5,648.9
"1375_s_at",800.5,957.6,1047.4,590.9,904.5,980.4
"1376_at",105.8,105.3,57.7,802.4,222.3,179.1
"1377_at",1588.8,1763,1498.3,677.9,482.2,1275.6
"1378_g_at",1702.5,1057.2,1247.5,1364.8,2103.7,1808.4
"1379_at",830.6,760.8,914.9,702.8,233.3,822.1
"137_at",264.7,75.2,87.5,267,201.3,141.2
"1380_at",176.1,117,99.4,65.5,41.6,229
"1381_at",50.1,147.7,195.4,75.4,127.7,43.6
"1382_at",339.5,424.2,415.2,348.8,87.6,248.4
"1383_at",2582.3,2493.5,1871.5,1257.8,1177.5,894.7
"1384_at",13,11.2,15.4,27.4,143.4,346
"1385_at",188.7,301.7,590.2,210.2,33.7,642
"1386_at",1175.8,850.2,707,796.6,735.5,1315.6
"1387_at",45.7,32,20.1,98,69.4,78.2
"1388_g_at",112.5,210.1,125,538.2,335.5,268.9
"1389_at",36596.9,27510.1,21713.3,1661.8,1536.3,2928.1
"138_at",709.8,510.3,529.2,1059.7,789,1265.4
"1390_s_at",337.4,584.6,298.5,640.7,938.8,142.5
"1391_s_at",1372.9,1416.9,147.4,3653.8,2861.2,909.4
"1392_at",3421.9,2192.9,3883.3,5893,4561.4,4169.9
"1393_at",62.3,35.9,81.8,206.9,40.7,48.8
"1394_at",6165.8,6630,10802.8,7475.2,7461.9,6069.9
"1395_at",6035.2,5681.6,7544.3,10460.1,8660.1,12066.5
"1396_at",37912.2,39986.3,43710.1,64306.7,68518.1,111104
"1397_at",623.8,560.2,1126.2,928.7,1817,1454.4
"1398_g_at",3125.6,3017.8,4542.4,5182.6,4999.6,7437.7
"1399_at",3440,4070.2,4687.6,2638.5,1897,2403.6
"139_at",74,52.7,25.1,131,151.2,193.4
"1400_at",538.4,363.4,246,314.9,740,897.3
"1401_g_at",100.6,217.6,362.7,1329.1,1540,869
"1402_at",441.3,749,645.8,1583.8,1317,1173
"1403_s_at",666.1,681.5,655.6,600.5,592.7,779.3
"1404_r_at",63.5,9,1.2,17.9,71.1,25.4
"1405_i_at",68,15.9,43.5,71.9,85.8,49.5
"1406_at",287.9,114.7,269.1,518.9,775.9,429
"1407_g_at",276.3,255.9,48.2,194.9,142.8,33.4
"1408_at",187.4,124.4,115.6,75.4,46.8,61
"1409_at",1627.7,1162.7,1743.9,1438,2031,2255.2
"140_s_at",1246.6,877.1,711.8,846.9,898.1,611.6
"1410_at",62.3,60.2,22.7,181.2,524.3,503.1
"1411_at",386.7,557.9,381.5,608.1,526.6,855.6
"1412_g_at",57.9,64.9,64.8,107.4,276.9,111.6
"1413_at",40.7,23.2,6.5,17.4,42.3,93.1
"1414_at",33.2,24.7,44.9,124.1,205.3,37.4
"1415_at",2273.2,1900.8,2092.7,2501.2,2190.6,3096.8
"1416_g_at",39.9,82.7,158.3,18.6,76.4,36.1
"1417_at",55,135,36.9,20.1,35.9,142.6
