"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"34494_at",68.3,93.3,115,407.1,363.2,232.7
"34495_r_at",686.7,601.3,467.8,985.5,1034.3,198.9
"34496_at",123.2,447.9,110.7,875,538,106.3
"34497_at",75.2,24.6,115.5,31.7,52.2,184.5
"34498_at",117.3,124.5,54.3,146.8,228.7,59.3
"34499_at",35.7,64.5,36.7,167.3,154.5,42.1
"344_s_at",3027.9,3225.3,2562.6,2531.1,2198.5,2609.1
"34500_at",59,73.6,322.1,449.5,166.2,544.9
"34501_at",151.5,68.2,41.5,140.6,148.4,53.8
"34502_g_at",253,838.6,783.1,1428,1452.2,1558.9
"34503_at",1258.7,763.6,793.4,712,338.1,826.4
"34504_at",31.9,62,24.3,51.9,59.7,73.9
"34505_at",441.7,759.7,510.7,519.3,836.2,1245.7
"34506_at",154.5,117.7,336.1,250.3,304.4,329.3
"34507_s_at",481.6,242.5,104.2,279.2,288,67.4
"34508_r_at",1220.6,1641.2,1669.6,1383.4,4200,3807.9
"34509_at",72.7,79.9,11.5,342.3,289.6,44
"34510_at",139.2,461.2,147.8,453.8,207.2,1147.1
"34511_s_at",68.1,115.1,63,265,153.1,203.4
"34512_at",698.7,657.2,722,587.5,768,1090.6
"34513_at",123,33.2,97.6,404.6,112,41.1
"34514_at",12.5,77,86,12.3,18.2,66.8
"34515_g_at",38.8,48.3,10.5,53.9,49.1,26.1
"34516_at",172,93.5,153.2,390.5,941.5,273.2
"34517_at",265,185.8,124.9,99.8,567,152.6
"34518_at",15,35.4,26.6,80.7,61.4,49.8
"34519_at",544.4,590.6,469.4,461.8,504,265.1
"34520_at",35.8,42.8,11.5,28,122.6,49.1
"34521_at",352.2,280.2,123.1,136.6,61.7,279.1
"34522_at",277.1,113,287.8,185.6,309.8,179.8
"34523_at",30.6,116.1,71.4,436.7,411.5,138.9
"34524_at",35.2,48.8,50.7,63.4,57.5,64.9
"34525_at",917.7,463.3,798.8,633.9,1598.1,509.5
"34526_s_at",108.4,409.7,127.3,146.2,335.3,378.3
"34527_r_at",627.6,377,262,546.7,1379.7,627.4
"34528_at",71.4,56.3,24.4,223.2,170,61.9
"34529_at",784.5,772.4,455.1,229.1,1134.3,1034.7
"34530_at",741.4,702,395.8,734.6,649.8,277.2
"34531_at",334.3,66.1,158,273.5,128.6,84.7
"34532_at",1921.3,2477.9,1684.6,3031.1,4443.6,4141.1
"34533_at",1372.5,2078.7,2808.4,1078.3,311.8,401.2
"34534_at",85.3,61.3,41.5,197.8,248.7,122.8
"34535_at",18.1,76.9,19.4,129.1,216.1,163.5
"34536_g_at",25.6,103.7,40.6,272.6,88.9,184.6
"34537_at",114.6,144.4,240.5,351.2,342.3,340.4
"34538_at",448,72.7,225.4,423.8,183.1,100.1
"34539_at",682.5,628.9,427.8,477.9,995.1,709.1
"34540_at",74.7,117,14.5,132.9,105.2,85.4
"34541_at",546,214.4,854.5,741.6,1191.8,1370
"34542_at",608.9,270.7,202.3,154.1,868.5,571.1
"34543_at",46.7,27.7,69.8,56.2,100.3,83.7
"34544_at",379.3,603.4,207.2,386.6,466.1,105.2
"34545_at",117,76.8,110.4,1153,298.8,94.4
"34546_at",184.4,350.8,138.9,260,312.8,227.7
"34547_at",86.2,147.6,91.9,329.8,271.4,123
"34548_at",54.9,77.2,60.7,357.9,199.3,112.5
"34549_g_at",255.1,379.4,809.6,237.3,291.2,357.6
"34550_at",88.4,136,72.5,121.7,336.1,275.2
"34551_at",39.5,195.6,58,46,57.7,193
"34552_at",109,322.7,180.6,590,1797.4,185.6
"34553_at",139.3,386.7,72.5,512.1,703,74.5
"34554_at",101.2,262.5,161.4,243.3,155,575
"34555_at",89.7,166,116.2,304.1,261.1,119.2
"34556_at",778.1,159.6,501.9,310.4,442.1,950
"34557_at",492.5,127.2,195.9,724.9,583.9,690.5
"34558_at",286.9,745.8,485.1,513.5,417.7,286.1
"34559_at",374.8,298,108.2,723.9,687.3,105.9
"34560_at",429.1,399.4,284.3,861.9,500.7,650.8
"34561_at",42.1,247.7,18.7,359,70.5,56.1
"34562_at",12.6,57.7,144.5,200.3,198.9,42.2
"34563_at",73.9,263.5,204.9,247.5,62.5,168.8
"34564_at",8.5,45.4,4.8,210.4,33.5,55.3
"34565_at",69.2,119.2,43.3,144.8,160.4,77.2
"34566_at",49.1,44.1,39.3,55.6,220.3,363.5
"34567_at",29.7,57.4,68.7,27.1,85.9,13.3
"34568_at",384.6,362,321.8,674,933.4,287.8
"34569_at",67.6,181.9,27.7,45.4,143.6,233.5
"34570_at",5988.6,8169.1,10669.8,5287.6,7717.8,4802
"34571_at",101.2,140.2,87.8,482.5,318.5,281.1
"34572_at",241.1,306.7,240,700.3,720.5,199.9
"34573_at",1715.2,1795.8,1289.6,2885.9,2660,1748.6
"34574_at",222.2,241.9,240,219.1,136.3,584.4
"34575_f_at",33.4,275.2,113.2,278.3,26.9,206
"34576_at",139.1,56.4,109.6,60.8,35.6,92.6
"34577_at",882.4,1101.6,461,436.9,673.9,909
"34578_at",43.5,75,46.9,87,130,60.4
"34579_r_at",9.2,104.4,73.6,275.6,30,137.5
"34580_at",46.2,41.4,92.6,242.9,200.8,46
"34581_s_at",21.7,33.5,17.7,49.8,36.4,29.7
"34582_at",52.5,57.2,23.1,74,105,44.5
"34583_at",334.5,179.2,300.8,290.5,743.5,124.2
"34584_at",301.8,115.6,158.2,220.9,427.4,27.6
"34585_at",54.1,43.1,30.6,53.9,112.1,74.6
"34586_s_at",214.6,868.4,894.1,1393.7,1228.1,1387.3
"34587_at",161.4,41.3,30.3,76.7,272.8,160.1
"34588_i_at",134.7,332.5,236.6,54.5,974.5,433.9
"34589_f_at",571,926.9,131.6,241.9,870.1,336.5
"34590_at",30.8,67.9,47.8,203.2,327.8,133.5
"34591_at",128.5,179.2,218.1,248.3,417.8,154.4
"34592_at",15136.4,11261.2,24318.4,17128.4,13636.8,38916.5
"34593_g_at",20193.2,20875.7,32840.9,37424.2,22749.1,52919.8
"34594_at",94,61.3,145.6,162.8,288.6,49.1
"34595_at",69.2,93.9,99.2,70.5,146.9,339.2
"34596_at",35.5,151.3,56.8,50.9,227.4,64.4
"34597_at",111.9,104.7,100.5,419,196.4,172.1
"34598_at",31.3,80.7,21.4,68,71.1,167.2
"34599_at",231.6,108.7,59.8,238.8,232.1,360.6
"345_at",81.8,86.1,78,94,123.5,163
"34600_s_at",825.7,892.8,466.2,1737.3,1423.3,1033.2
"34601_at",108.4,232.7,68.1,220,226.3,411.2
"34602_at",173.2,144.7,109.6,1487.6,392,1285.3
"34603_at",101.9,161.9,20,258.6,52,40.7
"34604_at",298.9,384.5,346.6,468.2,581.3,101.6
"34605_at",95.3,167.3,112,343.5,295.5,187.7
"34606_s_at",54.5,88.2,182.7,117.3,191.2,902.4
"34607_at",292.5,165.7,139.9,94.2,370.8,358.4
"34608_at",22476.5,23519,29396.8,26355.5,26096.8,38660.9
"34609_g_at",5935.2,6139.7,8621.1,6565,7197.5,12548.7
"34610_at",166.3,28.1,38.4,45.7,212.9,91.2
"34611_at",191.6,31.1,141.6,330.3,321.9,137.5
"34612_at",15.5,174.5,107.7,47.3,216.3,213.4
"34613_at",115.1,109.3,291.6,306.3,161.9,582.9
"34614_at",89.8,121.5,200.2,261.3,290,99.3
"34615_at",147.8,243.7,31.5,64.1,86.4,77.9
"34616_at",94.2,76.7,72.8,339.1,343.1,81.5
"34617_at",39.4,144.9,24.2,206.3,377.5,52.8
"34618_at",158.8,441.7,36.7,300.9,434.8,83.1
"34619_at",127.9,39.2,48.5,35.5,84.8,17.2
"34620_at",294.5,147.6,123.5,215.7,215.8,161.2
"34621_at",653.8,460.5,327.4,515,789.6,1150.6
"34622_at",55,85.2,28.4,61.3,146.3,81.1
"34623_at",203.4,93.3,68.5,111.6,119.3,201.6
"34624_at",39.7,87.1,26.9,93.6,168.5,47.9
"34625_at",100.5,89.3,213.6,148.4,449.6,72.8
"34626_at",165,90.3,79.7,523.2,455.5,139.4
"34627_at",154.6,140.2,145,1341.9,803,267.9
"34628_at",49,27.3,62.7,32.4,160.8,91.9
"34629_at",130,72,109.6,79.5,163.8,106.6
"34630_s_at",299.4,352.4,215.7,560.5,644.4,56.7
"34631_at",14.3,124.6,66.5,14.7,45.7,44.8
"34632_r_at",20.3,43.9,6.5,49.7,232.6,157.7
"34633_s_at",11.4,30.2,60.4,20.1,78.2,27.3
"34634_s_at",814.5,822.9,732.5,533,286.8,1081.4
"34635_at",74.1,229,55.8,142.1,1101.8,246.4
"34636_at",549.2,429.1,738.8,558.1,1426.4,248.1
"34637_f_at",173.4,141.8,1338.2,719.3,719.4,887.8
"34638_r_at",125,163.9,131.6,57.6,433.6,298.1
"34639_at",48.3,85.9,40.6,254.3,384,127.3
"34640_at",428.4,444.6,298.1,141.6,631.8,236.4
"34641_at",79.2,36,118.2,215,79.3,607.4
"34642_at",5428.4,3856.8,4511.9,2420.2,2553.4,1829.5
"34643_at",17877.3,18149,26030.2,17552.5,20133,12033.1
"34644_at",46776.9,63201.3,37140.1,35999.2,55951.1,28598.9
"34645_at",14522.5,12417.9,21528.5,16527.4,11403.9,29141.6
"34646_at",3410.3,3268.6,5098,2921.6,3713.1,6211.6
"34647_at",12263.5,8850.4,10780.7,11621.4,10543.6,5647.8
