,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,,
SC,0.19858,0.11213,-0.071974,0.10811,-0.076285,-0.16873,0.082014,-0.11235,-0.11722,-0.13817,0.1315,-0.0051941,0.081426,-0.057032,,
SC,0.20127,0.11176,-0.069988,0.10671,-0.080644,-0.16987,0.080576,-0.11148,-0.11734,-0.13782,0.13214,-0.0066195,0.081439,-0.058309,,
SC,0.19876,0.11255,-0.071725,0.10757,-0.076603,-0.16968,0.08008,-0.11339,-0.11786,-0.13908,0.13323,-0.0068504,0.082085,-0.056519,,
SC,0.18045,0.11322,-0.083691,0.11363,-0.06888,-0.16542,0.093861,-0.11196,-0.11992,-0.14439,0.12998,-0.0051044,0.088673,-0.048254,,
SC,0.18021,0.11286,-0.084257,0.11462,-0.067402,-0.16389,0.094069,-0.11069,-0.11949,-0.14399,0.1286,-0.0041092,0.087376,-0.046808,,
SC,0.18124,0.11397,-0.083833,0.11406,-0.066705,-0.16592,0.092508,-0.11405,-0.11924,-0.1457,0.12958,-0.0044145,0.089777,-0.047558,,
SC,0.30206,-0.0041813,0.047615,0.072115,-0.16851,-0.095292,0.097872,0.10146,-0.062246,-0.021366,0.070326,0.010895,-0.025149,-0.040288,,
SC,0.30475,-0.027292,0.061404,0.07182,-0.17007,-0.078346,0.10166,0.14473,-0.050562,-0.0078091,0.057441,0.017414,-0.039718,-0.032639,,
SC,0.30358,-0.028823,0.062437,0.071704,-0.17085,-0.077376,0.10248,0.14508,-0.050508,-0.006959,0.057184,0.017706,-0.040704,-0.032149,,
SC,0.3042,-0.029216,0.061658,0.072316,-0.16842,-0.075696,0.10339,0.1476,-0.04933,-0.0066908,0.056087,0.01852,-0.041311,-0.031409,,
SC,0.29708,0.013956,0.032127,0.07094,-0.1602,-0.099751,0.101,0.073406,-0.071793,-0.033518,0.077815,0.0091217,-0.013918,-0.036707,,
SC,0.29886,0.014024,0.035102,0.067794,-0.16509,-0.10339,0.098964,0.070194,-0.072531,-0.033769,0.079853,0.0071345,-0.013184,-0.039714,,
SC,0.29787,0.013598,0.035657,0.068478,-0.1635,-0.10255,0.10102,0.069162,-0.072826,-0.034534,0.078382,0.0073598,-0.012582,-0.038485,,
SC,0.30075,-0.013582,0.052798,0.068369,-0.16896,-0.083487,0.10492,0.12027,-0.059789,-0.016827,0.062849,0.014612,-0.029594,-0.03035,,
SC,0.303,-0.0149,0.052581,0.068685,-0.16278,-0.080623,0.10486,0.1255,-0.05719,-0.014913,0.061687,0.017341,-0.031513,-0.029018,,
SC,0.29694,-0.011103,0.052579,0.069796,-0.17114,-0.086631,0.10487,0.11195,-0.063231,-0.019677,0.064717,0.012252,-0.027409,-0.035117,,
SC,0.29433,-0.12214,0.072062,0.0873,-0.13152,0.022638,0.10809,0.30611,0.010097,0.051759,-0.0016141,0.064075,-0.10076,0.011855,,
SC,0.29529,-0.12518,0.073878,0.086611,-0.133,0.023921,0.1076,0.31168,0.011959,0.053058,-0.0031097,0.06419,-0.10248,0.010067,,
SC,0.29513,-0.12261,0.073375,0.086778,-0.13158,0.022561,0.10772,0.30804,0.011156,0.050855,-0.0029557,0.063936,-0.10051,0.0094284,,
