"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"ab_2",21853.4983595796,17766.5202872868,32267.3985494276,27452.5808319865,22557.2206694717,32753.8759421064,13303.6789399069,15193.143714105,24830.2679600513,5653.95884007103,0,5853.3452061597,9532.29797425943,11501.9844823035,10062.0054952021,28762.0585828978,27744.6530703905,27140.2790511691,22214.8768838618,23496.7698874946,27644.7916512001,51408.9062869352,59906.0095319201,52727.8362111023,53024.7160607146,55711.2694822438,55560.6031830339,55637.9096480961,55318.9357614465,54157.355516058,54599.1957928392,54745.45397028,55886.5439731834,55875.557503739,55762.482501092,55868.1419917564,55835.101460645,54714.4179185091,53769.4970230522,53494.8750019275,53574.5259748758,53748.7331835795,53530.478557053,53624.8769645273,55598.5106085754,55734.5329290767,55431.1960797159,55299.7001618569,56621.8040936639,56688.7800127469,56863.3550609461,54976.2639374367,54559.3846495452,54622.0852105465,56121.6131323049,56316.6448985728,55892.5868487783,66685.031788101,66845.8005728003,66607.4252939215
"ab_3",18814.8594735455,16227.8838371238,29339.1368486382,31202.1016300781,22561.9371676414,30774.5369676197,12566.4705209394,12434.6477543665,24486.0824672023,5548.81681751542,5853.3452061597,0,8026.6381486275,9472.04393425721,8530.31107657889,31435.3090360909,30604.3313876198,30215.302176297,22821.2857924905,24216.2508610557,27587.2523205755,52871.8140864841,61127.703852946,53702.5541039848,54030.5426550188,57011.3629170966,56864.1817731239,56939.8800295765,56628.0707031106,55494.0512826388,55924.9056962928,56066.0829282879,57176.9690264516,57164.9497981052,57054.8663562554,57158.8057059273,57130.388514185,56037.6017460366,55109.3121458637,54841.7635089828,54918.7155004454,55089.6822749591,54877.3172873235,54966.9826805999,56894.8507068691,57026.8867987055,56732.3045388312,56585.3251317298,57880.1742859849,57944.2588675377,58115.3397579564,56270.8840023417,55865.4383840055,55928.6181566091,57389.3130122099,57581.0804723933,57168.0150323628,67768.2722500852,67927.0001353068,67692.6379324554
"bba_1",18016.292687563,14939.8883266507,28033.1353731856,27527.097299221,18926.1996804066,25609.6741797714,8600.16757998921,7567.04053384944,21195.4647882193,7429.51717388659,9532.29797425943,8026.6381486275,0,2645.12494898215,3415.48484799626,28811.4399951575,27963.582346973,27503.6443915555,18352.9648693863,19694.8638615845,22893.4395506147,50699.6897994663,58909.9291140122,49676.1263058611,50108.307013204,55902.4937986541,55751.388878624,55827.8800745234,55511.577582462,54352.0724464653,54791.4707209178,54936.1141814984,56076.8193281468,56065.2945515183,55953.9894712511,56058.738799357,56028.5848271261,54907.6719640147,53958.8777805755,53686.8288010146,53763.995618213,53939.8472660694,53724.6710800084,53815.9887740113,55771.1822063954,55906.6915330628,55605.5520074321,55477.875657094,56800.9567822568,56865.4792292529,57041.6084313261,55157.4510824917,54745.0335409312,54808.145266225,56301.1303859089,56497.0239984111,56075.1338601964,66844.6365749805,67006.355911187,66765.4600956052
"bba_2",17573.6281793731,14963.9830599255,27362.5841284451,28342.6576711685,19183.8052659461,23958.9508106854,8864.08103033228,6717.56850662616,21472.5216494997,8862.82758820166,11501.9844823035,9472.04393425721,2645.12494898215,0,4053.50323278553,30072.090484853,29248.4648135043,28821.9894784921,17425.6455672645,18729.966141141,21440.7910479335,51246.1008836289,59271.5791635523,48741.5559633958,49241.3689034041,56534.1769291744,56384.8881041729,56460.3132177468,56147.8995289554,55001.1856828252,55435.5839283657,55578.2668087427,56706.4820565726,56694.9413124281,56584.9827320253,56688.6499213611,56659.9846303065,55550.5407569553,54612.1863864412,54343.6802982797,54420.0137817127,54593.7979090742,54381.3927839261,54471.2099174177,56402.2354552187,56536.0160249682,56238.6653929092,56111.4702952842,57420.6356566277,57483.8656824751,57657.9054048413,55795.0895731023,55388.4189910335,55450.8442950347,56925.7590819593,57120.3316226944,56703.3141408545,67374.2836077093,67534.528735604,67295.7732398626
"bba_3",19620.8624334295,16666.3919679972,29040.9394423017,28315.2101054413,19085.6213930599,26567.2348328472,11301.1178595734,9612.02990153734,21745.8516716651,9472.994552586,10062.0054952021,8530.31107657889,3415.48484799626,4053.50323278553,0,28397.5315797412,28002.2258638485,27855.963215968,16742.7819430414,18223.0746927469,21539.1675606501,49766.3460928591,58195.0429498756,48121.0032525911,48454.6885970255,54488.3096144634,54334.3655099058,54411.983376959,54086.6207295392,52897.4454382626,53349.2009903796,53496.4253606874,54669.4995061654,54655.3012647921,54542.1672989404,54650.263269306,54621.0820717212,53466.0501605011,52492.0985423791,52213.2988473526,52290.5417128193,52474.6564855328,52252.8415471522,52345.9851395211,54352.6239309653,54491.1980932459,54182.9304454611,54042.3722469858,55399.4587052444,55465.5104316402,55645.0167704351,53715.3603966814,53292.7402459932,53357.9465641669,54888.2018073208,55088.8481366899,54656.0240890229,65657.14481154,65821.4367420715,65576.9173067631
"aab_1",40471.2092908679,35853.7365224029,42519.1651024288,23465.3501916819,20294.2720987094,40126.2769131116,32736.5657551442,32646.6756094879,21704.9960002131,30885.7820829724,28762.0585828978,31435.3090360909,28811.4399951575,30072.090484853,28397.5315797412,0,6423.19825077638,10311.0910038742,28372.9089425837,29145.0587326732,33931.1972025047,38188.6153563314,48827.4116712019,47834.0705059365,47957.4405225305,45052.1551392136,44858.3578394854,44955.5182471819,44559.6310183508,43115.0037069906,43664.1034117623,43836.716006894,45281.3042512177,45264.4567630051,45135.1344263246,45257.5706409061,45197.7850702847,43795.4715457323,42628.5388571053,42291.0394734207,42408.2159736113,42625.7740531099,42342.2216437325,42466.4246853066,44895.2906099663,45065.229163951,44691.5052258251,44441.2189145706,46077.6350079639,46156.3475161439,46377.6042711149,44060.6440775775,43541.2128734262,43613.2546098671,45488.1050798511,45727.8631281176,45195.9820212131,57975.5689900301,58159.1161242135,57869.4119344356
"aab_2",39072.5511812315,34201.0914520668,41556.098186272,20361.4482887521,18678.4880935422,38671.0763646851,31149.0947985772,31468.8041378284,19857.252277672,29456.7225825711,27744.6530703905,30604.3313876198,27963.582346973,29248.4648135043,28002.2258638485,6423.19825077638,0,4741.97906163408,28128.7923556273,28795.5866094358,33508.7507468928,40707.2356045522,50992.4227513701,48100.0378602291,48279.5511354788,46797.3033959607,46609.0536243395,46703.8444019633,46323.6280530445,44933.9192499966,45459.6572455162,45627.7212724549,47011.4867895299,46997.8659270975,46874.2007916989,46990.8386586664,46929.9745908997,45590.1234477017,44462.8210668081,44138.804687354,44257.8465225649,44457.7848697514,44186.6881072912,44305.7138277082,46643.0000553418,46806.2779918192,46446.7110631674,46214.3873853662,47789.9989620874,47864.213784105,48079.017158675,45843.6773297599,45343.5869615992,45411.4953742759,47218.0137865639,47450.6572706953,46938.4184734803,59352.713840272,59533.2150658003,59247.4108552469
"aab_3",38583.3354734757,33492.7069978989,42075.2548226177,18583.5283714497,19421.2764450539,38493.5494701542,30059.4604074013,30863.5095916784,20724.4304970642,28549.4718649081,27140.2790511691,30215.302176297,27503.6443915555,28821.9894784921,27855.963215968,10311.0910038742,4741.97906163408,0,28500.9261264723,29100.5620537146,33686.1255227449,41538.1985659111,51394.315075775,48036.2961412086,48420.9136216477,48427.5216519856,48245.3549217757,48336.7606422264,47970.8065646276,46628.2795717743,47134.7748233851,47299.2111277436,48632.4250587139,48621.0584635975,48501.6851429286,48613.0609765961,48554.2674029382,47263.2490516689,46170.1941511702,45857.425335817,45975.03238105,46162.8677000448,45902.8890522624,46016.6807545213,48279.6550381846,48436.2166883209,48088.8207436845,47871.6836726991,49394.0486894213,49466.3279976445,49674.987321124,47509.3994707204,47026.4979560204,47091.140328996,48838.6123467074,49063.6380915636,48567.6982321841,60652.93159455,60830.8896605614,60549.838833408
"f_1",29148.3059972904,25430.7856007571,33919.9573052919,25714.8930386157,20239.1843105925,26334.0245115306,22707.0282635892,21332.1303943924,24005.0029575244,22567.089283873,22214.8768838618,22821.2857924905,18352.9648693863,17425.6455672645,16742.7819430414,28372.9089425837,28128.7923556273,28500.9261264723,0,2468.43657647881,7367.99643185963,49136.4232368127,57958.821412006,36369.6062100714,36451.1447879936,51350.0692834837,51191.3801394323,51268.2755477868,50925.086665425,49660.9823685695,50141.0955732257,50294.8790343768,51540.4444169937,51523.3896654841,51406.1365138438,51519.5530609607,51488.0108572543,50257.1388503685,49244.3805249396,48951.097951449,49041.9474556198,49233.275962,48995.1762118348,49098.4552610648,51204.8314347741,51350.9180499067,51026.3576803526,50885.9773171735,52321.6237848299,52391.9056178179,52579.6101486036,50542.0930482605,50098.6115373971,50166.0311351513,51786.6419242878,52002.3446439717,51539.4658537421,63057.6640485652,63226.9895355571,62973.0877170702
"f_2",30226.0588403629,26506.7276231528,34542.9796627461,25493.4879557205,21022.5297671102,26563.9619341591,23794.4120964246,22581.3181470143,24822.5556679897,23790.0696087716,23496.7698874946,24216.2508610557,19694.8638615845,18729.966141141,18223.0746927469,29145.0587326732,28795.5866094358,29100.5620537146,2468.43657647881,0,6144.42236794602,49627.1047079259,58310.1938331092,35595.0224349842,35898.1496846704,51885.9574685657,51729.6670158655,51804.950376161,51465.9237037343,50215.7403408871,50689.6584810735,50841.9518942706,52074.9267247061,52058.2038624891,51942.0407810981,52054.1814387044,52021.5726027143,50803.9801991438,49805.5642874008,49515.6758444079,49607.6799851544,49794.5374787581,49559.4335724874,49661.7797096401,51744.39555943,51889.0984959182,51567.8435740454,51430.3139157226,52851.0464599539,52920.587136337,53106.4345371671,51089.961107033,50652.0202832777,50718.343439718,52322.6189744434,52535.513258964,52077.4890381817,63495.9413867011,63664.1447525471,63410.8091419453
"f_3",31814.3278470057,28887.3603909123,35004.4363720379,29170.2501834306,24244.2723554945,25893.1471312493,26323.0747187727,24533.6210294025,27875.0375562379,27217.6712279989,27644.7916512001,27587.2523205755,22893.4395506147,21440.7910479335,21539.1675606501,33931.1972025047,33508.7507468928,33686.1255227449,7367.99643185963,6144.42236794602,0,52320.1808546015,60393.8622135298,33965.7490860743,34414.5625477462,54628.1381869639,54479.8888402421,54551.0949896535,54229.4717844401,53044.4453827179,53492.923718867,53636.7048363821,54801.3744642824,54785.129312824,54675.0143675989,54781.8401323427,54753.6187634994,53601.3952328947,52650.0835773691,52376.6533732957,52462.7853266436,52640.4549013736,52418.8174119966,52513.7454412001,54482.3827597857,54619.5741416045,54315.9860540339,54194.2669501264,55546.2161820037,55611.7709576534,55787.9982566911,53871.2220058551,53457.2843270597,53521.4356886683,55042.5161604181,55245.4942114943,54810.2472996363,65760.9102065222,65923.6044460651,65679.1741593488
"s_1_NR_A_FPKM",62720.111371481,59374.4538303426,64839.7516416964,50988.9092230589,47851.8441234136,61373.0817607438,54868.537891759,53932.6939416412,49533.0088771005,52958.3583244026,51408.9062869352,52871.8140864841,50699.6897994663,51246.1008836289,49766.3460928591,38188.6153563314,40707.2356045522,41538.1985659111,49136.4232368127,49627.1047079259,52320.1808546015,0,13223.885130045,50705.9446551825,52626.9764437406,54177.8911219593,54022.8066088803,54099.0884418029,53774.517956842,52583.2239303387,53042.7888472966,53165.4267543141,54389.9014955187,54365.1441684359,54264.6967089174,54367.1002365776,54328.4470037471,53127.553072977,52195.7922708192,51928.4497343673,51999.8607005942,52204.0850102482,51968.1779498005,52066.7644168824,54102.4461547516,54233.3183341563,53928.1865889837,53659.088601495,55024.0546941448,55089.7117123519,55278.5519651582,53362.8060588494,52932.893703864,52992.0823664178,54541.3127471939,54744.6078907521,54300.5749117982,65372.1634538245,65538.2994487296,65279.5058590652
"s_2_NR_B_FPKM",70292.72093797,67359.2391851728,72235.9572740253,59640.9166324244,57379.8370239117,68820.2469284254,62372.5964052133,61666.7175851194,59012.8440577952,60920.2697413837,59906.0095319201,61127.703852946,58909.9291140122,59271.5791635523,58195.0429498756,48827.4116712019,50992.4227513701,51394.315075775,57958.821412006,58310.1938331092,60393.8622135298,13223.885130045,0,57078.5339161463,59623.365196873,64087.9396972671,63957.813869485,64022.6207871185,63749.178629305,62747.5279546476,63133.4332238667,63235.1644312364,64272.3088299183,64251.2625573745,64165.820914232,64253.5250164581,64220.3637597865,63203.7445138498,62427.8077273543,62204.6816903228,62258.7373869722,62435.1768866276,62236.5450947529,62319.8748924076,64038.4306806373,64149.8948051951,63890.4853061917,63674.2511075629,64828.8538472507,64884.4451777753,65046.5484550832,63427.7385909219,63065.7117678911,63116.8238414207,64422.2111111441,64594.8209955619,64219.1363060633,73817.2809096565,73964.6980739626,73735.5303079204
"s_3_CR_A_FPKM",59633.1610669016,56163.6669242149,62304.09952945,46071.7418976129,46936.4796194653,52595.8986689887,53768.1973706255,52469.3722341191,50533.5260956249,53247.6323367118,52727.8362111023,53702.5541039848,49676.1263058611,48741.5559633958,48121.0032525911,47834.0705059365,48100.0378602291,48036.2961412086,36369.6062100714,35595.0224349842,33965.7490860743,50705.9446551825,57078.5339161463,0,9970.64886956418,58412.1614852125,58270.4581970714,58335.8554587295,58034.3993799921,56932.8916421756,57354.1103173975,57475.3765187535,58600.0927065386,58576.8232631161,58486.2817167737,58577.0793094228,58547.9835347662,57440.0611737922,56542.7583034647,56295.3899539553,56376.3413679495,56552.0673034447,56340.9635505048,56425.1460641001,58247.1961668152,58373.5576952978,58091.2847755225,57934.9277187344,59198.9687083885,59259.4247799767,59431.9172850432,57650.1258672301,57250.5112600888,57309.7345588359,58738.4712586436,58928.5832682604,58514.799271202,68876.9324226361,69036.8905747248,68790.2827439842
"s_4_CR_B_FPKM",59502.8734576755,56024.8479366323,62685.7122269274,46766.6176196732,47056.8812884435,53130.868106085,54032.6762424445,52701.3018866624,50546.9226467765,53752.5582691683,53024.7160607146,54030.5426550188,50108.307013204,49241.3689034041,48454.6885970255,47957.4405225305,48279.5511354788,48420.9136216477,36451.1447879936,35898.1496846704,34414.5625477462,52626.9764437406,59623.365196873,9970.64886956418,0,57119.9350103395,56973.4528478735,57041.5596036494,56731.6249101407,55606.5953594727,56037.1487924095,56159.9990697177,57311.4268202555,57286.3380158582,57196.7071380909,57288.9491714042,57256.9331252002,56124.9754532329,55193.1268742903,54937.8216754224,55012.6649593283,55202.6543762021,54987.9527410686,55070.9667849835,56923.499763461,57052.7385174799,56765.2016469945,56621.3810886741,57912.6830230941,57974.0654013438,58152.9847078357,56330.6339814468,55918.9433196292,55983.1914692442,57440.6776787036,57635.0695525268,57211.8345353429,67786.4698207726,67947.8538738983,67695.9960429634
